,X,Y,srtm30_wgs84-aster30_wgs84_abs,srtm30_wgs84-aster30_wgs84_color
299,-47.89775979,-22.04178737,5.0,163:163:255
300,-47.96429858,-22.97803637,6.0,145:145:255
301,-47.14397293,-22.25146209,8.0,109:109:255
302,-47.89883507,-22.98033409,1.0,236:236:255
303,-47.26860194,-22.69166773,1.0,236:236:255
304,-47.54830004,-22.64842119,9.0,255:92:92
305,-47.12313478,-22.26926867,1.0,236:236:255
306,-47.97344283,-22.72392081,11.0,54:54:255
307,-47.78155711,-22.83478158,4.0,182:182:255
308,-47.12371943,-22.31026968,5.0,163:163:255
309,-47.83932942,-22.41959739,5.0,163:163:255
310,-47.41094172,-22.68828779,10.0,255:73:73
311,-47.867237,-22.00672894,7.0,127:127:255
312,-47.90109694,-22.17960048,1.0,236:236:255
313,-47.88698223,-22.55262609,3.0,255:201:201
314,-47.16105117,-22.66527242,7.0,255:128:128
315,-47.86865179,-22.11202653,4.0,182:182:255
316,-47.26860883,-22.28104407,5.0,163:163:255
317,-47.45128982,-22.89280908,10.0,255:73:73
318,-47.09178033,-22.67439844,17.0,255:0:0
319,-47.30502924,-22.51843031,3.0,200:200:255
320,-47.27613099,-22.76494363,5.0,255:164:164
321,-47.72082287,-22.87949894,3.0,255:201:201
322,-47.75768155,-22.77146179,7.0,127:127:255
323,-47.5862088,-22.10783397,4.0,182:182:255
324,-47.81292072,-22.94374338,3.0,255:201:201
325,-47.74269195,-22.17405447,6.0,145:145:255
326,-47.70147843,-22.65666819,7.0,255:128:128
327,-47.51547727,-22.31163684,8.0,255:110:110
328,-47.64325942,-22.82706547,1.0,255:237:237
329,-47.11644105,-22.41406035,2.0,218:218:255
330,-47.42138494,-22.56059698,3.0,255:201:201
331,-47.47908016,-22.63504829,8.0,255:110:110
332,-47.39483781,-22.26897913,2.0,255:219:219
333,-47.53932295,-22.20145443,6.0,145:145:255
334,-47.19367138,-22.38348495,6.0,255:146:146
335,-47.13177947,-22.13629437,3.0,255:201:201
336,-47.20180105,-22.50886969,6.0,145:145:255
337,-47.25171656,-22.94805774,12.0,255:37:37
338,-47.63539507,-22.34893403,4.0,255:183:183
339,-47.2366484,-22.29948163,1.0,236:236:255
340,-47.21964917,-22.16148112,3.0,200:200:255
341,-47.77877075,-22.88466197,8.0,109:109:255
342,-47.60558146,-22.59992135,3.0,255:201:201
343,-47.86258537,-22.51594726,2.0,255:219:219
344,-47.99342812,-22.94272017,14.0,0:0:255
345,-47.71137845,-22.22450198,7.0,127:127:255
346,-47.38877147,-22.75882819,1.0,255:237:237
347,-47.56545791,-22.7758982,1.0,236:236:255
348,-47.37404524,-22.78438314,9.0,255:92:92
349,-47.35165034,-22.50530848,4.0,255:183:183
350,-47.18137796,-22.24312821,1.0,236:236:255
351,-47.33089028,-22.74326,0.0,255:255:255
352,-47.64966836,-22.24993528,3.0,200:200:255
353,-47.89739597,-22.50350133,3.0,255:201:201
354,-47.54172445,-22.77653456,9.0,255:92:92
355,-47.71290168,-22.23078338,0.0,255:255:255
356,-47.95896774,-22.39979641,4.0,182:182:255
357,-47.03583321,-22.19737831,0.0,255:255:255
358,-47.48635628,-22.46707278,6.0,255:146:146
359,-47.70917277,-22.5640868,5.0,255:164:164
360,-47.15875236,-22.63135319,18.0,255:0:0
361,-47.7348111,-22.57193043,13.0,18:18:255
362,-47.36997614,-22.89712028,7.0,127:127:255
363,-47.83883231,-22.79256289,1.0,236:236:255
364,-47.76803474,-22.52733709,6.0,145:145:255
365,-47.08309778,-22.01535481,9.0,91:91:255
366,-47.11029417,-22.94745786,7.0,255:128:128
367,-47.67235065,-22.3076883,10.0,72:72:255
368,-47.65079908,-22.95561507,1.0,236:236:255
369,-47.95948131,-22.70624259,8.0,109:109:255
370,-47.98270731,-22.572461,3.0,200:200:255
371,-47.66731764,-22.81661698,0.0,255:255:255
372,-47.83719386,-22.47129758,8.0,255:110:110
373,-47.37015772,-22.17122297,3.0,255:201:201
374,-47.36791356,-22.17449405,3.0,200:200:255
375,-47.72235823,-22.70799866,13.0,255:19:19
376,-47.53334034,-22.45396138,7.0,255:128:128
377,-47.54861492,-22.68660014,8.0,109:109:255
378,-47.97758473,-22.76325567,1.0,236:236:255
379,-47.9298631,-22.57036435,18.0,0:0:255
380,-47.5086397,-22.17242473,2.0,255:219:219
381,-47.47231373,-22.87590606,5.0,163:163:255
382,-47.1826968,-22.10428302,3.0,200:200:255
383,-47.81412361,-22.67940155,2.0,218:218:255
384,-47.8609428,-22.48873464,9.0,255:92:92
385,-47.72314586,-22.83061524,1.0,236:236:255
386,-47.83405927,-22.88720425,0.0,255:255:255
387,-47.03427443,-22.87287005,5.0,255:164:164
388,-47.68816399,-22.90179141,1.0,255:237:237
389,-47.55801406,-22.85645587,3.0,255:201:201
390,-47.08737629,-22.60890593,5.0,255:164:164
391,-47.4324519,-22.86027778,2.0,255:219:219
392,-47.59319376,-22.87743107,2.0,218:218:255
393,-47.41290844,-22.16636047,0.0,255:255:255
394,-47.15257028,-22.85295412,13.0,255:19:19
395,-47.15993579,-22.16386152,7.0,127:127:255
396,-47.72999008,-22.5320217,6.0,145:145:255
397,-47.63639739,-22.03730837,9.0,91:91:255
398,-47.9902371,-22.64089689,8.0,109:109:255
399,-47.83279635,-22.8186423,4.0,255:183:183
400,-47.38457492,-22.92504116,8.0,109:109:255
401,-47.13123687,-22.29692591,6.0,255:146:146
402,-47.92248704,-22.17313187,4.0,182:182:255
403,-47.59062996,-22.44871638,2.0,218:218:255
404,-47.85677612,-22.99515292,6.0,145:145:255
405,-47.41743139,-22.07215856,11.0,54:54:255
406,-47.04094205,-22.90961729,9.0,255:92:92
407,-47.0661262,-22.42649293,27.0,255:0:0
408,-47.75775627,-22.1445685,10.0,72:72:255
409,-47.85502844,-22.22266642,8.0,109:109:255
410,-47.54556341,-22.35973803,0.0,255:255:255
411,-47.55012913,-22.56891544,3.0,200:200:255
412,-47.21485394,-22.06669148,6.0,145:145:255
413,-47.86554883,-22.39250093,2.0,255:219:219
414,-47.58290954,-22.15513287,2.0,255:219:219
415,-47.65907658,-22.05304761,1.0,255:237:237
416,-47.93859957,-22.62901385,2.0,255:219:219
417,-47.74947312,-22.38240019,3.0,200:200:255
418,-47.35437707,-22.9213932,1.0,236:236:255
419,-47.10363576,-22.281634,3.0,255:201:201
420,-47.57590376,-22.80194289,1.0,236:236:255
421,-47.44272261,-22.19962355,2.0,218:218:255
422,-47.80134423,-22.79953122,1.0,236:236:255
423,-47.41529227,-22.90185214,2.0,255:219:219
424,-47.27666941,-22.17776058,3.0,200:200:255
425,-47.41356663,-22.45118662,1.0,236:236:255
426,-47.84667017,-22.30438518,14.0,0:0:255
427,-47.82975524,-22.69757424,1.0,255:237:237
428,-47.32614736,-22.79346961,3.0,200:200:255
429,-47.04570976,-22.36883665,19.0,255:0:0
430,-47.2668414,-22.8562034,10.0,255:73:73
431,-47.74235379,-22.0227946,0.0,255:255:255
432,-47.03930697,-22.57619539,6.0,255:146:146
433,-47.7531879,-22.98992902,2.0,218:218:255
434,-47.8067034,-22.04817741,3.0,200:200:255
435,-47.95303308,-22.72282115,1.0,255:237:237
436,-47.7327753,-22.91755406,6.0,255:146:146
437,-47.74473379,-22.557958,8.0,255:110:110
438,-47.13405589,-22.48444937,9.0,255:92:92
439,-47.19090078,-22.26736755,5.0,163:163:255
