,aw3d30_wgs84_Araca,aw3d30_slope_Araca
562,NaN,NaN
563,60.55721388,1.179976
564,NaN,NaN
565,67.35222805,1.638709
566,57.69732165,4.274486
567,51.17398814,NaN
568,48.78238606,1.636433
569,57.13275286,1.31339
570,53.67400602,2.944821
571,30.06897473,1.910982
572,NaN,NaN
573,NaN,NaN
574,NaN,NaN
575,41.96027883,4.188903
576,NaN,NaN
577,58.68253351,3.476844
578,35.79544809,2.638887
579,82.96041321,1.772743
580,56.93154013,2.07447
581,68.26249156,0.3296875
582,76.21251986,0.7319692
583,NaN,NaN
584,69.13114332,1.39065
585,43.25914829,0.9869348
586,57.78587778,2.000076
587,80.33512113,4.604925
588,48.71416117,1.356648
589,NaN,NaN
590,50.58013047,1.390652
591,55.737102,1.911303
592,48.27833432,1.766217
593,73.23587128,5.893117
594,47.01837602,0.9865115
595,54.08168601,1.672457
596,34.53299571,1.041043
597,42.47663724,2.097778
598,NaN,NaN
599,82.38802936,5.198019
600,56.11933738,1.313346
601,34.90951852,0.3291958
602,NaN,NaN
603,72.17858793,2.508168
604,56.61741305,1.188449
605,69.22758475,0.9323269
606,43.00145006,1.040606
607,NaN,NaN
608,68.23369145,2.944252
609,49.83078843,0.327546
610,44.35259783,4.189981
611,NaN,NaN
612,84.35815825,0.7361976
613,NaN,NaN
614,40.76027832,0.0011683
615,76.20441752,1.313852
616,36.33410286,1.040466
617,NaN,NaN
618,45.74538877,3.666399
619,13.3725818,6.034855
620,63.83233879,0.3275489
621,26.99749911,0.4642896
622,62.64822744,3.747483
623,66.57045426,2.705141
624,45.94480958,4.885119
625,NaN,NaN
626,54.54097293,1.474096
627,67.40733742,1.035995
628,33.32072314,1.042131
629,1118.42635772,2.082186
630,67.22777492,3.419919
631,NaN,NaN
632,57.70927107,1.864408
633,NaN,NaN
634,68.64318367,1.042018
635,260.73222811,13.12789
636,62.29782105,1.353598
637,57.11982599,1.672449
638,38.26828361,5.712056
639,51.11652741,0.9275519
640,86.34213314,1.636572
641,NaN,NaN
642,68.35797303,0.7361881
643,45.63750964,2.496338
644,NaN,NaN
645,86.09631318,11.08521
646,NaN,NaN
647,NaN,NaN
648,71.06644306,0.737455
649,NaN,NaN
650,89.27126873,1.773256
651,48.94508102,7.579422
652,43.02821365,2.321533
653,48.20632364,0.658344
654,73.47159059,1.911278
655,53.57766734,1.357878
656,56.76606005,0.4620157
657,63.13016117,6.841875
658,NaN,NaN
659,33.98842302,1.921853
660,37.83829124,3.953921
661,57.64837278,0.7316247
662,44.12224204,1.674478
663,48.85166039,5.586922
664,55.28036994,2.94498
665,88.27445966,3.224636
666,86.16562648,3.300635
667,56.28675712,1.313815
668,NaN,NaN
669,59.75356055,1.351948
670,32.14451661,2.639285
671,NaN,NaN
