,X,Y,tdx12_Araca,tdx30_Araca,srtm30_Araca,srtm30_wgs84_Araca,aster30_Araca,aster30_wgs84_Araca,aw3d30_Araca,aw3d30_wgs84_Araca
7128,-63.52719084,0.26243788,56.12758,55.09865,58.0,51.89653843,44.0,37.89653843,57.0,50.89670427
7129,-63.49617669,0.44485714,46.26006,48.28043,54.0,47.72398135,51.0,44.72398135,57.0,50.72458895
7130,-63.84627875,0.91725733,83.57972,81.32083,91.0,85.24234848,89.0,83.24234848,91.0,85.24250247
7131,-63.73704154,0.36042611,49.14085,48.07427,53.0,47.31459063,57.0,51.31459063,56.0,50.31459063
7132,-63.33314595,0.4577745,33.22874,33.58722,46.0,39.36571872,33.0,26.36571872,NaN,NaN
7133,-63.1592963,0.8635943,92.04353,91.69965,105.0,97.81726116,93.0,85.81726116,99.0,91.8179409
7134,-63.9834253,0.14824708,46.37921,41.72783,53.0,48.04756693,55.0,50.04756693,52.0,47.04756693
7135,-63.16095499,0.59477162,40.04542,40.31343,47.0,39.93973473,38.0,30.93973473,50.0,42.9403045
7136,-63.95246598,0.42339469,53.26923,53.37038,56.0,50.78252616,52.0,46.78252616,59.0,53.78252616
7137,-63.49436214,0.40598082,44.67389,44.24617,52.0,45.74165879,37.0,30.74165879,54.0,47.74165879
7138,-63.90031558,0.78426476,64.88942,65.38625,72.0,66.43972687,73.0,67.43972687,73.0,67.43988807
7139,-63.89625282,0.4731369,52.67397,52.5486,58.0,52.61698596,67.0,61.61698596,57.0,51.61698596
7140,-63.68616355,0.55140536,44.13158,43.27034,52.0,46.08629579,43.0,37.08629579,54.0,48.08691956
7141,-63.38720483,0.19017105,31.82173,32.31871,35.0,28.63040536,42.0,35.63040536,NaN,NaN
7142,-63.5451104,0.52347841,40.93607,41.22397,51.0,44.78845026,47.0,40.78845026,48.0,41.78920818
7143,-63.94257262,0.20856391,55.8445,56.07619,62.0,56.90344137,66.0,60.90344137,60.0,54.9036355
7144,-63.71396651,0.89796199,66.2534,67.62386,70.0,63.96146527,66.0,59.96146527,69.0,62.96221467
