,X,Y,tdx12_Barcelos,tdx30_Barcelos,srtm30_Barcelos,srtm30_wgs84_Barcelos,aster30_Barcelos,aster30_wgs84_Barcelos,aw3d30_Barcelos,aw3d30_wgs84_Barcelos
111,21.2133097,-62.87711419,-0.97062252,-0.97070095,-0.97070095,-0.97070095,-0.97070095,-0.97070095,-0.97057023,-0.97057023
112,NaN,-62.41560784,-0.99097404,-0.99105586,-0.99105586,-0.99105586,-0.99105586,-0.99105586,-0.99091949,-0.99091949
113,NaN,-62.82168814,-0.46570535,-0.46569964,-0.46569964,-0.46569964,-0.46569964,-0.46569964,-0.46570916,-0.46570916
114,31.85512577,-62.58426306,-0.10917154,-0.10910641,-0.10910641,-0.10910641,-0.10910641,-0.10910641,-0.10921496,-0.10921496
115,NaN,-62.8715908,-0.74125382,-0.74129402,-0.74129402,-0.74129402,-0.74129402,-0.74129402,-0.74122702,-0.74122702
116,44.30375025,-62.71896242,-0.25921995,-0.25917983,-0.25917983,-0.25917983,-0.25917983,-0.25917983,-0.2592467,-0.2592467
117,50.55277503,-62.85993492,-0.14272071,-0.14266117,-0.14266117,-0.14266117,-0.14266117,-0.14266117,-0.1427604,-0.1427604
118,46.51969358,-62.25673422,-0.7325279,-0.73256665,-0.73256665,-0.73256665,-0.73256665,-0.73256665,-0.73250207,-0.73250207
119,NaN,-62.36725039,-0.10189615,-0.10182981,-0.10182981,-0.10182981,-0.10182981,-0.10182981,-0.10194038,-0.10194038
120,21.94659684,-62.76606898,-0.98040531,-0.98048536,-0.98048536,-0.98048536,-0.98048536,-0.98048536,-0.98035193,-0.98035193
121,45.24892653,-62.07574829,-0.98007214,-0.98015214,-0.98015214,-0.98015214,-0.98015214,-0.98015214,-0.9800188,-0.9800188
122,40.51905268,-62.0260924,-0.15747818,-0.1574211,-0.1574211,-0.1574211,-0.1574211,-0.1574211,-0.15751623,-0.15751623
123,NaN,-62.13764638,-0.59775096,-0.59776725,-0.59776725,-0.59776725,-0.59776725,-0.59776725,-0.5977401,-0.5977401
124,48.36541651,-62.13994388,-0.92152641,-0.92159666,-0.92159666,-0.92159666,-0.92159666,-0.92159666,-0.92147958,-0.92147958
125,33.15097285,-62.93005968,-0.69492197,-0.69495445,-0.69495445,-0.69495445,-0.69495445,-0.69495445,-0.69490031,-0.69490031
126,42.68204107,-62.88281919,-0.23302491,-0.23298042,-0.23298042,-0.23298042,-0.23298042,-0.23298042,-0.23305457,-0.23305457
127,48.27670061,-62.2958822,-0.27459864,-0.27456108,-0.27456108,-0.27456108,-0.27456108,-0.27456108,-0.27462369,-0.27462369
128,16.77448479,-62.32009163,-0.87182419,-0.87188616,-0.87188616,-0.87188616,-0.87188616,-0.87188616,-0.87178288,-0.87178288
129,44.86966999,-62.93070657,-0.32232965,-0.32230004,-0.32230004,-0.32230004,-0.32230004,-0.32230004,-0.32234939,-0.32234939
130,NaN,-62.52567198,-0.98019903,-0.98027905,-0.98027905,-0.98027905,-0.98027905,-0.98027905,-0.98014568,-0.98014568
131,NaN,-62.67043509,-0.71973114,-0.71976776,-0.71976776,-0.71976776,-0.71976776,-0.71976776,-0.71970673,-0.71970673
132,47.74527551,-62.00400112,-0.5279783,-0.52798297,-0.52798297,-0.52798297,-0.52798297,-0.52798297,-0.5279752,-0.5279752
133,NaN,-62.70182908,-0.52521404,-0.52521825,-0.52521825,-0.52521825,-0.52521825,-0.52521825,-0.52521124,-0.52521124
134,40.70830469,-62.96374071,-0.02824336,-0.02816474,-0.02816474,-0.02816474,-0.02816474,-0.02816474,-0.02829577,-0.02829577
135,40.83533844,-62.8987083,-0.37753515,-0.37751474,-0.37751474,-0.37751474,-0.37751474,-0.37751474,-0.37754876,-0.37754876
136,21.14269184,-62.88988545,-0.8220383,-0.82209197,-0.82209197,-0.82209197,-0.82209197,-0.82209197,-0.82200253,-0.82200253
137,20.99965367,-62.91042312,-0.55509202,-0.5551012,-0.5551012,-0.5551012,-0.5551012,-0.5551012,-0.5550859,-0.5550859
138,41.70257453,-62.30340252,-0.82783126,-0.82788589,-0.82788589,-0.82788589,-0.82788589,-0.82788589,-0.82779484,-0.82779484
