,X,Y,srtm30_wgs84-tdx12_abs,srtm30_wgs84-tdx12_color
178,-48.7028633,-27.33978647,6.64076762,114:114:255
179,-48.47991804,-27.64681128,5.73327901,255:134:134
180,-48.76482982,-27.58853539,3.10806071,255:190:190
181,-48.50763822,-27.50512569,4.04889658,255:170:170
182,-48.74560004,-28.01186734,4.96428535,255:150:150
183,-48.91136756,-27.87023105,14.61331612,255:0:0
184,-48.99576114,-28.59005468,-9999,255:255:255
185,-48.8138391,-27.37866001,7.66272805,255:93:93
186,-48.71972035,-28.30868163,0.94567253,234:234:255
187,-48.7740361,-27.42155751,2.85806927,255:195:195
188,-48.9338204,-27.84923891,2.97223425,255:193:193
189,-48.81482158,-27.38925464,1.02825341,255:234:234
190,-48.97353419,-27.67432328,2.39162637,204:204:255
191,-48.6686998,-27.78779608,8.46565368,255:76:76
192,-48.81241643,-27.95142641,4.20030275,255:167:167
193,-48.82895316,-27.96465599,8.95547055,255:66:66
194,-48.89604684,-28.33678941,6.3990744,119:119:255
195,-48.8503824,-27.88944189,5.24092628,255:145:145
196,-48.78866617,-27.5189676,16.641867,0:0:255
197,-48.97386544,-28.19119583,4.62683915,255:158:158
198,-48.98884622,-27.96555088,20.95801503,0:0:255
199,-48.78541988,-28.37736064,2.71702952,255:198:198
200,-48.89499004,-27.79492193,1.57977777,255:222:222
201,-48.82092106,-28.19415774,9.32147512,57:57:255
202,-48.69900452,-27.76568152,8.86490095,67:67:255
203,-48.70885662,-28.15806557,2.59762232,255:201:201
204,-48.98554215,-28.28735789,11.98726203,255:2:2
205,-48.9547617,-27.96201454,3.20284917,255:188:188
206,-48.68307261,-27.29082304,4.02575681,255:170:170
207,-48.88010973,-28.14592395,3.88565816,255:173:173
208,-48.91030811,-27.82433243,0.41993274,255:247:247
209,-48.89296823,-28.49641783,1.42324164,255:225:225
210,-48.79886577,-28.5210215,-9999,255:255:255
211,-48.62132594,-27.28059466,2.71817404,255:198:198
212,-48.8258436,-27.89734326,1.04833293,255:233:233
213,-48.76547632,-27.06292678,9.43059004,255:56:56
214,-48.99370293,-28.08097942,3.87907974,172:172:255
215,-48.89215364,-28.38077669,0.30650837,248:248:255
216,-48.43964778,-27.50081504,5.01963364,148:148:255
217,-48.95000414,-27.29201576,1.46773171,255:224:224
218,-48.73595633,-27.75683496,6.77284649,111:111:255
219,-48.62424325,-27.12170744,3.74965292,255:176:176
220,-48.84375279,-27.24383886,2.29024689,255:207:207
221,-48.90649335,-27.37556404,10.52375476,255:33:33
222,-48.7068884,-27.60675815,0.56479022,243:243:255
223,-48.70983329,-27.9595707,0.69309556,255:241:241
224,-48.913279,-27.66201823,3.20937518,255:188:188
225,-48.73097665,-27.26165745,2.10390289,255:211:211
226,-48.78010439,-27.08947363,4.7320316,255:155:155
227,-48.96039672,-28.0609367,2.69367245,197:197:255
228,-48.83841016,-27.64498165,5.18856494,145:145:255
229,-48.42184507,-27.47502267,3.07138856,190:190:255
230,-48.72645793,-28.35261033,0.44543698,245:245:255
231,-48.64055608,-27.33669839,0.08734492,253:253:255
232,-48.62175048,-27.76100143,4.81482381,153:153:255
233,-48.90110226,-27.51339634,15.19895816,255:0:0
234,-48.89019213,-28.17657521,5.72925289,133:133:255
235,-48.8338182,-27.03844689,9.88355727,255:46:46
236,-48.87532369,-27.08125923,1.53532476,222:222:255
237,-48.96970634,-28.21915834,1.76146974,255:218:218
238,-48.8353533,-27.94108916,9.80874822,47:47:255
239,-48.478131,-27.45095993,0.8888499,255:237:237
240,-48.93787416,-27.44022005,9.6289576,51:51:255
241,-48.64924337,-27.46962569,1.02251583,233:233:255
242,-48.70633581,-27.66255184,5.0682109,255:148:148
243,-48.68946102,-28.2212711,4.03801765,169:169:255
244,-48.94587555,-28.01793982,2.8158308,255:196:196
245,-48.51302403,-27.44250705,9.12277852,61:61:255
246,-48.58981215,-27.38905752,2.8419732,255:195:195
