,tdx30_SerraMar,tdx30_slope_SerraMar
387,107.4441,22.34858
388,516.1134,15.12897
389,950.4186,22.94501
390,971.192,19.66491
391,1086.938,13.30878
392,1099.438,4.345088
393,1891.23,16.17779
394,1773.85,26.45953
395,588.524,20.9594
396,1775.278,44.3427
397,1712.793,10.99392
398,1002.252,9.854238
399,104.456,14.13238
400,756.4824,19.84388
401,1911.965,14.94169
402,563.7205,17.67839
403,1235.685,22.31711
404,1073.371,10.68936
405,879.2105,21.27429
406,944.6086,44.71096
407,547.1449,15.97096
408,1078.812,15.4128
409,645.6711,9.610677
410,1113.083,16.1038
411,424.7878,13.37426
412,1002.604,6.99125
413,572.4871,18.10714
414,373.9289,5.870407
415,1720.274,28.40644
416,638.1256,18.20804
417,757.6254,38.40217
418,389.69,6.150563
419,314.3272,17.39303
420,1326.898,15.1663
421,1035.5,12.30719
422,141.6512,20.49599
423,1197.385,9.377545
424,552.972,21.97246
425,567.2783,18.65888
426,1323.869,16.75191
427,1421.902,6.295904
428,516.0776,5.848259
429,605.6268,12.19881
430,516.4067,14.51872
431,1400.266,15.71097
432,336.6653,13.75072
433,749.6125,22.23585
434,465.7631,11.74615
435,219.5003,26.284
436,1050.716,20.12998
437,901.2585,20.81641
438,1821.396,25.62591
439,1175.711,28.77747
440,421.0495,0.5158914
441,205.1845,5.516307
442,1327.097,12.99627
443,457.2896,22.80925
444,969.7725,21.27841
445,496.3846,16.1975
446,466.8583,19.18057
447,1272.195,23.10671
448,657.854,15.00269
449,537.1729,20.35122
450,535.9515,4.024684
451,955.7974,21.90495
452,1272.498,14.97344
453,765.1241,17.29506
454,2177.479,31.2164
455,246.2274,26.9501
456,1095.494,9.951027
457,1522.875,20.63565
458,544.5551,11.79765
459,332.0478,34.83244
460,1394.36,25.8644
461,444.2556,19.70916
462,746.514,10.34257
463,1472.621,29.28423
464,617.6306,27.12322
465,633.3155,1.671505
466,893.6667,15.61757
467,653.8749,25.31469
468,442.6799,13.0681
469,1410.458,27.27072
470,1079.576,22.01251
471,664.275,32.17294
472,714.8015,27.65626
473,442.8155,15.13685
474,547.9309,33.02713
475,919.7916,27.67961
476,643.5879,31.4794
477,397.4428,1.052278
478,1060.54,18.21387
479,1700.958,14.58643
480,1249.083,31.00914
481,1350.508,24.87403
482,544.5729,16.88334
483,597.244,18.89205
484,1830.945,19.60033
485,1197.639,7.842576
486,979.0886,20.60696
487,1186.729,39.06399
488,1114.426,4.570614
489,953.9623,10.81778
490,907.6677,0.2805277
491,1755.52,19.70662
492,2090.828,32.26527
493,1214.18,22.26714
494,572.1783,17.34789
495,1453.976,20.51442
496,1326.782,17.74804
497,2135.993,21.45346
498,651.4872,16.12258
499,1213.614,15.79331
500,1289.8,5.816051
501,395.731,3.58397
502,1177.313,14.46157
503,429.9363,15.32571
504,1166.055,38.11674
505,729.3121,16.8552
506,686.0552,4.62866
507,1201.31,19.59789
508,751.0532,26.60457
509,930.5254,20.56832
510,927.4675,16.02514
511,1359.639,39.03157
512,1426.177,23.38584
513,1302.118,21.27363
514,982.666,41.60206
515,1048.984,20.74846
516,564.2791,3.93474
517,1396.591,20.36913
518,1213.412,26.22612
519,1227.065,23.8492
520,72.56081,25.54111
521,582.5125,40.26885
522,967.8948,27.95217
523,34.15832,18.33665
524,1570.926,23.56638
525,1748.258,23.25548
526,100.4561,20.53068
527,671.6874,20.57888
528,1089.598,24.58322
529,934.4041,60.9206
530,583.8795,35.15767
531,593.2328,7.601772
532,376.7036,33.11451
533,1024.958,13.83096
534,1028.202,33.56849
535,1010.058,7.395536
536,1252.338,28.66612
537,1515.779,25.21904
538,35.44156,15.20027
539,1498.798,24.81653
540,946.6952,9.798714
541,2354.345,9.440137
542,1131.105,25.68822
543,1000.833,18.52448
544,549.0338,2.062266
545,540.4611,8.856968
546,1624.228,29.34773
547,448.4365,19.74799
548,225.5803,30.73381
549,485.269,9.060094
550,1008.064,26.41495
551,166.0577,12.68042
552,1262.889,14.05275
553,670.6118,4.02887
554,1086.337,1.107461
555,767.6179,47.49778
556,619.0272,10.62092
557,672.3803,13.17306
558,1278.168,34.67252
559,1327.427,18.77544
560,NaN,NaN
561,488.8557,28.30256
562,530.2723,31.39504
563,459.5133,19.24163
564,760.319,31.00123
565,684.7096,30.69785
566,157.651,16.7357
567,1313.32,25.63295
568,814.2671,23.88454
569,437.4991,37.30266
570,458.0647,8.938034
571,1586.869,17.66959
572,943.0868,27.70935
573,2254.11,38.92482
574,1650.125,32.63422
575,643.9872,22.55661
576,1903.745,14.83186
577,475.9659,23.24395
578,469.2057,13.88466
579,477.8332,6.996345
580,1083.773,8.488906
581,1184.734,16.7727
582,1072.9,11.60148
583,1916.957,20.60585
584,949.0798,32.19854
585,511.7238,13.35026
586,562.96,23.29946
587,1359.509,13.08374
588,557.9225,34.37888
589,1129.345,0.2728481
590,425.406,42.86283
591,1661.839,19.06519
592,1389.883,23.18733
593,50.07816,17.34133
594,281.0311,25.78173
595,762.7837,23.5834
596,575.014,6.154642
597,1366.673,26.80909
598,1259.785,53.10627
599,1176.871,15.84184
600,1056.333,17.13471
601,856.266,6.324109
602,1352.8,14.97826
603,1004.726,19.64926
604,1171.021,9.34141
605,679.827,10.2701
606,446.7971,9.092249
607,1209.056,35.82273
608,1454.702,22.9206
609,527.4951,16.0774
610,991.8688,23.69728
611,991.1265,19.11423
612,676.2263,28.78378
613,1226.899,13.48727
614,498.3277,16.41996
615,1517.948,19.30655
616,707.7071,8.205406
617,1473.633,7.772274
618,292.0079,7.381243
619,627.632,20.83663
620,922.6627,12.2973
621,1305.965,6.600789
622,628.8893,13.76841
623,557.0959,3.784083
624,619.6417,24.62779
625,992.9507,15.03603
626,1577.022,33.3545
627,734.46,28.87631
628,1126.674,14.48788
629,1024.678,16.96215
630,877.334,15.8667
631,284.8993,21.67927
632,570.8805,11.34928
633,391.7814,32.52621
634,1003.248,12.05877
635,528.0192,13.63746
636,916.7511,13.46521
637,975.3113,12.68716
638,866.6533,28.40002
639,549.3851,5.356006
640,1215.125,15.39799
641,94.41447,27.80491
642,512.4808,12.37696
643,1251.579,14.97132
644,554.0197,19.96316
645,938.8062,32.32716
646,455.5665,9.963799
647,21.13909,10.84109
648,562.9474,11.38696
649,1444.92,1.154502
650,422.3475,20.03922
651,639.0297,23.06069
652,1254.995,22.15301
653,1043.773,6.973809
654,273.5162,26.45544
655,545.133,18.87809
656,1024.06,19.95716
657,1832.815,23.20266
658,1184.59,24.84738
659,1283.286,21.36777
660,1610.376,29.07703
661,512.0885,8.282556
662,1020.166,25.89868
663,660.5823,11.5004
664,1121.488,1.781998
665,514.9492,26.21502
666,527.1566,31.78506
667,1179.826,14.11748
668,1160.387,2.534429
669,640.9956,42.65147
670,661.245,18.42976
671,922.9332,12.40403
672,1201.445,14.2883
673,254.6199,3.52056
674,679.893,28.86188
675,1509.514,27.21154
676,1149.085,26.54051
677,490.3614,32.20687
678,1010.891,7.25236
679,2031.668,35.158
680,488.5493,11.50162
681,1110.572,0.8025962
682,1160.212,25.44351
683,607.4835,18.77052
684,480.9238,4.205192
685,555.9099,16.18719
686,1093.925,29.77576
687,636.225,14.00565
688,2295.05,16.74236
689,1526.826,36.16568
690,714.8314,36.95578
691,650.2447,18.76425
692,1385.037,17.55209
693,1224.971,15.80198
694,1111.235,2.386752
695,514.8102,10.15197
696,636.8075,23.57229
697,1009.133,14.58976
698,521.7901,23.94234
699,637.4736,12.26471
700,920.0612,4.951056
701,126.8928,32.43522
702,565.869,32.37849
703,1140.063,12.0831
704,1329.702,15.13114
705,1150.229,26.04656
706,1531.172,18.83151
707,407.6801,6.084235
708,407.0264,1.420973
709,452.5955,27.57138
710,547.9532,23.73299
711,1159.831,19.93057
712,1236.023,31.2099
713,972.2499,25.09466
714,632.0684,15.31085
715,1458.232,27.09488
716,527.8807,24.32504
717,566.6387,17.06468
718,938.7448,11.37671
719,1074.995,6.165062
720,1201.706,26.76288
721,1218.553,7.557984
722,1084.655,39.63054
723,1464.932,32.00167
724,924.6917,13.34667
725,2316.236,43.9213
726,1212.133,29.51062
727,784.027,27.03504
728,745.4838,21.86637
729,1763.544,6.766612
730,382.1187,0.2953331
731,993.1328,19.43676
732,1683.643,21.28968
733,1121.973,1.806771
734,949.4044,17.10885
735,672.311,20.06637
736,868.1514,11.5051
737,399.6789,1.042967
738,2079.941,19.07927
739,1222.177,12.16267
740,439.3514,31.12132
741,1027.416,10.1959
742,407.3241,36.32075
743,1564.021,33.08511
744,751.1422,22.6321
745,1205.47,7.35544
746,625.5417,21.59543
747,1310.248,26.62911
748,579.6136,18.71331
749,543.4254,10.31038
750,1071.936,14.23534
751,211.8672,30.6513
752,620.2807,14.29659
753,1239.918,17.24335
754,1238.786,20.24315
755,65.67451,14.20276
756,952.6693,9.639489
757,313.5215,29.9218
758,1244.687,27.86787
759,1606.764,7.349602
760,1189.247,20.06301
761,1236.61,11.13582
762,1737.186,7.302369
763,270.2303,22.1321
764,313.8162,16.30092
765,1746.154,12.69127
766,382.608,29.29245
767,521.0748,6.318899
768,610.3741,10.26501
769,615.8453,13.82262
770,226.6109,10.6299
771,389.6334,5.705286
772,1062.949,17.68489
773,508.9437,5.748751
774,673.8522,22.85769
775,545.3156,22.0785
776,1089.781,4.479825
777,1172.615,38.44843
778,1337.377,28.02259
779,455.2223,17.90802
780,1392.502,19.68579
781,1473.813,13.81267
782,1180.761,14.95784
783,1137.751,29.3834
784,253.0727,31.25942
785,1171.722,4.227622
786,1262.73,18.94452
787,1055.427,28.305
788,1007.54,22.00486
789,1435.23,10.85795
790,437.3705,19.16009
791,1255.996,16.14754
792,487.32,6.0345
793,912.5272,28.88407
794,779.0103,36.7116
795,536.1651,19.08711
796,790.7577,20.56996
797,1115.269,26.32034
798,7.536606,3.067082
799,1289.403,14.20264
800,252.7626,26.90049
801,1622.599,17.77934
802,529.8997,30.48108
803,467.7488,24.07898
804,1790.253,21.70047
805,644.5786,13.37669
806,1289.202,25.05544
807,992.4583,41.32871
808,1090.41,10.65928
809,1167.637,14.59409
810,482.7489,21.94787
811,433.1332,20.52247
812,2016.182,48.19849
813,1396.42,20.82566
814,1682.118,25.10159
815,1240.838,14.91855
816,514.366,14.97763
817,1051.31,23.21342
818,1200.556,8.763278
819,614.2623,19.23537
820,121.8027,28.82013
821,2302.6,48.20897
822,464.0356,29.25429
823,1323.289,22.02068
824,388.9615,8.819802
825,881.3336,14.63016
826,609.5815,18.05471
827,NaN,NaN
828,938.1812,9.730249
829,612.0281,22.92558
830,1202.532,31.88826
831,546.9543,1.742024
832,487.0384,24.54848
833,574.605,17.52046
834,456.1862,12.98925
835,666.9754,21.72276
836,1206.145,34.81524
837,683.2833,15.09621
838,1119.354,23.43813
839,1231.459,29.86787
840,1022.062,12.80545
841,1660.868,6.540759
842,532.6545,30.86428
843,1032.573,33.15281
844,1055.198,14.97258
845,701.2616,41.8165
846,318.9373,20.78535
847,516.8115,9.588874
848,1.411579,0.5700895
849,849.1282,11.69758
850,653.4601,14.15053
851,2382.296,14.77635
852,544.9674,9.689526
853,1321.357,42.26163
854,1095.387,2.608903
855,321.464,34.945
856,655.0715,26.60534
857,1048.147,22.22076
858,687.9033,10.05462
859,1000.488,22.89198
860,123.199,17.04202
861,1360.748,18.47444
862,1311.386,25.39847
863,1512.123,3.493516
864,965.0125,31.40128
865,1795.274,14.16755
866,392.3622,5.879268
867,862.4287,36.97298
868,1032.589,18.38577
869,449.4966,10.57764
870,82.064,18.65877
871,1349.206,24.2954
872,631.6558,2.795491
873,1739.199,40.52747
874,436.9141,31.42146
875,1126.727,8.089884
876,1025.462,9.7514
877,442.4966,20.43659
878,1630.497,12.93377
879,1596.713,23.23952
880,553.2993,22.73953
881,745.4219,13.87135
882,665.9987,7.038101
883,692.6688,4.450655
884,586.567,21.86843
885,1546.994,7.282598
886,1511.753,7.785611
887,27.9423,29.54614
888,1125.204,11.85579
889,1287.769,13.15497
890,1728.267,16.53085
891,450.1917,37.21315
892,1023.293,28.84688
