,tdx12_Barcelos,tdx12_slope_Barcelos
120,16.23596,24.66632
121,51.61999,2.83959
122,41.07907,2.798856
123,43.63829,5.448135
124,53.23388,15.74057
125,36.50573,5.684098
126,42.41917,3.136446
127,50.73471,8.849643
128,17.2691,1.915392
129,44.71241,3.745609
130,35.59601,7.958142
131,31.9666,2.997574
132,50.2632,5.737484
133,43.94005,6.612223
134,38.35895,4.861735
135,41.77566,2.48244
136,57.1055,63.20184
137,17.29604,8.394169
138,43.72461,1.711075
139,44.88382,4.466204
140,45.03868,9.810301
141,41.09574,2.315831
142,43.09878,3.762004
143,51.08647,8.405028
144,23.81309,2.268467
145,46.06522,9.197864
146,34.95453,8.331081
147,41.4634,6.446727
148,19.53651,1.198899
149,34.41055,8.959544
150,28.20295,0.7602184
151,50.49066,6.976838
152,20.41508,2.632164
153,44.48801,5.512379
154,42.81762,4.298644
155,38.88668,0.9242825
156,41.45216,4.433334
157,45.77004,4.435635
158,41.35655,0.939355
159,46.27322,2.938762
160,47.53608,7.780639
161,22.42024,4.69312
162,45.93793,15.37555
163,45.38906,3.75228
164,33.81458,5.820556
165,45.85822,3.565928
166,39.04241,3.748174
167,41.71369,1.423391
168,44.37632,4.36454
169,20.89996,21.46482
170,26.62269,1.99256
171,43.32405,12.58781
172,27.83156,3.782764
173,39.01313,2.424731
174,44.81166,2.318552
175,20.0646,1.281925
176,28.77399,2.309326
177,36.63667,3.302779
178,28.3023,0.9966735
179,11.49003,8.672097
180,43.01876,14.76108
181,40.72907,3.509389
182,47.97839,10.251
183,32.52702,8.333209
184,23.35769,9.117767
185,43.88971,2.313485
186,39.82588,4.374854
187,24.14635,0.1885801
188,45.27953,5.835363
189,20.93347,3.96135
190,48.96562,1.815727
191,43.9267,2.044827
192,50.07027,3.062485
193,45.65063,7.874533
194,26.56477,0.3897925
195,49.34247,5.946012
196,39.56231,6.57082
197,37.1234,3.87538
198,35.89893,12.14361
199,NaN,NaN
200,49.15977,6.863741
201,51.84378,5.235116
202,39.51559,0.6411327
203,47.99613,3.796516
204,46.42746,9.511143
205,52.8949,5.743923
206,18.53587,1.614321
207,43.59444,5.617837
208,40.94804,2.047103
209,37.25451,2.823089
210,34.54441,4.895833
211,41.07187,4.214907
212,48.48241,6.846906
213,39.30928,3.260641
214,53.12634,4.654263
215,46.45552,3.017247
216,31.5806,9.952478
217,46.01888,9.184968
218,42.58195,3.081868
219,41.87095,8.863632
220,49.36189,3.654115
221,49.66816,4.56425
222,29.47135,16.17569
223,40.7918,2.133134
224,47.75815,2.256386
225,36.90114,7.099094
226,47.04627,9.299079
227,33.71452,4.687262
228,41.36343,5.908049
229,37.18849,2.549017
230,37.23295,9.252522
231,25.6787,2.569286
232,32.15467,2.424609
233,32.93687,23.66697
234,40.36396,5.926255
235,16.71515,3.941296
236,45.6134,3.15626
237,35.39983,4.80344
238,13.69742,1.162089
239,31.8571,1.774608
240,4.200234,NaN
241,43.31397,5.177224
242,17.26069,3.02013
243,17.77996,1.940674
244,23.78081,3.87849
245,21.83984,4.466383
246,37.99236,0.8964924
247,43.2493,13.46236
