,aw3d30_wgs84_RioClaro,aw3d30_slope_RioClaro
519,726.4383135,1.572555
520,541.95153507,5.986461
521,724.38508111,0.3405801
522,648.8734819,2.873279
523,560.85831359,0.00094871
524,713.40433126,2.11486
525,630.95966711,3.462773
526,871.21504626,3.627777
527,548.37715991,4.140257
528,884.3894056,16.24442
529,599.76719426,11.41957
530,705.74433534,2.83712
531,723.95082042,1.366355
532,555.87232146,3.635741
533,586.73767833,3.404516
534,598.6227226,5.022468
535,615.63233963,6.119587
536,699.95274801,6.472549
537,619.12337016,2.114197
538,580.02146729,7.494687
539,618.6956021,4.509327
540,640.02618964,2.439645
541,898.01534636,4.309198
542,599.92582865,6.164572
543,889.83955993,13.06807
544,708.34292499,24.33055
545,611.74851212,4.228168
546,677.04273407,8.791015
547,848.7005929,2.531568
548,708.08874136,3.875429
549,493.91958702,2.555359
550,463.23290764,1.384798
551,567.381143,6.377711
552,645.14502951,5.323712
553,709.10504881,5.732697
554,533.8639899,3.103493
555,598.76627554,1.794421
556,583.91106507,4.883097
557,602.11308153,2.96612
558,628.43885865,7.506236
559,648.35616042,0.6850801
560,605.13180619,10.1564
561,712.96600621,16.04212
562,596.94815294,3.90347
563,907.79387657,15.02229
564,735.84042137,19.2938
565,627.89671619,4.146787
566,632.06603391,1.104249
567,630.01140606,6.788075
568,636.2902399,1.025708
569,569.19471821,4.7366
570,887.96041158,4.307913
571,586.77889893,2.836973
572,656.11508186,9.123514
573,631.93412382,1.48256
574,562.79587906,4.482513
575,504.46317656,4.245077
576,710.9505112,9.034515
577,632.02763271,2.533508
578,511.53598131,2.84664
579,970.44511987,8.791457
580,502.85886527,11.81689
581,755.48565716,1.649366
582,744.39214627,3.719301
583,731.28061076,1.718115
584,688.91423092,7.362965
585,534.19429015,5.448798
586,472.2520969,3.461051
587,854.19148072,2.203205
588,698.31146099,5.509701
589,556.59462188,0.7850401
590,446.37520252,0.3431074
591,484.27917979,6.490379
592,562.21795897,6.569932
593,793.72329745,4.620477
594,546.58755009,1.05742
595,653.96904257,6.825961
596,497.48510856,3.705108
597,502.48242476,4.881346
598,611.87334688,10.35523
599,641.84346575,3.863797
600,546.66316125,4.245055
601,643.0236336,5.20117
602,605.69371411,0.7427596
603,658.79279311,9.512661
604,633.01602988,2.10855
605,831.6072733,3.566808
606,639.28571231,2.966107
607,626.47222733,7.490767
608,633.01306772,8.904375
609,714.03743699,31.52222
610,508.52563886,0.7430496
611,631.05445678,5.443252
612,795.17699128,4.785401
613,593.7168024,0.9322055
614,524.4955152,1.793868
615,785.57154455,0.682931
616,502.44217223,5.460038
617,564.85159159,0.9303938
618,540.21904782,9.714182
619,602.1023218,2.512599
620,887.98042062,7.116582
621,567.87265471,3.801579
622,862.69471914,4.319665
623,703.74353598,2.792793
624,610.35249517,6.002214
625,519.65716296,5.677134
626,943.87330322,5.8552
627,723.52261781,3.270349
628,585.88876748,3.17243
629,672.58867803,10.25565
630,814.71270379,3.27229
631,595.65987977,1.385452
632,618.07408177,6.633817
633,560.90361447,7.211926
634,654.8315766,7.041
635,657.84828646,0.3406988
636,703.90975907,7.560525
637,605.00112846,7.034074
638,553.6578975,5.115495
639,658.84882292,1.64775
640,775.230405,19.16761
641,545.73087837,3.540601
642,727.5894883,12.26721
643,535.46519647,7.127657
644,593.7366314,0.7854018
645,700.78657259,16.9922
646,605.61254505,6.29628
647,601.92334089,6.938076
648,814.4412236,9.16936
649,531.0866973,3.273152
650,856.17206955,12.75967
651,660.83577461,6.511336
652,634.95438114,4.482512
653,492.46156374,9.684592
654,733.78989133,3.899536
655,749.94740804,21.70988
656,842.83729855,2.669909
657,825.57769876,1.570381
658,675.53835655,3.768366
659,600.79338204,0.9319215
660,689.408375,3.852577
661,486.30992012,3.435213
662,507.80386169,2.572453
663,621.45302401,1.003257
664,649.0846675,6.444252
665,834.21230975,5.849638
666,679.84776719,6.808241
667,700.98025696,7.365127
668,628.8945268,2.225306
669,567.90995408,5.825157
670,578.47766194,1.026851
671,597.63000129,3.265398
672,702.95448073,5.284004
673,587.19831028,1.432345
674,612.34612083,9.041958
675,544.12572608,2.790899
676,536.18227123,4.754938
677,542.64637578,5.784942
678,505.48387393,9.144571
679,685.05405172,7.81442
680,553.68811994,9.20887
681,507.57300799,7.904852
682,619.10207427,2.225685
683,802.52438834,3.305251
684,680.85221554,10.28046
685,781.5144684,1.649486
686,854.46117948,6.750321
687,531.03358784,6.484094
688,588.93877536,2.785433
689,610.15486094,3.621705
690,828.44049856,11.20609
691,652.24897252,2.391469
692,678.16231316,2.533678
693,692.15943263,0.4648036
694,586.53375736,5.49963
695,622.65075332,2.531332
696,572.55287881,6.64073
697,666.64964172,10.03303
698,579.70862892,10.14252
699,598.12305909,7.514215
700,586.79267828,3.761132
701,618.59652405,3.435377
702,975.93695155,18.21458
703,780.52955233,2.860096
704,605.00239715,12.90158
705,612.68785739,1.057464
706,586.73884845,7.736901
707,632.70222999,1.891124
708,593.98614215,4.091378
709,667.33339139,7.353449
710,789.56982197,2.666188
711,578.65961356,5.090056
712,551.88263747,1.720579
713,654.38795447,2.790948
714,664.02597102,20.74858
715,773.40075611,6.511521
716,551.69178947,1.647765
717,537.79477155,3.705209
718,495.83379478,5.059694
719,508.62541108,2.771114
720,599.74079192,1.711865
721,730.60758654,1.7663
722,646.08262254,11.69779
723,566.71042701,5.218269
724,658.74845394,0.7846311
725,496.54961323,3.171356
726,585.00198945,4.483976
727,565.29866361,2.673107
728,623.51350821,3.748507
729,607.86221214,1.397664
730,680.4947781,4.524576
731,648.8833784,5.132172
732,722.69537424,3.919402
733,582.1884701,1.9289
734,766.60622463,5.451128
735,580.16969058,2.051152
736,645.84146692,5.590789
737,737.48740438,14.68864
738,600.05070545,5.659405
739,648.53683439,7.474168
740,646.03558058,13.19154
741,697.05402133,1.711879
742,562.02266044,3.852015
743,587.50278103,3.822526
744,500.54026121,2.110228
745,596.64621205,2.440889
746,594.79737164,6.315022
747,616.58583728,2.113813
748,622.92296656,5.272689
749,572.17438324,3.327277
750,606.92353603,6.752541
751,632.04892814,9.699486
752,656.93894286,3.541977
753,677.44169597,2.108702
