,aster30_wgs84_Iporanga,aster30_slope_Iporanga
245,363.51162281,13.03867
246,803.52990656,2.108403
247,469.13901392,25.84487
248,882.1287505,2.855318
249,470.37075493,14.22745
250,86.76582904,15.9219
251,691.39472575,9.244459
252,1048.0377083,10.05503
253,824.42374295,7.125167
254,334.96249557,31.51996
255,17.46381618,3.786162
256,835.67624084,14.32692
257,206.35122415,6.883709
258,68.816601,5.022529
259,375.74978095,27.17573
260,188.92124517,14.4141
261,173.64442011,11.8254
262,128.65684155,10.9295
263,849.58636328,11.19365
264,395.49574729,18.34953
265,950.99336889,28.31549
266,868.07599429,9.314095
267,820.02085742,15.75419
268,814.79091008,14.74003
269,724.14962168,14.14641
270,137.43338113,13.17606
271,825.34718031,6.766254
272,664.24242712,0.7436505
273,705.46794035,4.649326
274,758.90076178,3.56221
275,618.11796579,6.940834
276,702.48693964,25.96005
277,966.08416243,21.13785
278,944.86259008,14.47484
279,223.9430966,9.54346
280,796.65045213,17.11398
281,629.53566131,22.20226
282,280.92649534,23.10028
283,26.2894467,2.083586
284,573.71950056,19.80347
285,60.86461434,1.190616
286,848.61816299,24.4952
287,745.57835327,8.938781
288,760.17372107,7.318346
289,94.47524617,7.178326
290,114.04948849,3.854751
291,346.20191527,29.2485
292,737.53735042,15.77277
293,670.33573003,5.895046
294,771.62660633,23.63577
295,691.48494324,19.03729
296,19.39865167,3.788588
297,61.19852649,3.408572
298,645.16335724,22.1652
299,744.49498553,15.88213
300,945.26113265,28.65448
301,336.29932518,9.062506
302,984.20033506,7.165028
303,209.0372997,10.89022
304,354.32921973,16.75671
305,268.30040794,17.39049
306,479.85724311,26.09803
307,755.86243644,7.731793
308,55.3567772,5.006483
309,935.21276852,2.299068
310,671.2214695,50.74225
311,690.41008871,11.39217
312,796.78190725,18.89561
313,928.49008788,23.82267
314,130.85331417,2.088664
315,682.62932065,5.066383
316,710.47688591,23.96676
317,593.54044879,20.66984
318,39.76218788,16.78986
319,138.85772535,10.17745
320,533.13725188,32.22493
321,776.86215752,10.03869
322,568.74105767,31.94319
323,780.46286316,7.265945
324,797.05668366,19.07563
325,962.68666206,17.62667
326,336.50436297,32.7514
327,782.76501273,22.04383
328,1028.69806273,3.992779
329,94.48446418,4.921832
330,120.05575603,18.74678
331,312.23040739,31.42449
332,816.58413026,7.915404
333,781.59663171,7.130115
334,568.53847273,12.01642
335,789.1229265,18.12844
336,180.71568669,26.91024
337,673.30660968,4.824186
338,890.93116507,6.833789
339,596.46958613,15.66974
340,887.24805114,24.18887
341,817.93357306,8.91073
342,72.31759716,10.14665
343,853.40549158,14.07092
344,927.23389173,40.11362
345,877.76275134,8.11768
346,847.28556518,23.69324
347,302.53366935,14.02415
348,711.29814314,17.64545
349,322.89521796,19.9695
350,805.32861222,17.96067
351,496.18745686,32.83696
352,977.76672898,2.894388
353,745.40833861,23.67583
354,424.50548537,21.62505
355,866.77579804,1.376484
356,926.25108716,3.034922
357,451.10432122,19.29474
358,212.98697428,22.31516
359,546.36138581,13.26869
360,90.81008669,4.168189
361,770.39785287,18.87146
362,688.42991443,1.487419
363,765.85437187,17.05606
364,897.35065184,3.114945
365,684.90011508,2.062374
366,282.07424944,16.86657
367,903.88724524,10.98425
368,573.88387711,34.44604
369,177.81620126,3.914032
370,526.59341131,21.00686
371,954.71079306,29.64442
372,913.30628186,6.498362
373,903.40402157,21.60936
374,841.40746201,23.40483
375,530.60629008,17.81611
376,304.0139061,12.35315
377,558.38582749,33.56496
378,343.92805315,13.72692
379,622.55288779,12.17137
380,757.52162936,14.48102
381,394.54778673,37.89828
382,739.12621784,18.5332
383,121.64804485,18.8791
384,887.35499275,8.195716
385,769.7938498,9.327009
386,768.99544838,24.01081
387,168.87485752,17.85711
388,819.85606759,24.92541
389,345.63493118,8.60555
390,107.68157341,21.10459
391,686.47366035,6.116405
392,333.70727664,27.42614
393,874.43339083,10.37734
394,617.04913274,17.11892
395,846.19177814,20.96996
396,639.32607921,21.18127
397,736.36213324,15.00151
398,413.72311409,34.16911
399,666.88901048,18.67995
400,672.48383637,11.058
401,188.34750291,15.41925
402,922.77853851,9.201433
403,628.06037808,10.2803
404,952.17777647,20.80882
405,794.27761695,4.507733
406,201.92051666,5.613205
407,50.43502845,7.655134
408,795.63836744,11.36509
409,756.84523333,2.388035
410,792.87195451,38.08464
411,45.21145691,4.297951
412,725.0991031,4.964798
413,974.18006494,17.4541
414,797.54675304,11.00686
415,704.40553872,6.887305
416,390.66475227,12.17782
417,879.0802326,20.94238
418,699.43511263,6.16968
419,54.29494712,2.380361
420,497.58219336,38.25554
421,818.5140958,7.675444
422,649.82855649,28.52014
423,753.50064983,28.93931
424,748.32855457,6.114224
425,698.88574165,24.90591
426,930.0004421,9.749146
427,169.69188481,12.01182
428,844.24296652,21.31866
429,82.33710649,27.61978
430,690.22971288,17.58701
431,703.3900945,6.340845
432,143.57458825,26.17186
433,768.05405198,16.10614
434,814.47098679,10.17946
435,193.83917079,9.203635
436,772.9299068,8.391712
437,660.38319697,13.06362
438,111.59632261,10.43569
439,647.37335351,17.0003
440,463.52236474,23.55606
441,447.73663697,11.76474
442,853.94726096,1.449373
443,953.65642021,20.41023
444,543.92583421,38.31185
445,455.80219723,30.75728
446,118.79168169,18.78098
447,292.40416378,13.07833
448,816.17256285,10.29168
449,667.6024892,20.68289
450,818.42416291,4.287596
451,802.4940118,7.15759
452,579.77651743,29.89487
453,216.11629906,2.886336
454,360.54295192,10.53993
455,431.78660119,30.37941
456,825.97768289,3.362007
457,691.18235511,26.77666
458,737.86996664,18.13377
459,802.73492125,22.01715
460,835.57413835,7.523798
461,59.95137693,7.988832
462,856.11373185,20.13264
463,367.50718903,13.46926
464,883.38510655,15.98405
465,933.00082818,14.34664
466,1042.30997674,25.6212
467,963.81183728,10.42403
468,671.9410686,13.35783
469,128.59506486,27.03882
470,646.85210229,11.28086
471,764.43372417,10.30188
472,721.33931297,10.97263
473,552.29753513,26.56765
474,875.70636883,14.65446
475,842.75850049,8.690753
476,194.95966588,25.04572
477,845.65565893,18.56325
478,192.32524212,26.42911
479,757.99032964,25.00973
480,131.08099225,5.848626
481,911.38544114,11.50309
482,931.73762027,20.32721
483,41.19519767,1.033444
484,860.854842,13.44159
485,530.48734268,20.69734
486,598.97397533,16.3962
487,143.97810327,10.5319
488,5.91425942,2.785321
489,100.92346175,9.346638
490,495.88925331,8.251638
491,830.30087529,7.795629
492,215.91922911,18.05058
493,888.74913496,22.80351
494,274.87801013,22.87627
495,612.2251515,31.01377
496,415.93384105,19.84591
497,659.30163474,28.6215
498,802.73003672,12.30826
499,77.94402567,3.410509
500,233.61075637,14.81685
501,853.28843041,17.53798
502,377.51790485,19.7825
503,200.30495303,16.55284
504,548.29531987,10.42222
505,422.55853937,24.52557
506,49.40070061,8.111413
507,883.95803877,22.40345
508,151.90859924,21.83163
509,156.77189298,19.29722
510,348.54710009,21.10721
511,480.77250723,25.25595
512,605.32168558,25.74674
513,109.51526308,30.66092
514,135.96551431,30.38833
515,576.56047569,19.57965
516,556.51157725,16.72873
517,658.91177449,13.56032
518,735.28848264,4.919884
519,179.49396905,17.73198
520,652.94507105,23.64662
521,740.61025055,22.2067
522,318.7307945,21.64943
523,793.25588051,37.31047
524,240.51422088,17.10189
525,536.11129705,18.40802
526,784.4491182,14.94313
527,572.85971996,20.13986
528,887.51884744,6.603851
529,791.30269467,14.82676
530,843.53366357,3.807091
531,895.60072989,9.846239
532,711.93064436,19.17542
533,759.1153677,5.859074
534,82.50883425,11.03062
535,296.73827993,23.7353
536,876.58360185,20.40829
537,472.45004037,10.42291
538,683.5266691,9.320638
539,668.88780743,12.38144
540,842.26945702,5.476274
541,839.45854747,14.74396
542,722.26357151,8.751965
543,855.29533258,8.903111
544,767.69666597,8.087575
545,727.28275017,13.95021
546,846.26010049,15.02796
547,829.82261152,1.061122
548,72.87616684,3.15677
549,853.04088292,7.593411
550,494.52898701,18.95348
551,230.98570878,23.06226
552,243.9275969,15.77577
553,152.90584694,19.62123
554,874.05865527,17.71589
555,722.2743221,21.56032
556,564.464913,5.165367
557,525.42494002,31.977
558,97.98645087,21.3245
559,146.30420529,7.966059
560,619.07408927,35.45105
561,834.07035582,10.78244
562,813.38785469,8.432552
563,951.14811137,8.853835
564,986.02387418,23.49999
565,934.51379596,7.307515
566,688.86919435,32.05332
567,293.08361711,24.74425
568,450.09451792,27.90457
569,882.24461674,9.619747
570,811.35848051,1.033231
571,288.88631936,6.528543
572,903.67665536,10.50467
573,723.26124261,24.09811
574,711.18359938,15.54791
575,309.92613272,15.03189
576,897.41823495,21.17282
577,652.83003358,9.617721
578,383.8932867,22.45649
579,775.50556554,6.94348
580,941.19763842,17.56293
581,859.70893704,16.04635
582,764.59435447,16.99473
583,751.8463639,18.65458
584,886.01459611,15.65259
585,746.32013638,21.09506
586,412.66488219,10.86709
587,687.46598339,3.438036
588,350.06424284,21.11592
589,642.08520166,5.107594
590,124.65026305,11.04267
591,610.66094428,14.52495
592,933.35053673,13.31637
593,980.90917009,7.132054
594,932.05103542,23.09197
595,980.0305922,14.78285
596,652.70684955,12.57922
