,X,Y,srtm30_wgs84-tdx30_abs,srtm30_wgs84-tdx30_color
191,-44.80061506,-23.10986354,5.76247198,255:76:76
192,-44.72396697,-22.64214769,4.34652954,255:120:120
193,-44.67308089,-22.93077027,0.12053613,255:252:252
194,-44.39929469,-22.89957517,12.36556955,255:0:0
195,-44.06084855,-22.21729533,3.77192368,255:138:138
196,-44.54868141,-22.74796965,3.19600907,155:155:255
197,-44.8310142,-23.01921687,10.12190047,0:0:255
198,-44.78845952,-22.99904553,1.87710891,196:196:255
199,-44.97382078,-23.08806342,0.88794851,255:228:228
200,-44.72171983,-22.73076145,1.39650113,255:212:212
201,-44.88600721,-23.06671736,0.84012366,255:229:229
202,-44.87885017,-22.71211714,0.21883754,248:248:255
203,-44.78473116,-22.20882791,5.81434103,73:73:255
204,-44.96232499,-23.31772843,0.65053901,255:235:235
205,-44.51945322,-22.99434922,0.29044793,245:245:255
206,-44.5143949,-23.01865999,3.92846389,132:132:255
207,-44.19410218,-22.00264103,4.85562647,103:103:255
208,-44.71308435,-22.91697609,2.55133775,175:175:255
209,-44.61451844,-22.18779703,2.70956523,255:171:171
210,-44.37281528,-22.92939672,0.28750323,255:247:247
211,-44.7110489,-22.59791852,4.17174225,255:125:125
212,-44.49770727,-23.00692161,2.8798977,165:165:255
213,-44.09476371,-22.94415913,2.34548483,255:182:182
214,-44.79305726,-22.01924051,3.70006834,255:140:140
215,-44.70253066,-22.53125363,20.41942419,255:0:0
216,-44.47579905,-22.18330292,2.58557705,174:174:255
217,-44.38867144,-22.73184085,1.5729022,205:205:255
218,-44.03536804,-22.67941921,0.0704235,252:252:255
219,-44.8720708,-22.99469391,0.06123714,253:253:255
220,-44.22861958,-22.60316656,0.29761076,255:246:246
221,-44.21177392,-22.63738242,6.95212935,255:39:39
222,-44.67660854,-22.19998681,0.12630904,251:251:255
223,-44.65885785,-22.52380571,11.89696907,0:0:255
224,-44.72744235,-22.54605357,0.3399622,244:244:255
225,-44.8714322,-23.23222728,2.39546679,255:181:181
226,-44.54731656,-22.43533412,7.42628793,255:24:24
227,-44.56495691,-22.99012847,1.82084394,255:199:199
228,-44.44882818,-22.13794161,2.28616603,255:184:184
229,-44.53812883,-22.00718128,9.65722059,255:0:0
230,-44.50068259,-22.20342489,1.58954415,255:206:206
231,-44.01559231,-22.08812838,2.93565759,255:164:164
232,-44.30435753,-22.04278565,0.26699472,255:247:247
233,-44.18852592,-22.49118221,2.78119256,168:168:255
234,-44.70061928,-22.56920705,4.20030798,255:125:125
235,-44.80076512,-22.34642982,12.77628427,0:0:255
236,-44.32900395,-22.78387634,0.52137653,255:239:239
237,-44.5249261,-22.33532395,1.35830917,255:213:213
238,-44.96382576,-22.76797917,2.8310315,255:167:167
239,-44.97035698,-23.07319383,3.84211899,135:135:255
240,-44.0240638,-22.49434422,1.92771479,194:194:255
241,-44.76419261,-23.05620475,1.9572348,255:194:194
242,-44.41992125,-22.38609873,3.60173886,255:143:143
243,-44.93479727,-22.10508288,3.3320719,255:152:152
244,-44.20515582,-22.17012058,7.286444,255:28:28
245,-44.11373838,-22.57424118,8.27181829,0:0:255
246,-44.18734104,-23.12565193,4.6880965,108:108:255
247,-44.46931078,-22.87369092,5.31573948,255:90:90
248,-44.54315627,-22.23312917,1.54431455,206:206:255
249,-44.87434442,-22.7782183,0.90246442,226:226:255
250,-44.00983558,-22.64354912,2.13958858,188:188:255
251,-44.07358474,-22.3307367,0.11456186,251:251:255
252,-44.60311825,-22.70720285,7.22312054,255:30:30
253,-44.89775979,-22.05857196,3.46700496,146:146:255
254,-44.96429858,-23.37088098,0.75435656,255:232:232
255,-44.14397293,-22.35246603,1.0897159,221:221:255
256,-44.26860194,-22.9694876,5.27655446,90:90:255
257,-44.54830004,-22.90887036,5.30165443,89:89:255
258,-44.12313478,-22.37742491,6.05559778,66:66:255
259,-44.97344283,-23.01469567,1.31436936,214:214:255
260,-44.78155711,-23.17008552,4.2822289,121:121:255
261,-44.12371943,-22.43489467,0.99748931,255:224:224
262,-44.83932942,-22.58813568,6.2009446,255:62:62
263,-44.867237,-22.00943173,4.90160089,255:103:103
264,-44.90109694,-22.25174001,4.75846185,255:107:107
265,-44.88698223,-22.77459758,1.95250026,194:194:255
266,-44.16105117,-22.93249018,5.74378229,75:75:255
267,-44.86865179,-22.15702386,6.2178203,255:62:62
268,-44.26860883,-22.3939301,0.54499777,238:238:255
269,-44.09178033,-22.94528181,-9999,255:255:255
270,-44.30502924,-22.72666648,0.93077665,225:225:255
271,-44.72082287,-23.23276435,-9999,255:255:255
272,-44.75768155,-23.08133228,10.02235403,0:0:255
273,-44.5862088,-22.15114729,2.25677768,184:184:255
274,-44.81292072,-23.32281364,2.62423795,173:173:255
275,-44.74269195,-22.24396635,4.88847835,255:103:103
276,-44.70147843,-22.92042991,3.34733733,150:150:255
277,-44.51547727,-22.43681097,7.33708138,26:26:255
278,-44.11644105,-22.58037459,7.51520285,20:20:255
279,-44.42138494,-22.78577009,6.90246878,255:40:40
280,-44.47908016,-22.89012603,2.27006002,255:185:185
281,-44.39483781,-22.37701908,27.10506488,255:0:0
282,-44.53932295,-22.28237195,0.4413644,241:241:255
283,-44.19367138,-22.53751807,4.22078184,123:123:255
284,-44.13177947,-22.19103927,3.21410371,255:155:155
285,-44.20180105,-22.71326568,5.90414003,255:71:71
286,-44.63539507,-22.48908919,0.00328399,255:255:255
287,-44.2366484,-22.41977342,1.50860041,255:208:208
288,-44.21964917,-22.22634271,2.1372224,188:188:255
289,-44.77877075,-23.24000119,0.77427953,230:230:255
290,-44.60558146,-22.84088975,2.08102014,190:190:255
291,-44.86258537,-22.72318608,8.25374761,255:0:0
292,-44.99342812,-23.32137944,1.13698519,219:219:255
293,-44.71137845,-22.31467695,2.27224487,184:184:255
294,-44.35165034,-22.70827405,2.33858217,255:183:183
295,-44.18137796,-22.34078471,3.25588385,153:153:255
296,-44.64966836,-22.35032595,3.21487941,255:155:155
297,-44.89739597,-22.70574103,7.83597705,255:11:11
298,-44.71290168,-22.32348137,2.03243948,191:191:255
299,-44.95896774,-22.5603813,4.08046168,255:128:128
300,-44.03583321,-22.27665859,3.18302789,255:156:156
301,-44.48635628,-22.65468034,2.61354417,255:174:174
302,-44.70917277,-22.79066167,0.65895076,255:235:235
303,-44.15875236,-22.88494672,5.23196281,91:91:255
304,-44.7348111,-22.80165582,1.07267328,255:222:222
305,-44.83883231,-23.11090898,7.76607059,255:13:13
306,-44.76803474,-22.73915082,7.92313141,255:8:8
307,-44.08309778,-22.02152233,5.69203887,77:77:255
308,-44.67235065,-22.43127643,2.62574098,173:173:255
309,-44.95948131,-22.98991669,7.44420621,255:23:23
310,-44.98270731,-22.8023995,8.93826031,0:0:255
311,-44.83719386,-22.66060211,4.36911709,255:119:119
312,-44.37015772,-22.23999753,7.42994565,23:23:255
313,-44.36791356,-22.2445825,0.84752503,228:228:255
314,-44.72235823,-22.99237812,4.30004183,120:120:255
315,-44.53334034,-22.63630253,0.15618563,255:251:251
316,-44.54861492,-22.96238453,3.27935597,152:152:255
317,-44.97758473,-23.06983003,0.20609849,255:249:249
318,-44.9298631,-22.7994607,4.06137909,128:128:255
319,-44.5086397,-22.24168199,6.26406382,59:59:255
320,-44.1826968,-22.14617003,1.87702956,255:197:197
321,-44.81412361,-22.95229451,4.04128043,255:129:129
322,-44.8609428,-22.68504306,0.6437054,255:235:235
323,-44.72314586,-23.1642457,4.32393344,120:120:255
324,-44.83405927,-23.24356462,1.38789849,211:211:255
325,-44.68816399,-23.26401095,0.14817651,255:251:251
326,-44.08737629,-22.85348314,2.64454859,255:173:173
327,-44.41290844,-22.23318193,1.46769077,255:210:210
328,-44.15993579,-22.22967923,1.86886575,255:197:197
329,-44.72999008,-22.74571708,2.3208582,255:183:183
330,-44.63639739,-22.0522939,6.32974534,57:57:255
331,-44.9902371,-22.8983238,2.25002611,255:185:185
332,-44.83279635,-23.14746363,10.37288179,0:0:255
333,-44.13123687,-22.41619115,4.52502029,255:114:114
334,-44.92248704,-22.24267318,2.65677677,255:173:173
335,-44.59062996,-22.62895079,0.90699983,226:226:255
336,-44.41743139,-22.10114225,6.30688168,58:58:255
337,-44.0661262,-22.59780092,2.25275692,255:185:185
338,-44.75775627,-22.20263684,5.97913795,255:69:69
339,-44.85502844,-22.3121041,1.92166633,195:195:255
340,-44.54556341,-22.50423281,1.78079966,255:200:200
341,-44.55012913,-22.7974298,3.74313479,255:139:139
342,-44.21485394,-22.09347922,2.59028745,174:174:255
343,-44.86554883,-22.55015546,3.28116338,255:153:153
344,-44.58290954,-22.21744458,4.93962958,100:100:255
345,-44.65907658,-22.07435506,13.709106,0:0:255
346,-44.93859957,-22.88166775,4.10101469,255:128:128
347,-44.74947312,-22.5359976,1.8733072,255:197:197
348,-44.10363576,-22.39475698,0.46322856,240:240:255
349,-44.44272261,-22.27980568,1.86386984,255:197:197
350,-44.80134423,-23.12067626,2.93051114,163:163:255
351,-44.27666941,-22.24916108,5.81527948,73:73:255
352,-44.41356663,-22.63241324,1.11878704,255:221:221
353,-44.84667017,-22.42664656,2.60815437,255:174:174
354,-44.82975524,-22.97776655,0.60328744,236:236:255
355,-44.04570976,-22.51698604,0.01047591,254:254:255
356,-44.74235379,-22.03195043,8.37307889,255:0:0
357,-44.03930697,-22.80763388,1.82324809,198:198:255
358,-44.8067034,-22.06752866,8.29716919,255:0:0
359,-44.95303308,-23.01315432,0.518222,238:238:255
360,-44.7327753,-23.28610495,1.66355449,255:204:204
361,-44.74473379,-22.78207113,1.63909648,255:204:204
362,-44.13405589,-22.67903654,0.27392099,255:247:247
363,-44.19090078,-22.37476018,1.13453997,219:219:255
364,-44.90368087,-22.36583504,2.22935272,255:186:186
365,-44.45619128,-22.39027194,1.30361941,214:214:255
366,-44.54470668,-22.55059891,3.39682366,255:150:150
367,-44.62716379,-23.28472617,0.48675231,239:239:255
368,-44.28324687,-22.68661017,2.54694486,255:176:176
369,-44.51854422,-23.01491007,0.69026872,233:233:255
370,-44.14617894,-22.22472307,6.34205012,255:58:58
371,-44.91608613,-22.84593616,3.27701129,152:152:255
372,-44.2449985,-22.36773561,1.98479024,255:194:194
373,-44.36404985,-22.32331756,0.50416199,255:240:240
374,-44.77091247,-23.10124392,0.92907517,226:226:255
375,-44.18958009,-22.54693869,4.19581531,255:125:125
376,-44.74284148,-23.32231403,6.53198391,51:51:255
377,-44.27393625,-23.12930897,2.59257124,255:175:175
378,-44.71851386,-23.24290694,0.79057381,255:231:231
379,-44.90772131,-22.21744499,0.48467695,255:240:240
380,-44.98441662,-22.09114438,7.19788601,255:31:31
381,-44.30706496,-22.82056495,4.35447117,119:119:255
382,-44.77088948,-22.5499505,3.26462198,255:154:154
383,-44.94613632,-22.66377136,4.87518835,255:103:103
384,-44.83148441,-22.43363533,0.19379482,248:248:255
385,-44.78323087,-22.69598431,3.2029477,255:156:156
386,-44.63801718,-22.39236828,0.24042282,255:248:248
387,-44.72372158,-23.30747476,2.82794353,166:166:255
388,-44.08028855,-22.76125863,6.96014885,255:38:38
389,-44.89917034,-23.06128954,0.56432879,237:237:255
390,-44.82147004,-22.03738538,3.78780043,136:136:255
391,-44.59595666,-22.05311697,2.6482237,172:172:255
392,-44.51578525,-22.91393656,0.05710729,255:254:254
393,-44.66173788,-22.29742388,2.25003392,255:185:185
394,-44.7611073,-22.28822815,1.30882606,214:214:255
395,-44.50578808,-22.61232125,2.94671013,255:164:164
396,-44.8438632,-22.18307537,18.7527378,0:0:255
397,-44.6643966,-22.79598927,0.84236388,255:229:229
398,-44.09976897,-22.09312707,0.72204181,255:233:233
399,-44.21182198,-23.11859285,0.66916924,255:235:235
400,-44.84650276,-22.716868,0.29617892,255:246:246
401,-44.65043311,-22.32741208,1.47765246,208:208:255
402,-44.01732441,-22.39847861,1.27972042,255:216:216
403,-44.62583138,-22.43413096,5.8314865,255:74:74
404,-44.76996149,-22.85049394,6.36326342,255:57:57
405,-44.85132505,-23.20766912,1.57326714,255:206:206
406,-44.40105202,-22.73322355,5.21914677,92:92:255
407,-44.49501677,-22.56002472,3.3059935,255:152:152
408,-44.2990795,-22.79778654,6.52182832,51:51:255
409,-44.43076968,-22.60806592,2.73332751,255:170:170
410,-44.91751327,-23.11735079,2.78351693,255:169:169
411,-44.47892424,-22.43533198,1.61515362,255:205:205
412,-44.79827127,-22.93287195,1.15958462,255:219:219
413,-44.2566877,-22.2301641,15.66552305,255:0:0
414,-44.17639957,-22.53754467,5.23663712,255:92:92
415,-44.64589059,-22.79379387,0.34467969,255:245:245
416,-44.14856589,-22.34365744,1.97728671,255:194:194
417,-44.65721018,-23.01119717,8.99877896,255:0:0
418,-44.04132037,-22.59623214,1.3518219,255:213:213
419,-44.7751627,-23.26704576,8.35948874,255:0:0
420,-44.23201157,-22.73210171,2.67070259,171:171:255
421,-44.79643411,-22.88082533,6.26022452,255:60:60
422,-44.63059668,-23.2496729,5.1142896,95:95:255
423,-44.54625761,-22.90359009,1.14081437,255:220:220
424,-44.02245839,-22.76435227,6.9584552,38:38:255
425,-44.37896998,-22.74614413,0.0907246700001,255:253:253
426,-44.74065497,-22.93589473,5.84115721,255:73:73
427,-44.75358354,-22.88333333,3.81939335,255:136:136
428,-44.54591171,-22.53766165,3.58985218,143:143:255
429,-44.21667971,-22.26684772,0.49169938,239:239:255
430,-44.08680912,-22.6338868,0.67985963,255:234:234
431,-44.84552312,-22.15139264,2.2378052,255:186:186
432,-44.59274512,-23.25496377,0.17211881,249:249:255
433,-44.25046456,-22.20607888,1.4747716,209:209:255
434,-44.11547551,-22.61475396,3.35081644,255:151:151
435,-44.19250277,-23.19423597,2.42977047,179:179:255
436,-44.86717232,-22.03581019,3.71006444,255:140:140
437,-44.98736265,-23.00786599,2.67870915,255:172:172
438,-44.77182497,-22.11217204,0.962089,225:225:255
439,-44.51472481,-22.24722296,3.35895309,150:150:255
440,-44.42445463,-22.36707871,3.28668347,255:153:153
441,-44.71696347,-23.30523683,0.57476151,237:237:255
442,-44.2275849,-22.09780373,5.02578905,98:98:255
443,-44.00926048,-22.7799571,2.70821779,255:171:171
444,-44.13613573,-22.83794103,1.34829486,255:213:213
445,-44.41219312,-22.36225071,0.05996091,253:253:255
446,-44.22399448,-22.41437373,2.32713066,255:183:183
447,-44.09263214,-22.00134798,11.27022716,0:0:255
448,-44.16140963,-22.30369439,2.75167275,169:169:255
449,-44.96780295,-22.70840125,3.6993905,255:140:140
450,-44.98578887,-22.58119911,4.88791574,255:103:103
451,-44.94907095,-22.17993548,2.78391092,255:169:169
452,-44.33722008,-22.15999086,2.31677221,182:182:255
453,-44.14629949,-22.31067765,0.03241034,253:253:255
454,-44.7509254,-22.34004017,4.08407934,255:128:128
455,-44.75961567,-23.36635364,0.5966768,236:236:255
456,-44.85907359,-22.82271427,1.68488688,202:202:255
457,-44.41409932,-22.72618963,3.52641043,255:146:146
458,-44.51744471,-22.57414526,9.91773425,255:0:0
459,-44.80392052,-23.33440342,4.35454168,119:119:255
460,-44.32020802,-22.16555775,13.18824704,0:0:255
461,-44.21342998,-22.40100326,5.91751403,255:71:71
462,-44.38231702,-22.76265342,3.85833046,255:135:135
463,-44.6289053,-22.80768487,11.98325107,255:0:0
464,-44.06402317,-22.20924923,1.36090116,255:213:213
465,-44.91422743,-22.50471593,4.44024929,255:117:117
466,-44.78975785,-22.47124424,12.98624544,255:0:0
467,-44.40079467,-22.31091506,2.42132173,255:180:180
468,-44.52940786,-22.51434724,2.78776265,255:169:169
469,-44.53533468,-22.70572058,0.94714281,225:225:255
470,-44.69294012,-22.70505569,4.92760443,101:101:255
471,-44.93729679,-22.64824357,4.44522718,116:116:255
472,-44.15119722,-22.98979388,3.69890662,139:139:255
473,-44.37405428,-22.47822616,5.51342342,255:84:84
474,-44.2088369,-22.24850186,7.80890542,11:11:255
