,aw3d30_wgs84_Iporanga,aw3d30_slope_Iporanga
636,886.10662603,9.45629
637,959.07971346,10.36434
638,347.97482769,26.92239
639,NaN,NaN
640,676.50740434,14.38083
641,NaN,NaN
642,772.85540721,6.154948
643,313.75192988,26.0973
644,757.19427697,8.352655
645,834.88464575,1.930339
646,643.24220657,11.93808
647,733.45410669,18.76995
648,908.56064723,7.511477
649,686.51008784,15.45372
650,789.41461221,10.88473
651,998.83731196,10.17594
652,220.93807671,20.35396
653,214.49280697,25.7241
654,850.50726824,10.29113
655,970.29476939,10.56417
656,890.2963248,10.24538
657,912.7198048,6.137693
658,NaN,NaN
659,78.82915735,16.97846
660,183.49774607,26.66923
661,325.63680362,21.35061
662,865.26109517,30.3707
663,NaN,NaN
664,927.24354963,20.52577
665,797.45534894,15.25469
666,927.97747507,13.59984
667,870.16025439,6.355956
668,809.2308096,18.88416
669,919.78121067,20.18339
670,176.77223554,13.48081
671,123.04286345,10.88063
672,874.58539492,3.752796
673,44.26530308,2.447389
674,414.62082991,18.42067
675,783.17376862,17.70597
676,1002.2012695,12.10497
677,NaN,NaN
678,289.72672502,44.35984
679,NaN,NaN
680,670.83131741,20.92414
681,787.65061191,20.4292
682,755.98469783,28.81194
683,956.67890666,12.40948
684,901.93521392,17.74441
685,869.64101413,12.29835
686,803.45449204,12.71182
687,788.78396625,24.96063
688,578.61475567,20.91972
689,933.66197544,29.07012
690,739.53739755,5.392881
691,412.56992844,22.05665
692,500.50732897,5.503661
693,904.75884599,18.16373
694,80.07922394,18.01675
695,654.07257832,9.172831
696,310.03280467,6.927488
697,853.60060053,11.77087
698,718.22224063,31.41013
699,NaN,NaN
700,638.11831278,8.558681
701,NaN,NaN
702,942.16790144,12.64722
703,709.40414224,15.52353
704,969.09526214,16.14932
705,660.2477733,2.572231
706,NaN,NaN
707,541.56158902,21.9597
708,750.298209,28.07642
709,281.11495321,6.281666
710,933.75393478,12.06645
711,148.0460283,17.43534
712,567.189297,12.55164
713,240.94334166,17.92164
714,879.5113713,8.876958
715,720.26737023,2.063804
