,srtm30_wgs84_Pantanal,srtm30_slope_Pantanal
554,108.35295258,0.4877688
555,136.07542057,0.769291
556,120.82808439,0.6735341
557,135.99565693,1.703484
558,126.12631402,1.052008
559,123.09532264,7.658571
560,133.72982052,4.019495
561,147.15331222,2.022584
562,119.60547459,1.41011
563,116.67834568,2.730758
564,117.20945023,1.07982
565,127.58310035,1.925083
566,126.34204423,1.721215
567,131.82309198,1.01558
568,125.62187555,2.110852
569,120.18798662,0.3354001
570,113.94575749,1.050121
571,134.51469306,1.376456
572,138.71389964,3.46802
573,138.76832626,1.402092
574,127.24211948,2.21839
575,109.59521854,0.9325221
576,134.2107413,3.034075
577,129.2921038,0.339414
578,109.39159265,1.926249
579,122.46517579,2.0347
580,105.70924347,0.3397717
581,116.02467336,2.700375
582,121.88421517,2.022121
583,126.95344808,1.189301
584,123.03499878,2.794084
585,121.39979724,1.051894
586,111.25198992,2.371481
587,115.98678337,3.065406
588,125.50854801,1.480405
589,134.7816513,1.530713
590,113.00056978,2.370268
591,116.19322009,2.066426
592,119.4438808,1.084206
593,120.1097232,7.403805
594,107.72555242,1.410345
595,121.97873593,3.997515
596,114.9777676,2.444986
597,114.88871893,3.70978
598,125.4805865,0.4648709
599,118.43000089,2.957782
600,114.39372463,3.407251
601,141.29875166,2.401454
602,143.32385109,1.462689
603,123.04961663,3.06616
604,126.16398937,3.238672
605,119.03143725,1.01073
606,136.1140944,1.533629
607,133.72161719,2.378172
608,118.26327575,2.036083
609,113.21859831,2.735297
610,115.71335852,1.08511
611,153.04614477,3.368471
612,118.0185817,1.717779
613,138.27397969,3.031711
614,124.68969987,0.4649305
615,118.97149517,2.158695
616,116.64434262,3.473836
617,134.86706084,4.20357
618,119.17771734,1.375667
619,133.23915835,2.36204
620,110.19427613,1.053473
621,134.41576058,1.863668
622,115.77155186,2.159248
623,128.91358433,2.573085
624,120.94499254,1.687826
625,120.8337965,1.649502
626,115.69380239,3.75469
627,116.28936443,0.3377797
628,113.81452362,1.7306
629,129.54004546,0.7652712
630,118.09003554,1.683534
631,129.01977245,0.9325721
632,119.05502853,3.111988
633,120.76618121,2.427557
634,123.10334791,1.402507
635,139.29104557,0.6748787
636,118.31544243,0.3379965
637,121.0618205,2.007694
638,128.8498186,1.245898
639,117.46750769,1.705307
640,117.02027472,1.011509
641,118.75665674,2.110307
642,120.24427523,4.534545
643,112.12757903,2.163304
644,135.87664725,3.754259
645,118.90326203,1.242771
646,123.58662391,2.006937
647,128.78983318,0.00224281
648,121.65449823,1.703081
649,123.78390656,1.012785
650,115.86497228,2.607179
651,119.66286162,1.010893
652,131.51287308,1.396459
653,119.4447008,1.478776
654,133.75118487,2.001563
655,121.78898989,3.40315
656,108.02505687,3.139639
657,119.84525678,2.662289
658,141.57264393,4.412625
659,136.36031891,2.162823
660,138.8499439,1.350191
661,114.07382967,2.931451
662,104.94617398,3.07794
663,125.832171,3.664889
664,117.37902147,3.6659
665,119.89291952,0.4648511
666,121.05751851,1.845559
667,122.33489653,1.46199
668,138.73556341,1.64959
669,124.35700131,2.571414
670,132.51061954,1.013187
671,127.05345245,2.571073
672,129.70076346,2.002362
673,140.43663924,1.190317
674,136.25258506,1.244001
675,126.10825711,1.051765
676,123.08938256,0.9307107
677,121.79033062,2.488761
678,113.03140506,1.540122
679,142.30447091,2.780884
680,115.00812334,1.789034
681,112.69964137,0.00209538
682,124.61290887,1.706174
683,120.83742824,1.924052
684,119.92246473,2.525493
685,118.74052364,2.769222
686,126.26107846,1.241786
687,120.48711802,3.111531
688,117.16831855,0.7680569
689,137.61486374,2.033441
690,123.58049389,2.205547
691,135.23125051,3.259509
692,143.16621365,1.243244
693,130.88230069,1.786822
694,126.25678378,2.439507
695,134.641024,2.957898
696,125.11231515,2.402477
697,123.31318906,0.739735
698,122.42727352,1.18942
699,139.73375441,0.7681058
700,136.54823027,2.608435
701,138.66854076,0.464962
702,119.44079981,1.788444
703,125.94427185,4.0656
704,128.10385413,7.049247
705,133.13049903,1.347144
706,141.03595001,1.014902
707,115.29960552,0.9800801
708,128.35636606,1.465856
709,126.61521675,2.571436
710,117.97081311,1.46012
711,131.02935662,0.3367251
712,132.17779147,1.480523
713,127.07699808,2.442278
714,109.25397699,1.083999
715,127.78201626,1.649615
716,109.253143,0.7714606
717,121.65295867,2.036726
718,112.75447513,5.796949
719,110.60600365,2.524769
720,129.16432292,0.9325526
721,115.42237653,1.012122
722,136.70011402,1.927288
723,121.44597886,2.526352
724,138.23379281,1.535509
725,114.93752247,1.46857
726,131.42509552,1.541963
727,115.7814503,1.080394
728,125.4266024,1.011736
729,142.57996471,0.4648753
730,139.81439117,1.083392
731,121.71333149,1.375022
732,130.02457295,2.76956
733,148.6673588,1.948123
734,113.57886366,1.346615
735,117.39648797,1.925255
736,139.35314681,0.3348401
737,124.59003094,3.497185
738,135.16428243,3.112789
739,114.01719318,1.012284
740,123.85219862,1.408311
741,134.56313223,2.361506
742,115.18361698,2.958964
743,125.31572517,0.3396689
744,120.02679391,3.142211
745,138.95789611,2.663392
746,135.44637042,1.861916
747,132.31356595,2.036286
748,122.73183344,0.4897504
749,123.10536594,1.191177
750,115.12483997,2.108556
751,131.72968964,4.548115
752,143.11515332,1.480329
753,131.48688311,1.844182
754,115.35334379,2.523134
755,124.69167927,0.3366916
756,133.33975306,1.539346
757,115.99407963,3.567433
758,139.06617646,2.773777
759,139.11612016,0.6747804
760,113.46252945,4.004688
761,135.23615201,1.481827
762,142.31592199,1.396418
763,129.67549573,2.209166
764,116.92440911,1.53591
765,124.6158642,2.379178
766,143.97767168,0.9307074
767,133.71071298,1.374012
768,120.39206922,1.849021
769,124.75951345,2.696106
770,121.12385265,1.702951
771,130.56532901,3.670401
772,124.19899234,2.52625
773,128.84124435,1.078629
774,114.91490594,0.3383923
775,126.14775574,1.480458
776,122.89869683,1.079802
777,121.03722549,1.34877
778,137.85651616,1.86192
779,128.01729949,3.034575
780,131.96792401,2.028037
781,119.31129174,2.103113
782,134.48661909,3.035973
783,148.21110378,2.162318
784,113.73182293,0.9737097
785,110.17495272,1.053068
786,122.41162199,1.348661
787,132.69098437,6.046552
788,127.15549583,1.348568
789,129.97799678,2.069788
790,116.77189385,1.925371
791,120.49540035,0.676456
792,119.56451199,2.697919
793,116.81588063,2.485616
794,123.63694821,3.677521
795,130.16802951,1.010182
796,118.15434584,0.4894717
797,137.9022778,2.377171
798,125.13386898,1.052334
799,113.30447612,2.834825
800,146.49038929,2.023835
801,132.71924847,1.786086
802,123.0537344,2.022429
803,114.14564173,2.571121
804,117.82416821,0.4669288
805,130.19586608,1.839136
806,138.07145415,2.614913
807,142.69071353,3.571304
808,112.50387175,0.6723359
809,116.35438649,0.4667194
810,143.50433266,2.573474
811,118.84537775,4.041893
812,125.56809548,0.7417622
813,121.55427306,2.202147
814,110.39688237,1.839921
815,137.89284927,2.378056
816,111.31505571,0.7707911
817,124.12856804,1.851297
818,121.79603267,3.682401
819,125.78043895,2.834606
820,138.46638102,0.00239254
821,122.30705842,3.440474
822,121.75308192,2.066677
823,122.68108723,2.698898
824,111.84594407,0.3355028
825,127.87968233,1.012225
826,112.83955013,2.424189
827,135.94203435,0.6748912
828,124.28203749,0.00223635
829,123.57137314,2.220933
830,125.73390031,3.035231
831,130.21808164,2.019467
832,107.44106251,3.383054
833,112.25312785,2.792113
834,116.59162584,1.346687
835,113.34456552,3.499236
836,114.10241614,1.73592
837,141.69187508,3.401369
838,117.13252334,1.411187
839,111.94734268,2.368109
840,114.70074677,2.42193
841,127.6920348,1.537215
842,127.8018835,3.034839
843,114.65531362,1.375384
844,130.81058046,3.075245
845,120.69420942,2.697239
846,139.8941492,2.610682
847,131.71984514,2.954115
848,124.91480947,2.571034
849,129.47270721,0.4894183
850,124.61276749,1.404357
851,110.1117351,1.691091
852,132.64366168,1.189309
853,127.33078802,3.463844
854,137.22419304,2.695956
855,137.90654427,1.92418
856,124.13209856,2.367968
857,109.36039799,1.53795
858,135.56480276,1.191196
859,113.67722389,2.425961
860,138.43167302,3.848843
861,115.76591685,0.339212
862,123.18949643,2.573017
863,111.12011973,0.3384202
864,119.02976115,0.7401946
865,139.84561793,3.245813
866,104.02188885,0.6765239
867,112.66401869,1.191134
868,116.14961086,2.61072
869,123.08421578,2.206948
870,109.78238362,2.573151
871,116.46318441,1.396416
872,120.46762523,1.00912
873,128.63625039,3.664039
874,115.39704415,1.649541
875,138.00584152,2.692512
876,134.94688901,1.347466
877,121.32128458,2.704262
878,115.7143864,2.80656
879,132.42531825,1.049744
880,133.39354107,0.4666891
881,128.80246204,4.196635
882,119.08456278,1.736031
883,123.87938215,0.7403692
884,121.15829399,1.083932
885,126.99159804,1.726449
886,125.21013498,0.4861104
887,131.68206332,4.158444
888,136.48005103,0.739774
889,129.96568408,2.022095
890,138.362048,3.372396
891,117.80323999,1.409824
892,121.59002312,1.010725
893,124.39692355,1.010168
894,136.0160008,2.607748
895,106.70883264,2.028703
896,109.25274379,1.24244
897,132.13887855,1.242868
898,123.6542328,5.060097
899,138.62025613,1.535716
900,130.05953663,3.715349
901,114.51483748,2.327154
902,124.3984254,0.3383586
903,131.81727917,0.7404141
904,123.01840971,1.863581
905,128.00225181,3.535612
906,134.03253806,0.9324754
907,127.60132368,2.009977
908,116.80496003,1.845292
909,110.46532909,3.077926
910,111.99337094,1.010209
911,116.03575103,0.4858367
912,118.75269916,2.663596
913,134.16625512,2.480004
914,112.68486629,2.701837
915,129.39478744,3.885927
916,115.49171994,1.406894
917,104.9646256,1.480314
918,123.01746402,3.960111
919,129.62902138,2.21749
920,142.09271238,1.861928
921,126.80762888,4.036046
922,123.44694489,2.730918
923,134.2939663,2.925354
924,104.01560809,1.247433
925,119.66259746,1.238086
926,113.36272759,1.011468
927,116.45757787,0.3366852
928,112.84173844,1.396407
929,144.01155396,1.011876
930,103.46460397,2.70492
931,134.52737482,2.104363
932,114.83136473,0.3395092
933,109.10482964,0.3354631
934,141.48189328,2.356346
935,110.58142581,1.863613
936,136.16733279,2.815313
937,124.26616331,3.401857
938,139.97287394,1.409189
939,119.27728357,1.536037
940,119.38704258,0.3383246
941,146.49075674,1.461048
942,123.44830009,2.609345
943,111.18968222,1.348726
944,136.64149274,1.396389
945,136.88993399,2.066503
946,140.82212699,1.84483
947,109.80594838,2.618632
948,114.45280222,0.3379292
949,124.33801808,1.084197
950,112.90891232,3.368397
951,125.22977341,0.9326032
952,138.00049694,2.695538
953,135.12906663,3.398261
954,123.41576269,0.3356094
955,123.43183579,0.7387817
956,123.51994769,2.221375
957,115.39594586,0.7401625
958,128.64891026,5.062498
959,109.25676404,1.189468
960,108.21796874,2.22031
961,133.08822043,3.88437
962,142.23361014,2.000802
963,116.48984128,1.051977
964,132.88207699,3.036082
965,126.16368213,4.007534
966,122.5219716,1.480574
967,114.98350513,2.209923
968,116.73558151,0.9807822
969,116.65723826,0.3382364
970,127.89909063,0.00227717
971,128.6643113,2.922043
972,117.09460348,1.374415
973,124.27959401,0.00230322
974,128.92888258,2.3021
975,135.45898395,0.7400629
976,109.55683615,1.847591
977,113.44813155,1.052319
978,126.4340842,1.347457
979,130.07429147,2.065707
980,126.9211397,1.374506
981,137.99949184,2.065006
982,121.10125923,1.050659
983,138.80766105,0.7385556
984,116.40381201,2.022135
985,133.24039961,1.19038
986,119.50639703,0.6735871
987,119.00255258,1.377767
988,132.61936523,0.7404021
989,116.61734787,1.081809
990,131.00022905,3.848908
991,112.87074348,1.01178
992,125.72016866,4.73485
993,130.70848612,3.881868
994,120.84333983,2.572782
995,128.31449392,2.732778
996,120.57660047,0.3399025
997,118.84200285,0.00215642
998,127.8427881,1.462247
999,132.82356978,3.112692
1000,121.79115252,2.011104
1001,138.71589425,0.00234835
1002,131.5654223,1.376034
1003,123.7024425,0.7667118
1004,111.70500444,1.730153
1005,127.06031181,2.836466
1006,126.75334408,1.73492
1007,126.66304436,2.48573
1008,135.16458916,0.6762257
1009,132.52812698,2.218145
1010,135.23482449,0.7399809
1011,127.39789701,1.012822
1012,139.69667988,4.675069
