,aster30_wgs84_Pantanal,aster30_slope_Pantanal
714,110.25397699,1.0832
715,125.78201626,2.764019
716,113.253143,1.407359
717,123.65295867,6.777695
718,114.75447513,4.0096
719,111.60600365,1.243156
720,133.16432292,4.43326
721,122.42237653,6.02811
722,141.70011402,4.447931
723,118.44597886,1.736553
724,146.23379281,6.264185
725,110.93752247,5.468306
726,134.42509552,5.079332
727,112.7814503,2.424766
728,128.4266024,1.084705
729,129.57996471,2.379096
730,143.81439117,5.063191
731,131.71333149,6.174949
732,130.02457295,1.459787
733,145.6673588,1.04975
734,113.57886366,3.069152
735,118.39648797,3.244071
736,134.35314681,5.98731
737,120.59003094,3.732496
738,143.16428243,0.4648848
739,112.01719318,5.08207
740,118.85219862,4.632449
741,125.56313223,4.770318
742,118.18361698,5.134591
743,130.31572517,4.422899
744,129.02679391,1.737975
745,135.95789611,0.7418103
746,126.44637042,1.53125
747,133.31356595,6.197062
748,115.73183344,1.736569
749,123.10536594,1.925245
750,113.12483997,4.422743
751,137.72968964,2.699888
752,143.11515332,5.086911
753,126.48688311,3.466743
754,118.35334379,3.061796
755,125.69167927,5.049527
756,125.33975306,4.795163
757,109.99407963,2.366594
758,133.06617646,8.273053
759,128.11612016,1.648975
760,111.46252945,2.965853
761,135.23615201,1.409525
762,139.31592199,2.062914
763,134.67549573,2.571089
764,110.92440911,3.400771
765,126.6158642,1.481615
766,141.97767168,4.397306
767,133.71071298,1.396425
768,118.39206922,1.409167
769,123.75951345,3.88769
770,125.12385265,1.377642
771,136.56532901,1.247362
772,129.19899234,10.37104
773,125.84124435,2.606572
774,117.91490594,3.076455
775,133.14775574,10.0154
776,117.89869683,6.591936
777,120.03722549,1.050073
778,130.85651616,2.021025
779,123.01729949,6.461828
780,124.96792401,2.780308
781,119.31129174,2.218135
782,138.48661909,2.690684
783,150.21110378,2.703072
784,113.73182293,3.033187
785,112.17495272,4.134414
786,115.41162199,2.072028
787,136.69098437,9.029531
788,126.15549583,6.696877
789,141.97799678,0.9324459
790,113.77189385,2.484652
791,119.49540035,4.616132
792,117.56451199,4.12488
793,115.81588063,3.252358
794,127.63694821,2.836554
795,128.16802951,1.241342
796,111.15434584,3.563933
797,129.9022778,1.724177
798,119.13386898,5.412766
799,111.30447612,4.410688
800,145.49038929,5.558509
801,133.71924847,3.13134
802,123.0537344,1.688205
803,114.14564173,6.881967
804,116.82416821,4.402227
805,135.19586608,7.951379
806,138.07145415,7.745581
807,145.69071353,1.536265
808,112.50387175,4.422763
809,108.35438649,5.761721
810,139.50433266,5.482834
811,114.84537775,4.711425
812,127.56809548,5.772652
813,121.55427306,2.298826
814,110.39688237,0.4648716
815,134.89284927,3.565902
816,110.31505571,2.166317
817,128.12856804,4.462039
818,115.79603267,3.075685
819,125.78043895,5.20701
820,140.46638102,3.421226
821,123.30705842,2.693966
822,128.75308192,4.519583
823,119.68108723,5.56462
824,113.84594407,5.607122
825,133.87968233,5.027987
826,116.83955013,5.77232
827,134.94203435,3.149459
828,122.28203749,0.7667075
829,119.57137314,2.919436
830,135.73390031,4.014854
831,130.21808164,2.356056
832,108.44106251,2.615787
833,111.25312785,2.360508
834,114.59162584,5.758965
835,116.34456552,1.682838
836,111.10241614,5.111853
837,146.69187508,1.86194
838,114.13252334,2.379213
839,112.94734268,4.304694
840,114.70074677,5.594885
841,125.6920348,3.690967
842,131.8018835,4.763562
843,114.65531362,1.011499
844,130.81058046,3.140414
845,119.69420942,0.7711045
846,142.8941492,8.476563
847,131.71984514,1.080858
848,131.91480947,1.531929
849,132.47270721,3.064115
850,120.61276749,2.398501
851,112.1117351,7.08162
852,127.64366168,2.065605
853,127.33078802,2.368755
854,140.22419304,2.309918
855,133.90654427,6.110063
856,124.13209856,3.030967
857,108.36039799,2.960333
858,130.56480276,2.003963
859,110.67722389,1.015767
860,134.43167302,3.451392
861,108.76591685,2.102437
862,123.18949643,2.607935
863,109.12011973,1.787304
864,126.02976115,2.380042
865,143.84561793,4.961502
866,107.02188885,2.957798
867,114.66401869,2.571422
868,113.14961086,3.414176
869,125.08421578,6.750175
870,112.78238362,0.3360108
871,116.46318441,2.103594
872,130.46762523,8.712744
873,134.63625039,7.476223
874,113.39704415,7.048222
875,135.00584152,0.334892
876,120.94688901,3.879348
877,112.32128458,1.349417
878,118.7143864,3.137367
879,137.42531825,5.132955
880,132.39354107,2.071631
881,125.80246204,7.929695
882,118.08456278,4.45751
883,126.87938215,7.429315
884,113.15829399,0.7677677
885,126.99159804,4.972689
886,120.21013498,2.963919
887,140.68206332,5.171455
