,tdx30_SantaCatarina,tdx30_slope_SantaCatarina
509,411.2202,27.44569
510,160.1965,14.90201
511,126.7188,35.44384
512,15.94843,1.19646
513,207.9502,16.86391
514,134.8375,21.64046
515,143.783,16.89139
516,541.7739,16.71795
517,3.6733,1.341045
518,95.0476,16.67288
519,424.9177,16.41853
520,595.5079,25.10024
521,410.8793,10.88685
522,762.4712,26.13125
523,2.23941,0.7359474
524,95.48946,24.45391
525,137.1656,2.260987
526,321.191,29.84086
527,20.52744,2.172755
528,9.731217,3.155918
529,95.75122,27.18387
530,643.0267,27.09434
531,61.64857,20.64388
532,101.7935,22.81256
533,10.70071,4.55928
534,245.3917,24.21553
535,77.10906,22.37852
536,9.116175,1.783879
537,30.09037,14.56367
538,35.85567,12.13789
539,475.6826,20.37095
540,344.8655,19.19922
541,277.8188,19.55095
542,19.03858,0.7194449
543,297.0696,22.12111
544,172.0423,27.61246
545,681.6452,13.60862
546,101.2789,22.87875
547,745.6161,17.92702
548,92.95506,13.79854
549,18.14263,2.694587
550,237.7356,35.08058
551,324.9287,22.53401
552,494.675,20.67938
553,14.59733,5.657936
554,108.0889,14.18382
555,75.34994,17.61248
556,906.3317,37.57917
557,2.495458,1.303787
558,655.3646,35.17007
559,22.87476,11.56667
560,263.7656,35.43794
561,2.677946,1.572978
562,22.37009,1.342095
563,29.39989,3.177931
564,496.1769,28.6622
565,12.82919,3.535651
566,641.6225,16.67743
567,1012.305,5.994226
568,253.8142,23.48584
569,689.358,24.98823
570,2.65757,0.3249005
571,100.8719,22.44843
572,18.11617,0.6425464
573,688.9764,5.55108
574,334.7465,4.793269
575,47.88593,6.194669
576,43.10219,7.015604
577,55.42544,8.162917
578,28.1467,2.192966
579,187.2197,15.73281
580,334.6691,17.13072
581,70.3102,8.896272
582,302.744,36.44786
583,506.3247,21.76038
584,11.53785,0.1782794
585,18.38255,4.249571
586,484.8136,10.7578
587,653.8217,14.2238
588,190.7626,30.08171
589,146.8769,10.89535
590,3.068581,0.1355501
591,385.6405,11.19507
592,221.8715,29.92318
593,130.3403,17.29177
594,1.504849,0.1130017
595,190.0486,10.7285
596,495.8503,19.95914
597,54.36541,2.085971
598,128.6406,23.65197
599,619.1827,31.63429
600,430.8831,0.690367
601,5.94212,1.08024
602,486.7861,9.631528
603,749.8297,24.02722
604,824.3741,28.96492
605,500.9807,11.63674
606,581.0463,25.48049
607,2.317612,0.8809978
608,280.1555,25.69902
609,171.4415,24.33269
610,170.1233,11.07537
611,693.0417,16.09097
612,233.0619,26.41959
613,429.5099,7.905042
614,17.4703,12.44072
615,3.728083,NaN
616,89.83119,10.71214
617,651.9805,14.76331
618,4.810324,2.420524
619,7.324644,0.9652858
620,231.9315,21.06395
621,763.5457,22.95594
622,126.6273,19.54422
623,1.686962,0.1605786
624,231.4454,22.19565
625,287.5455,19.36506
626,148.7793,18.39801
627,110.2957,32.82452
628,604.1704,22.51486
629,763.3822,3.029425
630,349.1191,14.91942
631,1.508786,1.51721
632,13.5501,7.487306
633,827.9624,18.15415
634,206.3876,24.79654
635,8.797278,0.8714895
636,112.0705,22.66624
637,7.136122,0.762728
638,144.8116,23.08392
639,135.2038,22.38324
640,326.4858,10.09299
641,186.7536,26.85619
642,425.0287,10.99513
643,8.686069,1.344096
644,153.8994,16.5411
645,475.1853,17.50245
646,352.298,18.93172
647,15.63328,4.013004
648,31.88564,12.28749
649,311.9486,23.08278
650,417.6102,27.0124
651,7.1436,1.126794
652,431.3999,0.6449676
653,2.623974,0.09977632
654,342.3314,16.94091
655,302.7414,26.43311
656,406.7334,18.79564
657,78.92516,26.02951
658,200.6112,25.14512
659,5.875288,1.246685
660,141.112,24.35763
661,456.0001,26.42076
662,5.743985,0.3241534
663,449.9067,10.78232
664,6.358397,1.090669
665,528.4545,11.39683
666,85.64122,24.66492
667,1.579031,0.2445459
668,14.87406,13.59333
669,468.6248,23.10437
670,114.8177,7.424101
671,745.765,11.47131
672,345.1639,21.65675
673,77.97514,9.54041
674,283.7163,23.56001
675,6.45047,0.3408583
676,240.7419,21.82141
677,3.573564,1.235951
678,731.8693,5.837748
679,86.81013,12.04518
680,316.9426,29.88285
681,4.473841,0.8266712
682,174.7194,7.085024
683,596.2257,22.4173
684,250.2097,16.34384
685,291.3075,15.31706
686,619.8544,26.89551
687,2.133904,0.1389648
688,8.232046,0.3635621
689,8.623882,8.433257
690,566.6371,13.08723
691,49.87968,4.398015
692,26.51555,5.759262
693,308.0639,21.73068
