,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
162,-62.05881819,-0.34224422,2.00021043,152:152:255
163,-62.30534185,-0.23872435,1.9997853,255:154:154
164,-62.78468985,-0.01068667,4.00044019,255:51:51
165,-62.45209164,-0.15106015,1.00021955,203:203:255
166,-62.79929625,-0.33584368,-9999,255:255:255
167,-62.06720297,-0.15925359,1.99978455,255:154:154
168,-62.35638195,-0.55765147,2.00068592,255:153:153
169,-62.79381784,-0.9260221,4.99931667,0:0:255
170,-62.39919548,-0.13181519,4.00021953,50:50:255
171,-62.37034215,-0.38120291,2.00021031,152:152:255
172,-62.93439454,-0.92299312,2.00068269,255:153:153
173,-62.19890157,-0.07155883,0.99978083,255:205:205
174,-62.34509445,-0.06860912,-9999,255:255:255
175,-62.57819764,-0.86457883,-9999,255:255:255
176,-62.56903868,-0.19691494,0.000680260000003,255:255:255
177,-62.64277271,-0.80109991,-9999,255:255:255
178,-62.83941971,-0.85505078,1.00068309,255:204:204
179,-62.17822818,-0.9981785,3.0,102:102:255
180,-62.31093897,-0.42696673,1.00020846,203:203:255
181,-62.31004374,-0.19977969,1.99978394,255:154:154
182,-62.64940737,-0.38678054,-9999,255:255:255
183,-62.78343313,-0.29090653,-9999,255:255:255
184,-62.26775927,-0.46905156,1.00068651,255:204:204
185,-62.96008839,-0.11467562,4.99956076,0:0:255
186,-62.70992182,-0.25237308,-9999,255:255:255
187,-62.2327385,-0.10032153,1.00046603,255:204:204
188,-62.41252299,-0.22195195,-9999,255:255:255
189,-62.55749731,-0.86863665,-9999,255:255:255
190,-62.07744816,-0.51340935,2.00020601,152:152:255
191,-62.20116724,-0.19416599,0.0,255:255:255
192,-62.95987085,-0.17157348,0.000443500000003,255:255:255
193,-62.34908994,-0.64392953,0.000484520000001,255:255:255
194,-62.53794674,-0.16232059,2.00045987,255:153:153
195,-62.64129893,-0.30575711,-9999,255:255:255
196,-62.07180882,-0.20772148,1.0,204:204:255
197,-62.98411357,-0.81825234,0.000681869999998,255:255:255
198,-62.37510409,-0.99144019,1.0,204:204:255
199,-62.94942739,-0.84455468,3.99931769,51:51:255
200,-62.48538949,-0.267348,-9999,255:255:255
201,-62.93500036,-0.14978084,4.00022889,50:50:255
202,-62.18459251,-0.17978516,0.000215609999998,254:254:255
203,-62.47620803,-0.30409292,-9999,255:255:255
204,-62.63403704,-0.37004311,3.00046843,255:102:102
205,-62.93043282,-0.28400536,0.99954707,204:204:255
206,-62.33539324,-0.65716723,1.0,255:204:204
207,-62.04748889,-0.18150849,0.000473120000002,255:255:255
208,-62.83394026,-0.48843328,-9999,255:255:255
209,-62.20521553,-0.01798735,1.99977901,255:154:154
210,-62.62655332,-0.12795333,5.99954533,0:0:255
211,-62.61335479,-0.41248338,2.0,153:153:255
212,-62.85854374,-0.2105495,2.00067497,255:153:153
213,-62.49416529,-0.92274569,-9999,255:255:255
214,-62.74681681,-0.12192923,2.99932456,102:102:255
215,-62.26097134,-0.72454175,10.0,0:0:255
216,-62.56848586,-0.15372694,5.00045833,255:0:0
217,-62.03839226,-0.24782808,3.0002129,101:101:255
218,-62.429655,-0.6331673,-9999,255:255:255
