,Araca_tdx12,Araca_tdx30,Araca_aster30,Araca_aw3d30,Barcelos_tdx12,Barcelos_tdx30,Barcelos_aster30,Barcelos_aw3d30,Pantanal_tdx12,Pantanal_tdx30,Pantanal_aster30,Pantanal_aw3d30,Iporanga_tdx12,Iporanga_tdx30,Iporanga_aster30,Iporanga_aw3d30,RioClaro_tdx12,RioClaro_tdx30,RioClaro_aster30,RioClaro_aw3d30,SantaCatarina_tdx12,SantaCatarina_tdx30,SantaCatarina_aster30,SantaCatarina_aw3d30,SerraMar_tdx12,SerraMar_tdx30,SerraMar_aster30,SerraMar_aw3d30
40,4.11946523,3.99260523,15.0,NaN,2.2531016,1.7230316,-7.0,NaN,-0.2334725,1.7715275,-1.0,1.0,1.3171542,-2.8963358,18.0,-18.0,5.20476374,4.71486374,2.0,-4.0,-1.14190321,3.12059679,7.0,-1.0,-4.95710599,3.71589401,15.0,-4.0
41,1.58836947,2.26172947,15.0,NaN,-4.40293395,-5.07789395,-2.0,NaN,3.60040088,4.05880088,1.0,-0.000507419999977,-1.23672711,-1.81892711,-4.0,2.99960396,6.74198918,5.99728918,-1.0,0.99956514,1.10059733,0.99015733,-14.0,-5.0,0.8496338,-2.9877662,-7.0,0.0
42,11.63139099,-0.52995901,1.0,3.99985617,1.77618266,1.92759266,-23.0,NaN,5.46437477,5.15207477,1.0,0.00101888,8.96643881,10.67143881,12.0,4.00026406,-4.34810098,3.99969902,4.0,-17.00016825,-0.02221524,1.79661776,2.0,2.0,-4.05096872,-2.43086872,17.0,-2.0
43,0.94982917,2.88662917,19.0,-2.0001309,3.37982177,3.30774177,7.0,0.000451600000002,2.47146479,2.63786479,-6.0,0.00101685,11.70577345,10.69657345,17.0,6.00017853,5.16154529,4.87264529,0.0,-2.0001916,-1.54229479,-2.63685479,14.0,-1.0,-14.29222747,-6.34662747,-9.0,-14.0
44,6.24231745,2.66131745,4.0,NaN,-0.27649709,0.23707291,-1.0,2.00046513,5.70911032,4.89011032,1.0,2.00105856,5.47576255,4.56946255,2.0,3.00025189,3.66159977,3.88169977,6.0,1.99983535,3.0422091,2.9064541,-5.0,1.0,3.88602956,3.26042956,5.0,-3.0
45,6.56442625,6.76175625,6.0,4.99923179,-0.53632056,-0.62616056,-10.0,NaN,3.0593432,3.0136432,4.0,0.0,6.88516108,7.72596108,14.0,2.0,27.88289382,27.08559382,7.0,25.0,15.01015461,-2.73044539,-12.0,0.0,10.37909327,2.07909327,-1.0,-2.0
46,-4.76961474,-6.89061474,33.0,NaN,-0.29347201,-0.35196201,8.0,1.00046506,3.25950105,3.57110105,-8.0,-2.99893986,7.90655547,6.31385547,-4.0,1.00025214,7.38198978,3.22428978,-4.0,-1.00016367,11.31268766,8.24068766,-1.0,10.0,-1.16022004,-2.77572004,0.0,-8.0
47,2.55394645,0.85570645,3.0,-0.000753740000007,1.96431392,1.76998392,-7.0,0.99977941,0.31464198,-0.18345802,-3.0,-3.0,-8.0106383,-7.1412383,-1.0,-1.0,6.03056639,5.10486639,2.0,2.0,3.77019444,3.34754844,-13.0,NaN,4.10414215,0.30914215,-3.0,-2.0
48,0.94265456,0.04542456,27.0,-3.0007268,4.5724184,4.2633684,2.0,NaN,3.77799535,-0.89060465,-3.0,2.0,-1.01107649,0.39582351,5.0,-4.0,5.85426198,2.55386198,-2.0,-1.0,7.16239605,3.65276705,1.0,4.0,0.33416926,-3.61873074,-5.0,1.0
49,-0.13275984,-0.64198984,1.0,0.0,-1.60557911,0.24221089,10.0,2.00067936,1.27403162,0.14293162,-2.0,-3.99909296,5.54781798,8.80701798,10.0,15.00018964,2.12118589,0.84508589,5.0,-1.00019213,-5.77434924,1.24965076,5.0,-1.0,2.63823333,-0.17076667,28.0,3.0
50,9.64797325,8.70575325,6.0,4.99932154,-2.41392864,-1.53275864,-10.0,-4.00021164,4.69882507,4.60012507,5.0,2.0,5.33880603,4.89845603,0.0,2.0,1.83483979,1.64733979,10.0,-4.0,15.38018892,0.08098892,4.0,9.0,6.88808128,-2.30201872,-9.0,3.0
51,3.29498626,3.43951626,16.0,NaN,2.67885892,0.83795892,2.0,NaN,5.62266147,6.30916147,2.0,2.0,1.82766408,2.09536408,15.0,1.0,6.32484211,7.28874211,9.0,0.0,-10.6911451,-0.6215451,-3.0,-14.0,14.49082403,2.61282403,2.0,10.0
52,5.96067771,5.49507771,9.0,NaN,-0.24548207,-0.23590207,2.0,0.000470369999995,4.73258356,4.59918356,12.0,-0.99893404,10.46390405,7.68930405,3.0,5.00028155,4.09387823,3.61687823,-6.0,0.99984311,NaN,NaN,NaN,NaN,-2.10405601,0.50544399,4.0,-3.0
53,1.45546509,0.45456509,-4.0,2.0,-25.76154639,-22.28287639,-15.0,-5.99931729,-1.77959729,0.27270271,1.0,-1.99910126,-1.9582069,-1.8144069,-4.0,-8.99973885,1.56229525,1.96739525,-12.0,-0.000153469999987,5.92975362,3.50875362,2.0,4.0,-3.55392413,-3.72772413,3.0,-6.0
54,-6.04707268,-5.91637268,7.0,NaN,0.19751979,0.81049979,12.0,0.99978649,4.78552892,4.94712892,6.0,-1.0,7.87750348,7.09750348,6.0,4.0,6.17252695,5.63652695,-9.0,4.0,2.7884381,3.0343881,3.0,-1.0,11.09733109,3.29833109,14.0,21.0
55,-6.85862486,-3.60662486,5.0,NaN,-0.81043385,-0.85526385,-1.0,-0.99953387,1.49619965,2.30719965,-3.0,-2.99894778,3.03597938,2.35657938,-15.0,-5.9997463,6.05556492,5.85056492,4.0,2.99983286,-27.6128806,-25.1838806,-7.0,-18.0,11.8205449,6.6065449,10.0,14.0
56,-2.25746629,-2.25330629,9.0,NaN,3.84033317,3.40092317,1.0,-0.000213209999998,5.38187256,5.47397256,2.0,0.0,6.61166142,7.62176142,11.0,5.0,10.1587035,9.5670035,8.0,3.0,-0.27541192,3.05398808,13.0,-3.0,-12.74870992,1.56069008,6.0,-6.0
57,0.77504144,0.66737144,1.0,-2.00014284,-0.29593221,0.71118779,-9.0,0.000460400000001,4.57179311,4.46079311,5.0,1.00099669,3.41764282,5.70744282,-4.0,4.00020277,4.34784529,5.61744529,-9.0,0.99981046,8.77627769,-5.82832231,1.0,-1.0,-8.42381829,3.60678171,6.0,-5.0
58,1.05046043,1.90971043,3.0,NaN,0.94928776,-0.16445224,2.0,-1.00019986,1.06054419,1.71984419,-3.0,0.99952288,-0.14814906,5.48575094,0.0,-6.00032426,7.68036649,6.50066649,10.0,3.999615,3.340027,3.058161,1.0,3.0,-2.27665381,2.83734619,-4.0,-7.0
59,1.0391062,2.0955162,3.0,-0.000154249999994,-0.76079511,0.86723489,6.0,NaN,4.78609456,3.91789456,4.0,-1.99949155,19.45014968,13.35375968,17.0,11.99987339,4.83466608,5.27946608,-5.0,1.9993983,5.57621902,4.68121902,7.0,3.0,0.73391188,NaN,-9.0,-2.0
60,-2.59387215,-1.11778215,-15.0,NaN,-2.40533882,-2.47477882,8.0,-4.0,4.66656226,5.14666226,10.0,-1.0,-6.53719001,-0.79759001,20.0,-12.0,10.02290095,4.73670095,-1.0,4.0,12.72206269,-2.78973731,-3.0,3.0,5.60225579,1.25275579,15.0,7.0
61,5.52123371,5.22644371,9.0,NaN,0.87984899,0.59009899,1.0,NaN,8.04418524,6.47818524,6.0,3.0,-7.19761484,-4.92841484,11.0,-11.0,3.00409388,3.13799388,0.0,-2.0,9.8216056,1.2368056,-2.0,12.0,1.58297241,1.57757241,-6.0,-1.0
62,0.18386571,-0.53574429,6.0,0.0,-1.04919916,2.10578084,-5.0,NaN,5.2133302,5.7776302,5.0,4.0010025,-3.23906148,-0.33676148,9.0,-6.99964738,5.35239027,5.29019027,0.0,2.99988302,12.58803742,9.58023742,10.0,4.0,-9.5351366,-1.2611366,2.0,-8.0
