,X,Y,srtm30_wgs84-tdx30_abs,srtm30_wgs84-tdx30_color
167,-62.06720297,-0.15925359,0.71111541,255:222:222
168,-62.35638195,-0.55765147,0.21467103,244:244:255
169,-62.79381784,-0.9260221,6.58905502,0:0:255
170,-62.39919548,-0.13181519,0.2263737,255:245:245
171,-62.37034215,-0.38120291,0.69843356,221:221:255
172,-62.93439454,-0.92299312,0.41374363,235:235:255
173,-62.19890157,-0.07155883,0.94602877,255:211:211
174,-62.34509445,-0.06860912,4.58418696,255:38:38
175,-62.57819764,-0.86457883,0.11134763,255:250:250
176,-62.56903868,-0.19691494,3.59668023,255:85:85
177,-62.64277271,-0.80109991,4.26999764,255:53:53
178,-62.83941971,-0.85505078,1.59369629,255:180:180
179,-62.17822818,-0.9981785,6.37148914,0:0:255
180,-62.31093897,-0.42696673,2.54873033,255:134:134
181,-62.31004374,-0.19977969,2.34232408,255:144:144
182,-62.64940737,-0.38678054,0.44857097,255:234:234
183,-62.78343313,-0.29090653,0.26547254,255:243:243
184,-62.26775927,-0.46905156,2.23725982,148:148:255
185,-62.96008839,-0.11467562,1.48212726,184:184:255
186,-62.70992182,-0.25237308,1.56647882,180:180:255
187,-62.2327385,-0.10032153,1.81346102,255:169:169
188,-62.41252299,-0.22195195,2.4205717,255:140:140
189,-62.55749731,-0.86863665,2.70062597,255:127:127
190,-62.07744816,-0.51340935,0.47994114,232:232:255
191,-62.20116724,-0.19416599,0.56003446,228:228:255
192,-62.95987085,-0.17157348,0.31449095,240:240:255
193,-62.34908994,-0.64392953,2.81880127,255:122:122
194,-62.53794674,-0.16232059,4.17837822,255:57:57
195,-62.64129893,-0.30575711,2.10157905,255:156:156
196,-62.07180882,-0.20772148,0.93905028,210:210:255
197,-62.98411357,-0.81825234,5.22530554,6:6:255
198,-62.37510409,-0.99144019,4.77220485,28:28:255
199,-62.94942739,-0.84455468,10.34405956,255:0:0
200,-62.48538949,-0.267348,1.48776933,255:185:185
201,-62.93500036,-0.14978084,1.81817849,168:168:255
202,-62.18459251,-0.17978516,1.16795838,199:199:255
203,-62.47620803,-0.30409292,0.09603979,255:251:251
204,-62.63403704,-0.37004311,4.99049507,255:18:18
205,-62.93043282,-0.28400536,4.95517181,19:19:255
206,-62.33539324,-0.65716723,1.18635215,255:199:199
207,-62.04748889,-0.18150849,0.55754449,228:228:255
208,-62.83394026,-0.48843328,1.62142973,177:177:255
209,-62.20521553,-0.01798735,0.25977168,255:243:243
210,-62.62655332,-0.12795333,0.66797162,223:223:255
211,-62.61335479,-0.41248338,2.50113793,255:137:137
212,-62.85854374,-0.2105495,0.80011253,255:217:217
213,-62.49416529,-0.92274569,0.31622754,255:240:240
214,-62.74681681,-0.12192923,3.11459423,106:106:255
215,-62.26097134,-0.72454175,2.62556492,255:131:131
216,-62.56848586,-0.15372694,7.28288327,255:0:0
217,-62.03839226,-0.24782808,2.5073194,135:135:255
218,-62.429655,-0.6331673,3.84784153,255:73:73
219,-62.29025964,-0.227911,0.92151242,255:212:212
220,-62.40155837,-0.25890536,2.50504221,135:135:255
221,-62.66730043,-0.360412,1.99886484,159:159:255
222,-62.30594959,-0.05858278,2.73087317,255:126:126
223,-62.21330113,-0.06982169,0.13636886,255:249:249
224,-62.26696629,-0.68715227,1.70110829,174:174:255
225,-62.80061506,-0.79181703,1.85664988,255:167:167
226,-62.72396697,-0.45813153,3.74609546,255:77:77
227,-62.67308089,-0.66404538,4.03963267,255:63:63
228,-62.39929469,-0.64178966,0.9308491,255:211:211
229,-62.06084855,-0.1550264,2.0749878,255:157:157
230,-62.54868141,-0.53362877,1.70953783,255:174:174
231,-62.8310142,-0.7271464,2.8042973,255:122:122
232,-62.78845952,-0.71275543,0.72943015,220:220:255
233,-62.97382078,-0.77626403,15.78666537,0:0:255
234,-62.72171983,-0.52135181,1.60165853,255:179:179
235,-62.61383053,-0.97647035,2.36058965,142:142:255
236,-62.05023024,-0.77598437,0.92168067,211:211:255
237,-62.88600721,-0.76103498,1.27407257,255:195:195
238,-62.19534284,-0.97645347,3.84785818,72:72:255
239,-62.87885017,-0.50805028,3.13656607,255:106:106
240,-62.78473116,-0.14898543,17.97477211,255:0:0
241,-62.96232499,-0.94011541,0.60008206,255:227:227
242,-62.51945322,-0.70940492,1.0965459,202:202:255
243,-62.5143949,-0.7267491,2.32383956,144:144:255
244,-62.19410218,-0.00188421,2.09093695,255:156:156
245,-62.71308435,-0.6542041,3.24889813,255:101:101
246,-62.61451844,-0.13398124,2.65076684,255:129:129
247,-62.37281528,-0.66306544,1.06108311,204:204:255
248,-62.7110489,-0.42657683,2.71319091,255:127:127
249,-62.49770727,-0.71837451,3.05059659,255:110:110
250,-62.09476371,-0.67359748,4.1147483,59:59:255
251,-62.79305726,-0.01372688,4.58488645,255:38:38
252,-62.70253066,-0.37901567,3.58896456,255:85:85
253,-62.47579905,-0.13077497,0.24714775,255:244:244
254,-62.38867144,-0.52212189,1.08951838,255:204:204
255,-62.03536804,-0.48472238,4.32628153,49:49:255
256,-62.64189515,-0.81285404,0.78043098,255:218:218
257,-62.4304774,-0.7665194,1.64807352,176:176:255
258,-62.04571809,-0.79378396,4.52899761,39:39:255
259,-62.8720708,-0.70965083,4.92072238,255:22:22
260,-62.03231318,-0.92667687,3.23979815,100:100:255
261,-62.22861958,-0.43032097,3.58115428,255:85:85
262,-62.21177392,-0.45473181,1.65858814,255:177:177
263,-62.67660854,-0.14267787,3.75643946,255:77:77
264,-62.4677193,-0.8399241,1.83422214,167:167:255
265,-62.65885785,-0.37370205,1.33002837,255:192:192
266,-62.72744235,-0.38957449,4.89174695,255:23:23
267,-62.8714322,-0.87911578,7.25578109,0:0:255
268,-62.54731656,-0.3105832,0.48153301,255:233:233
269,-62.29858803,-0.74874461,1.50028832,255:184:184
270,-62.56495691,-0.70639367,4.45609676,43:43:255
271,-62.44882818,-0.09841257,2.24262456,255:149:149
272,-62.53812883,-0.00512339,5.1292589,255:12:12
273,-62.50068259,-0.14513072,1.0624377,255:205:205
274,-62.01559231,-0.06287399,1.78168771,170:170:255
275,-62.30435753,-0.03052484,0.87918707,255:214:214
276,-62.18852592,-0.35042726,1.50802843,183:183:255
277,-62.70061928,-0.40609302,1.40510174,255:189:189
278,-62.80076512,-0.24715564,0.09833199,255:251:251
279,-62.32900395,-0.5592459,1.02397588,206:206:255
280,-62.5249261,-0.23923231,1.02872186,255:207:207
281,-62.96382576,-0.54790429,4.64110104,255:35:35
282,-62.97035698,-0.76565553,-9999,255:255:255
283,-62.0240638,-0.35268315,1.03179905,205:205:255
284,-62.76419261,-0.7535349,0.32090803,255:240:240
285,-62.00655166,-0.91336309,1.55226094,255:182:182
286,-62.41992125,-0.27545688,5.25416956,255:6:6
287,-62.93479727,-0.07496995,3.78195095,255:76:76
288,-62.20515582,-0.12137021,1.54077703,181:181:255
289,-62.11373838,-0.40968455,2.4835311,136:136:255
290,-62.18734104,-0.80308105,1.65106025,176:176:255
291,-62.46931078,-0.62332289,3.48204971,255:90:90
292,-62.54315627,-0.16632283,1.89624776,255:165:165
293,-62.27326519,-0.94320964,1.3449493,255:192:192
294,-62.44657541,-0.96980216,2.73322642,125:125:255
295,-62.87434442,-0.55520925,2.1053269,255:155:155
296,-62.00983558,-0.45913136,4.46336725,42:42:255
297,-62.07358474,-0.23595959,4.90798854,21:21:255
298,-62.60311825,-0.50454425,4.92878829,20:20:255
299,-62.89775979,-0.04178737,1.12876965,255:202:202
300,-62.96429858,-0.97803637,3.46900903,90:90:255
301,-62.14397293,-0.25146209,4.06818749,61:61:255
302,-62.89883507,-0.98033409,1.1607248,199:199:255
303,-62.26860194,-0.69166773,2.60243249,255:132:132
304,-62.54830004,-0.64842119,0.99499814,207:207:255
305,-62.12313478,-0.26926867,1.12914795,255:202:202
306,-62.97344283,-0.72392081,4.1107907,255:60:60
307,-62.78155711,-0.83478158,0.12418519,249:249:255
308,-62.12371943,-0.31026968,0.57217803,255:228:228
309,-62.83932942,-0.41959739,0.67547376,255:223:223
310,-62.41094172,-0.68828779,2.34375459,255:144:144
311,-62.867237,-0.00672894,1.51316844,255:184:184
312,-62.90109694,-0.17960048,2.10850638,255:155:155
313,-62.88698223,-0.55262609,8.12805588,255:0:0
314,-62.16105117,-0.66527242,0.43677222,234:234:255
315,-62.86865179,-0.11202653,2.20967135,255:150:150
316,-62.26860883,-0.28104407,0.23614355,255:244:244
317,-62.45128982,-0.89280908,3.3131272,255:98:98
318,-62.09178033,-0.67439844,2.51137474,135:135:255
319,-62.30502924,-0.51843031,0.15178834,247:247:255
320,-62.27613099,-0.76494363,0.92164051,211:211:255
321,-62.72082287,-0.87949894,3.04671055,110:110:255
322,-62.75768155,-0.77146179,0.60162827,255:227:227
323,-62.5862088,-0.10783397,2.19918472,255:151:151
324,-62.81292072,-0.94374338,3.04725448,255:111:111
325,-62.74269195,-0.17405447,0.35562491,238:238:255
326,-62.70147843,-0.65666819,3.0235951,255:112:112
327,-62.51547727,-0.31163684,3.16718366,255:105:105
328,-62.64325942,-0.82706547,0.80561256,216:216:255
329,-62.11644105,-0.41406035,1.29134705,193:193:255
330,-62.42138494,-0.56059698,1.47901988,184:184:255
331,-62.47908016,-0.63504829,2.40474099,255:141:141
332,-62.39483781,-0.26897913,0.88889906,212:212:255
333,-62.53932295,-0.20145443,1.50465853,255:184:184
334,-62.19367138,-0.38348495,2.47388884,255:138:138
335,-62.13177947,-0.13629437,2.4240269,255:140:140
336,-62.20180105,-0.50886969,2.04873069,255:158:158
337,-62.25171656,-0.94805774,0.42107098,255:235:235
338,-62.63539507,-0.34893403,0.85228591,214:214:255
339,-62.2366484,-0.29948163,0.43420957,255:235:235
340,-62.21964917,-0.16148112,2.0596928,157:157:255
341,-62.77877075,-0.88466197,1.77856773,255:171:171
342,-62.60558146,-0.59992135,0.54962171,255:229:229
343,-62.86258537,-0.51594726,1.53850942,255:182:182
344,-62.99342812,-0.94272017,1.6931599,174:174:255
345,-62.71137845,-0.22450198,1.50449681,255:184:184
346,-62.38877147,-0.75882819,2.08941195,155:155:255
347,-62.56545791,-0.7758982,0.04743394,252:252:255
348,-62.37404524,-0.78438314,1.3433026,191:191:255
349,-62.35165034,-0.50530848,2.40553433,255:141:141
350,-62.18137796,-0.24312821,1.66298378,175:175:255
351,-62.33089028,-0.74326,3.49061007,255:90:90
352,-62.64966836,-0.24993528,0.30373121,255:241:241
353,-62.89739597,-0.50350133,1.47759089,184:184:255
354,-62.54172445,-0.77653456,0.75825756,218:218:255
355,-62.71290168,-0.23078338,2.46948117,137:137:255
356,-62.95896774,-0.39979641,1.12253806,201:201:255
357,-62.03583321,-0.19737831,0.72496237,220:220:255
358,-62.48635628,-0.46707278,2.40239711,140:140:255
359,-62.70917277,-0.5640868,0.84577608,214:214:255
360,-62.15875236,-0.63135319,0.60103881,255:227:227
361,-62.7348111,-0.57193043,1.12571658,255:202:202
362,-62.36997614,-0.89712028,2.4083443,255:141:141
363,-62.83883231,-0.79256289,1.37005748,189:189:255
364,-62.76803474,-0.52733709,1.09235692,203:203:255
365,-62.08309778,-0.01535481,0.86716951,255:214:214
366,-62.11029417,-0.94745786,1.2500187,255:196:196
