,tdx30_Iporanga,tdx30_slope_Iporanga
696,305.2357,10.54194
697,860.1186,5.988433
698,696.543,34.20811
699,579.9174,33.31837
700,636.3011,6.34737
701,121.3564,3.778472
702,943.8485,8.441005
703,702.1321,12.65196
704,969.5446,14.85703
705,655.3397,2.602399
706,82.95065,12.88079
707,549.6613,31.93929
708,740.8892,20.92453
709,294.6299,33.92811
710,938.8163,8.11499
711,141.8363,19.24663
712,566.0659,14.35646
713,233.2151,20.2148
714,875.4261,9.189083
715,718.9508,2.235332
716,790.5322,14.11264
717,758.3488,32.3299
718,937.8349,6.520446
719,475.2309,11.96097
720,419.9813,26.76432
721,882.5125,18.47614
722,251.2244,28.50819
723,849.3799,25.34536
724,647.373,23.91475
725,257.0619,18.49541
726,721.2659,21.6562
727,505.6462,18.80956
728,319.6989,18.00318
729,821.9915,12.16953
730,18.22454,4.422615
731,891.2059,11.5285
732,740.2852,7.904604
733,97.49969,19.51345
734,1033.851,17.42193
735,878.5925,16.30996
736,708.5927,22.92132
737,711.0391,14.52007
738,855.7872,12.48144
739,712.2898,33.28943
740,826.5701,4.403339
741,155.5371,24.75963
742,767.1818,25.13506
743,137.8645,16.24781
744,383.4161,33.44363
745,207.2565,15.41913
746,734.1932,12.30285
747,748.9475,7.523819
748,916.2598,12.54964
749,789.9153,17.08623
750,483.4113,27.00681
751,97.36562,2.238348
752,179.4416,15.34814
753,140.0385,9.868692
754,799.2512,11.11425
755,486.6206,33.41831
756,108.5728,10.64764
757,733.4254,28.31626
758,23.61912,0.2432049
759,732.0296,5.988077
760,241.4206,25.93136
761,75.82373,15.75053
762,101.1389,23.91481
763,145.0757,20.81475
764,222.2385,19.6021
765,940.4627,22.68758
766,756.7736,6.530627
767,170.756,22.87518
768,528.2826,18.82415
769,894.8679,11.04745
770,186.4978,23.67607
771,780.4891,24.81556
772,278.4601,29.37088
773,759.1557,30.32479
774,545.1531,28.6906
775,110.9642,24.97831
776,895.6516,3.835714
777,847.6807,41.01107
778,95.38414,5.928258
779,84.60994,16.25044
780,310.1475,1.976756
781,535.5495,29.98621
782,617.0517,23.63375
783,274.9992,26.61881
784,920.798,7.124431
785,724.1143,3.765049
786,743.6351,15.92556
787,203.9846,24.95262
788,644.0884,26.64057
789,413.2144,24.05669
790,403.3887,18.39497
791,1006.341,14.92708
792,705.8564,25.79539
793,629.1445,33.94467
794,662.8539,2.013219
795,747.9003,4.927446
796,835.0446,17.74879
797,851.4333,19.77498
798,715.6232,14.98836
799,789.861,14.54477
800,723.3507,6.997724
801,619.6226,9.898333
802,1007.244,6.893054
803,759.7283,15.25288
804,851.0375,27.38356
805,743.9355,2.130095
806,64.61315,6.88567
807,835.6582,6.383539
808,882.3697,11.52127
809,265.954,20.65331
810,663.589,20.99042
811,712.7295,7.880282
812,541.2001,29.57413
813,803.7764,14.28105
814,827.9206,5.292322
815,704.9849,26.13124
816,707.0621,16.52647
817,1037.834,20.76886
818,812.55,4.869296
819,985.2949,10.80503
820,914.6185,14.41041
821,862.9677,3.303447
822,125.7597,18.84556
823,332.6504,30.30467
824,812.5432,16.94115
825,982.8282,25.92456
826,907.6716,3.795787
827,784.4192,10.41607
828,241.2872,17.32192
829,984.8003,14.98347
830,763.2449,29.68658
831,801.8354,4.542507
832,850.9924,24.7475
833,744.1377,6.91317
834,934.6524,13.67842
835,696.765,13.98513
836,351.749,16.39082
837,101.9571,25.31012
838,567.2309,27.97378
839,944.8343,10.0005
840,913.8428,13.93937
841,101.2542,13.25813
842,357.0643,26.52031
843,954.275,13.12378
844,162.1585,26.18115
845,645.3608,21.58856
846,810.2061,27.29403
847,644.0171,3.97626
848,709.2679,5.189316
849,928.4078,23.89533
850,297.692,29.36971
851,742.5469,10.19563
852,324.5884,10.94066
853,603.8035,21.57129
854,105.9545,19.67052
855,291.8066,21.03898
856,856.6259,12.18748
857,559.3414,18.21638
858,735.5717,1.918055
859,318.8977,20.71848
860,215.9811,13.17532
861,979.2538,5.335992
862,893.1647,11.45732
863,558.3558,29.7071
864,337.726,21.36476
865,244.5778,21.75769
866,865.5465,19.2394
867,895.558,4.571799
868,877.3278,34.68121
869,781.0342,11.39586
870,840.6226,23.98985
871,321.9007,29.49077
872,875.1621,23.79203
873,53.86454,17.96753
874,973.9689,4.692026
875,868.4023,15.09276
876,870.1207,20.95713
877,178.5024,35.13836
878,860.1699,17.04953
879,871.3598,10.62715
880,89.52586,5.959422
881,875.1511,15.68915
882,963.0901,16.37836
883,660.9716,3.918522
884,208.1303,11.28801
885,430.7067,8.137753
886,846.3668,1.801446
887,379.987,14.6631
888,830.4252,7.482453
889,439.6254,31.58385
890,198.0968,23.64478
891,784.1918,13.02651
892,866.1255,16.35098
893,120.5283,21.22446
894,523.6992,38.45031
895,945.4957,21.77876
896,325.8473,17.10444
897,372.6792,22.6536
898,909.9458,15.2285
899,823.0999,22.699
900,744.2094,10.50211
901,882.0073,12.17527
902,229.4342,28.19434
903,763.1965,4.440463
904,663.5147,9.743097
905,774.2455,18.57146
906,983.4486,27.46285
907,714.1763,7.177289
908,319.3465,19.99649
909,988.08,7.890064
910,872.2919,17.69216
911,922.6865,21.78875
912,557.6857,39.12717
913,687.3707,10.09107
914,408.067,31.66877
915,683.5212,6.377732
916,945.5095,4.013757
917,851.7307,25.96876
918,885.6033,21.033
919,942.6083,9.19686
920,757.8634,4.445801
921,778.1863,16.14648
922,829.7575,6.530086
923,64.76934,6.980503
924,945.3367,34.65783
925,791.3201,2.543614
926,301.6121,22.27143
927,970.8478,12.20687
928,863.9478,10.5416
929,836.5444,39.61891
930,781.6846,28.44818
931,779.7049,17.22927
932,308.5726,12.65082
933,892.4417,9.947326
934,857.4542,13.68817
935,878.9026,37.97283
936,24.54756,0.8762333
937,184.0993,34.35029
938,46.76654,16.23444
939,911.512,14.50542
940,333.3578,8.751625
941,35.0915,2.080607
942,842.3261,7.943364
943,487.3403,33.93143
944,648.6556,12.79496
945,761.314,13.77501
946,16.38209,5.856404
947,957.8688,20.99009
948,974.9012,27.85886
949,304.3114,36.22229
950,867.8539,5.267731
951,338.3664,27.77788
952,24.31996,0.4099939
953,704.2744,2.60343
954,825.1249,27.75982
955,714.8328,28.8661
956,886.2344,6.451143
957,356.6931,25.59386
958,832.3995,29.20127
959,917.9291,29.92097
960,745.1078,36.53188
961,602.5935,19.40722
962,773.9699,26.10726
963,131.4912,42.14589
964,276.7587,19.87812
965,194.1196,19.80762
966,713.9638,18.29496
967,453.4594,31.27048
968,781.4139,21.6282
969,743.8162,20.76493
970,356.0309,30.81441
971,89.17848,28.82134
972,194.9271,10.03358
973,816.1783,18.40519
974,693.8594,11.48701
975,58.71729,1.564266
976,582.6989,27.43502
977,834.9791,21.79737
978,210.5497,18.41828
979,280.1074,31.22957
980,698.3945,10.28783
981,247.3859,29.13348
982,363.4919,2.278511
983,80.63037,11.65684
984,1021.084,7.552735
985,759.553,2.270905
986,894.3046,17.26488
987,228.2935,26.04284
988,673.0076,8.915203
989,831.6288,4.437277
990,343.1825,10.83522
991,667.4863,28.33864
992,693.6146,8.579801
993,622.465,10.53149
994,684.3596,8.792708
995,244.0207,17.0782
996,841.7918,15.23616
997,883.798,21.60215
998,566.1614,17.64582
999,687.2512,9.704462
1000,756.9478,33.59949
1001,628.8666,6.484327
1002,108.7819,27.87876
1003,834.5637,19.87005
1004,715.5166,33.06517
1005,107.2456,18.04326
1006,35.0272,4.348563
1007,264.2054,16.26874
1008,673.4368,10.25811
1009,63.44049,11.95874
1010,121.7706,10.00282
1011,203.7465,22.93859
1012,71.72972,10.70674
1013,142.3114,11.15696
1014,932.1171,7.122846
1015,793.8828,7.937027
1016,650.6056,17.68807
1017,953.973,5.356801
1018,344.3358,4.225744
1019,765.0712,10.21549
1020,827.5717,6.961407
1021,765.1307,13.26609
1022,1008.403,10.29557
1023,723.1492,8.121397
1024,635.2388,1.902308
1025,850.1635,24.67348
1026,939.1992,21.16084
1027,104.2199,5.070251
1028,717.8293,31.75845
1029,43.44171,15.68446
1030,628.1503,3.30236
1031,953.9939,14.82684
1032,159.6462,21.82509
1033,981.099,8.110369
1034,926.4422,39.54131
1035,803.1874,4.216324
1036,921.2441,15.06436
1037,373.6405,27.70195
1038,824.7932,21.2016
1039,594.2572,2.975586
1040,39.25386,1.94232
1041,917.3917,8.011345
1042,349.6231,27.04576
1043,865.0845,28.94378
1044,663.5594,5.955343
1045,754.5128,10.08787
1046,863.2115,7.371329
1047,663.0904,6.97732
1048,654.9541,3.549814
1049,627.6848,18.19939
1050,691.8802,17.72526
1051,705.8104,24.05861
1052,19.51216,1.992117
1053,269.2208,17.42126
1054,118.4657,9.822674
1055,974.6381,5.729586
1056,478.6573,21.87658
1057,953.1511,16.34281
1058,517.3485,7.569164
1059,212.1521,11.43622
1060,385.2061,20.08155
1061,913.8524,6.00297
1062,859.9557,6.719649
1063,951.5858,26.64392
1064,214.0,6.460385
1065,439.9675,28.98877
1066,540.7252,17.37672
1067,915.6937,24.68827
1068,90.28003,11.14113
1069,918.113,5.16679
1070,808.6185,4.650154
1071,372.8289,25.80383
1072,813.3781,2.631655
1073,554.2794,36.27551
1074,983.6309,17.809
1075,457.7056,9.529567
1076,734.8889,15.21316
1077,996.7841,20.05421
1078,150.1297,14.37472
1079,869.8041,9.129757
1080,671.9008,4.881798
1081,698.8577,10.02432
1082,431.6481,24.20351
1083,854.7435,6.350264
1084,849.4121,17.44934
1085,276.9644,14.90336
1086,802.8785,19.08292
1087,39.20642,6.436396
1088,174.5364,19.80979
1089,314.9878,28.95485
1090,27.71589,8.327051
1091,579.536,24.86069
1092,998.1761,4.17971
1093,45.13665,3.505642
1094,985.0869,5.735884
1095,84.20576,13.53598
1096,199.6532,21.33977
1097,552.6743,26.23653
1098,785.882,20.89455
1099,21.3351,0.6641231
1100,958.8024,5.235208
1101,992.7938,18.47889
1102,825.1122,8.123528
1103,899.0071,20.07079
1104,196.1788,24.4649
1105,382.2714,3.520371
1106,524.5355,38.48
1107,577.4713,32.24304
1108,874.6125,27.48752
1109,462.0744,5.311863
1110,548.324,34.50868
1111,602.2998,20.64594
1112,1038.713,19.43371
1113,770.9097,44.58662
1114,88.13527,17.98462
1115,756.02,6.231897
1116,683.7019,17.65938
