,tdx12_Araca,tdx12_slope_Araca
215,41.43468,3.123149
216,71.39037,8.563953
217,61.55732,4.834011
218,35.11002,0.5445646
219,70.67925,1.094344
220,58.3126,6.451954
221,57.32961,6.715517
222,1050.616,11.15413
223,870.358,13.27445
224,29.86458,5.487191
225,50.9999,3.630552
226,45.23678,1.161835
227,38.44201,2.57761
228,36.24489,1.366064
229,74.54363,0.7676852
230,47.6749,3.272363
231,40.09299,0.5447204
232,44.34719,1.923097
233,49.06159,6.509545
234,51.99976,5.352291
235,44.36801,0.3590066
236,33.32804,2.686712
237,46.87064,2.830007
238,52.00885,2.381816
239,54.71041,3.17134
240,63.88278,1.76021
241,51.53762,8.500044
242,52.49174,1.589291
243,53.62629,1.825879
244,635.7123,30.80631
245,36.88456,8.193395
246,71.73457,3.14636
247,34.09492,0.5051337
248,55.21233,1.761591
249,48.31643,3.319031
250,33.664,0.8862182
251,80.43185,2.299696
252,52.59703,5.575755
253,99.65836,4.534964
254,37.06074,0.8215034
255,46.08198,1.379742
256,56.28798,7.899919
257,48.33356,3.272734
258,30.02752,1.333335
259,62.45133,1.801127
260,30.38596,0.1238208
261,52.45729,6.584892
262,36.92952,1.567632
263,69.23096,3.906291
264,50.71737,7.26953
265,54.55139,5.580967
266,62.59354,4.022521
267,52.70468,1.906703
268,59.79506,4.715333
269,47.50204,9.508352
270,53.20707,3.435341
271,954.1732,32.53064
272,247.9368,26.15799
273,84.72808,9.887356
274,105.6989,7.469411
275,1296.368,14.01908
276,48.84574,1.726593
277,56.93373,2.706381
278,67.37636,1.016464
279,35.09039,1.910335
280,63.54616,0.1388915
281,59.91714,8.738048
282,35.3856,0.6597494
283,44.65585,4.665903
284,45.64016,1.579172
285,32.24475,4.981763
286,59.38641,3.469408
287,73.21576,1.516837
288,946.8066,7.695792
289,43.43952,1.757914
290,26.35065,0.7265963
291,35.599,0.4766689
292,74.51715,0.7595105
293,48.36885,12.41747
294,47.821,3.082185
295,41.28468,12.0383
296,37.8427,2.041231
297,67.01584,5.953573
298,47.24975,3.998294
299,75.93979,3.45079
300,52.85579,6.341331
301,91.09681,8.233996
302,56.84041,2.323935
303,28.96182,7.320839
304,42.22939,3.082633
305,89.03871,3.941298
306,59.05979,3.290537
307,52.6573,15.19863
308,74.83939,3.029585
309,56.29827,2.343171
310,31.73741,0.8204569
311,86.58428,6.831032
312,71.81381,10.45176
313,45.85467,1.759903
314,32.65366,1.196461
315,60.85616,18.80574
316,52.34673,1.544209
317,32.56944,5.828144
318,34.39098,5.333663
319,37.25778,2.564039
320,50.75727,3.625517
321,58.95363,11.42804
322,56.68021,5.116758
323,79.41798,3.500376
324,55.873,5.558993
325,66.22836,3.034884
326,38.1486,2.269209
327,52.89784,2.619187
328,55.43932,4.994131
329,54.63043,10.64886
330,34.61077,3.424303
331,37.28959,6.377347
332,59.16334,13.25579
333,71.28883,7.50626
334,44.41073,3.533876
335,113.0902,5.007168
336,39.55029,8.137943
337,25.02804,0.2012473
338,51.06135,3.182293
339,47.75124,1.716464
340,999.8629,6.359056
341,59.82642,5.472271
342,38.34354,2.233546
343,55.40165,6.236835
344,44.50222,5.085701
345,59.24712,2.183226
346,54.51427,2.68847
347,31.63851,2.866919
348,45.28352,2.277888
349,35.00731,5.791305
350,87.7951,15.41104
351,47.3235,6.411677
352,58.98771,7.025806
353,50.31358,0.8296103
354,35.34153,11.6644
355,57.12839,2.950177
356,59.16561,3.427168
357,69.02612,6.198101
358,44.78615,4.925841
359,50.01482,2.681441
360,30.82993,0.6878404
361,49.70311,3.383392
362,51.34012,3.193638
363,59.66854,7.288497
364,48.82548,3.761176
365,290.4859,42.27141
366,30.6479,0.41621
367,54.3636,8.21122
368,46.62313,0.368881
369,61.81858,9.991975
370,56.90174,1.285786
371,42.89368,1.569689
372,61.39289,0.597482
373,114.7148,15.31228
374,76.88337,4.55312
375,39.3844,9.580673
376,57.28921,9.985966
377,42.09068,4.987142
378,50.50706,4.343353
379,61.29715,6.82661
380,70.0873,5.78683
381,28.20892,2.066523
382,770.0682,24.23255
383,50.82873,3.7709
384,46.50036,4.591555
385,48.49027,9.158212
386,60.63742,7.665492
387,31.3547,0.5102083
388,45.77414,1.932395
