,srtm30_wgs84_Barcelos,srtm30_slope_Barcelos
116,48.30353098,4.700531
117,51.55344848,0.7368202
118,42.51949451,3.953786
119,30.31768164,0.9322054
120,13.94728009,3.5608
121,43.24892653,4.926107
122,40.5188374,0.4644936
123,44.12735532,2.656173
124,43.36541651,3.240745
125,33.15165423,3.293709
126,43.68271601,1.772527
127,46.2764872,3.660983
128,13.77448479,0.984777
129,44.8701256,3.816901
130,35.35527965,0.7342895
131,29.53107759,2.208779
132,45.74527551,0.7367978
133,43.46629079,3.628634
134,38.70873719,2.646884
135,38.83579904,5.281392
136,17.14337448,0.001316
137,20.00012553,0.00131858
138,40.70237867,1.188377
139,46.6751229,0.9330064
140,49.27307667,2.494408
141,39.20868725,1.47419
142,48.09990883,4.884191
143,54.48554294,3.036999
144,25.71307925,2.655506
145,45.10360541,0.7368435
146,37.95347813,3.538407
147,45.25753015,4.273942
148,20.70644393,1.313817
149,29.74573862,10.78646
150,31.90482076,2.976084
151,46.77160329,3.679296
152,20.00783097,2.072346
153,41.653612,0.9870731
154,48.54835996,2.95647
155,42.76594417,2.11009
156,44.21281909,1.773516
157,46.61091709,6.225856
158,43.27746684,0.9251106
159,47.49826614,6.555312
160,42.57179635,1.473443
161,22.78330361,1.399146
162,44.74158351,3.838426
163,46.27216777,3.368873
164,40.26178518,3.433702
165,45.56438858,2.639069
166,39.56053723,3.106165
167,43.62191541,1.473397
168,45.63901897,2.705252
169,16.97876498,7.464071
170,26.4196737,1.355974
171,41.54149644,2.641544
172,26.32229637,4.929963
173,39.87923877,2.81287
174,50.23661696,1.179985
175,20.40596763,1.041061
176,32.88818023,1.473424
177,40.52032764,3.609973
178,26.04212629,4.702662
179,7.51327086,3.298609
180,45.42932033,1.970569
181,42.25365408,1.188338
182,44.23260097,5.617307
183,33.48655254,2.300549
184,22.35452018,6.198153
185,38.77264274,6.105097
186,42.27633118,1.763906
187,25.98554102,0.6584681
188,48.5232817,0.7315579
189,24.35734597,1.351904
190,45.91593886,3.08714
191,41.98073554,2.375309
192,48.81908905,6.034062
193,47.68405127,2.375339
194,30.78449822,4.265823
195,50.15046905,1.466609
196,39.67118972,2.496643
197,31.37193446,2.300106
198,35.99270515,0.9322598
199,17.30514256,0.00131496
200,50.73739933,1.920637
201,49.74078151,2.557907
202,37.92837162,1.355978
203,47.74342979,0.7342178
204,52.18233507,5.811245
205,47.83892819,1.644017
206,19.65941215,1.179896
207,43.59098551,1.187845
208,39.76285027,0.00132017
209,36.85182168,4.190066
210,31.97363838,3.388661
211,45.16364793,4.274663
212,50.60518253,5.118145
213,39.23874754,3.284317
214,47.26194577,0.6584663
215,48.52420492,0.7342565
216,40.85244327,6.612099
217,42.6193806,3.500434
218,48.87524153,6.225811
219,44.22680242,2.833264
220,46.52530779,3.273728
221,47.25593516,1.040366
222,31.13219317,6.280311
223,40.91352886,0.9870566
224,44.51232171,2.319364
225,39.90289988,1.995463
226,49.47030546,5.72822
227,38.49728267,1.474178
228,43.8060791,1.473382
229,40.6035578,2.628026
230,37.09528783,1.766585
231,28.9313773,2.496782
232,31.81655985,2.976207
233,17.31706463,0.00131572
234,46.51182853,1.189113
235,15.57017035,5.136663
236,45.04064933,2.954259
237,37.09069257,2.5741
238,9.54052182,2.388564
239,33.88726607,1.315031
240,24.37568711,0.6567034
241,45.40296206,1.035916
242,16.1514141,2.574102
243,14.15159044,0.9865436
244,31.81162695,7.369458
245,25.58845813,1.180049
246,39.94870684,1.922036
247,42.75621689,2.095504
248,48.41443091,1.97058
249,20.10434659,3.016143
250,41.0769317,2.650558
251,38.28449645,2.209534
252,49.35673456,4.412503
253,43.60690775,5.570729
254,45.69234838,2.32383
255,38.79080847,0.656124
256,37.52665098,0.461996
257,14.97295648,3.087281
258,43.04248239,2.496542
259,35.01980238,2.385879
260,43.10455185,6.033428
261,47.22864428,6.034038
262,46.20502814,0.9870588
263,49.10745946,4.448265
264,26.11635786,1.853727
265,45.24575837,0.3280513
266,49.42610695,2.072242
267,25.13787891,5.650259
268,46.92312301,1.774264
269,44.63475832,2.496521
270,33.26152324,6.913909
271,42.51521456,3.021664
272,32.6579589,1.636229
273,45.6789677,1.970569
274,43.41954229,0.4659339
275,36.10573707,4.925199
276,44.06877157,1.911158
277,47.37285174,6.44148
278,54.49399199,3.240416
279,45.57212412,4.1009
280,26.81309186,1.994904
281,24.12539104,4.411733
282,17.30137374,0.0013159
283,40.66354095,1.67193
284,18.78559803,1.179926
285,45.03174094,3.238282
286,29.58309956,5.813416
287,33.67848095,1.647514
288,45.93362297,3.525756
289,42.9287089,1.353605
290,48.39849975,4.122563
291,49.96528971,3.030594
292,31.79982776,6.072123
293,14.7093193,3.664228
