,aw3d30_wgs84_Pantanal,aw3d30_slope_Pantanal
178,109.31150095,1.053883
179,132.1024551,2.328791
180,134.63711433,2.922259
181,138.19796867,2.062617
182,118.81288101,1.702263
183,121.10001268,0.00212867
184,132.54860016,2.161259
185,114.3568715,0.7396856
186,121.76732996,1.05155
187,137.70739756,0.9763418
188,129.62724324,0.3364143
189,116.35000714,5.111718
190,135.8819806,0.4667959
191,142.77088086,4.631995
192,113.4674383,0.7658302
193,126.179998,3.037468
194,132.97134432,4.614164
195,120.62771519,0.9306876
196,142.2952133,1.460018
197,108.71831007,2.616993
198,123.86833095,1.86193
199,113.65206292,1.690348
200,127.98628367,1.009395
201,114.34221037,1.241783
202,139.67924268,2.698788
203,128.02389796,1.009505
204,127.72634226,4.475583
205,118.58646036,6.412141
206,126.15098608,0.4908275
207,151.14992187,3.401489
208,122.64751052,2.206518
209,137.43852932,0.741666
210,121.2233261,0.3349485
211,120.73321321,3.441807
212,117.2010256,2.748509
213,130.20629176,2.702496
214,117.63850809,2.70014
215,129.98049619,1.085365
216,125.06539333,0.3378105
217,144.24069234,0.3349793
218,126.46636731,4.014589
219,136.17686,0.3379724
220,130.65811416,0.00226652
221,125.826618,1.479737
222,137.90156612,2.355543
223,139.57271349,2.958758
224,131.93921885,3.371569
225,112.07520581,0.3384671
226,129.21219549,4.070854
227,117.41098845,1.011987
228,127.36751735,1.084095
229,141.15260715,0.7398237
230,121.72681456,1.011568
231,114.06573665,0.466758
232,113.89693093,0.7714614
233,109.61581497,2.008785
234,119.32185818,2.026003
235,113.73178246,2.526671
236,136.22447794,3.754045
237,112.30665554,0.7676555
238,130.13770278,0.3389572
239,118.83376863,1.479859
240,120.82597045,1.078888
241,105.84859849,1.015397
242,118.93693684,1.05222
243,118.94824645,1.64711
244,138.36403593,1.345363
245,116.53413808,1.845793
246,124.19262636,1.531747
247,130.30534436,7.551435
248,121.10678026,2.219226
249,120.87198724,1.246269
250,133.23290397,1.734519
251,124.58286194,2.52156
252,124.9871514,1.706059
253,127.67962693,0.74038
254,127.10967417,0.00226355
255,141.66310858,0.4649489
256,119.55979987,2.696671
257,123.70442411,0.491105
258,137.23564073,1.085062
259,112.172306,1.084994
260,137.39468199,8.261357
261,136.32650262,2.401986
262,135.30585482,1.375822
263,121.43171969,0.3349786
264,126.96966028,4.014826
265,121.82156354,2.033593
266,119.09413931,0.7398524
267,116.45750616,2.221459
268,133.29813329,5.099525
269,128.16840207,0.6744587
270,120.09786582,2.167341
271,129.51534755,0.7647318
272,124.65421775,0.4888861
273,129.80057963,2.42524
274,143.79877677,0.4648923
275,135.83884503,2.368738
276,141.02051474,0.7417549
