,srtm30_wgs84_RioClaro,srtm30_slope_RioClaro
518,609.95169926,3.255342
519,723.4383135,2.848052
520,535.95141871,4.882228
521,726.38486919,1.56883
522,645.87336312,2.365703
523,561.85831359,0.00094871
524,714.40475591,2.225853
525,628.95966711,1.369457
526,866.21482979,3.522955
527,547.37698118,3.851519
528,892.38919786,21.38732
529,599.76719426,4.184129
530,706.74482659,2.572568
531,720.95129646,1.927053
532,554.87232146,5.269015
533,585.73767833,4.08174
534,602.6223303,3.536023
535,615.63194023,5.368746
536,697.9525787,6.82054
537,619.12337016,1.43269
538,580.02137646,1.772627
539,619.6956021,4.243555
540,657.02665249,1.765743
541,896.01514924,5.749104
542,598.92573395,0.6843756
543,876.83985636,9.938225
544,714.34270654,21.03691
545,609.74882737,5.360046
546,678.04319508,2.100651
547,849.70039483,0.7849331
548,711.08874136,9.112912
549,493.91946282,3.829637
550,465.23224904,2.76892
551,578.38099576,3.114835
552,631.14532873,4.440023
553,715.10504881,5.450454
554,533.8639899,2.738334
555,596.76610486,1.794421
556,585.91096092,5.132177
557,604.11353849,7.930051
558,626.43885865,11.96422
559,647.35616042,0.9303857
560,605.13180619,9.681541
561,705.96600621,3.192735
562,594.94815294,5.658179
563,917.79367304,15.13586
564,731.84042137,14.71488
565,628.8965453,3.453105
566,630.06586273,0.00094332
567,630.01140606,6.756705
568,638.29069601,2.209972
569,570.19501521,4.800489
570,887.96070857,4.594615
571,586.77851743,2.053664
572,658.11508186,7.878393
573,631.93396639,2.35515
574,565.79548643,2.994061
575,506.46300405,4.558844
576,709.95082117,5.736758
577,638.02810696,4.590865
578,509.53535336,3.071585
579,976.44491652,8.935704
580,500.85872734,7.71824
581,756.48595799,5.482936
582,745.39214627,3.566546
583,734.28090866,1.502818
584,686.9145302,10.89774
585,532.19411355,4.480134
586,478.2520969,5.257606
587,854.19126194,1.569412
588,700.31146099,6.28219
589,553.59462188,1.024546
590,458.37503109,3.147474
591,479.27899881,6.304723
592,564.21778341,8.491821
593,792.72309769,5.776733
594,546.58691841,2.570704
595,654.96885735,2.668077
596,497.48448612,1.719223
597,498.48242476,6.12473
598,607.87383333,6.799471
599,644.84326791,2.731936
600,542.66259066,0.7413279
601,641.02330155,7.285805
602,604.69371411,0.7410451
603,658.79259752,12.51121
604,630.01585801,4.299924
605,832.60706926,3.034079
606,644.28615279,3.068835
607,625.47180095,3.1022
608,633.01336575,6.732598
609,723.03723996,32.24027
610,511.52548333,3.122484
611,632.05445678,7.356976
612,793.17677165,3.030459
613,596.7168024,1.764525
614,522.49493342,5.06535
615,786.57133974,2.499055
616,499.44155306,7.833019
617,568.85159159,1.794454
618,534.21886288,13.09644
619,602.10225297,3.647637
620,893.98071764,3.143929
621,565.87220339,4.141067
622,858.69450963,5.776364
623,704.74335276,3.49266
624,610.3523358,6.812454
625,523.65716296,4.602967
626,946.87360043,3.453494
627,722.52261781,5.053379
