,X,Y,srtm30_wgs84-tdx30_abs,srtm30_wgs84-tdx30_color
357,-47.03583321,-22.19737831,1.85607076,255:204:204
358,-47.48635628,-22.46707278,5.30122661,255:107:107
359,-47.70917277,-22.5640868,5.21709293,255:109:109
360,-47.15875236,-22.63135319,6.12767326,255:84:84
361,-47.7348111,-22.57193043,4.38612346,255:133:133
362,-47.36997614,-22.89712028,3.33722412,255:162:162
363,-47.83883231,-22.79256289,2.6987095,255:180:180
364,-47.76803474,-22.52733709,3.68384116,255:152:152
365,-47.08309778,-22.01535481,2.84325704,255:176:176
366,-47.11029417,-22.94745786,3.07327124,255:169:169
367,-47.67235065,-22.3076883,5.40139893,255:104:104
368,-47.65079908,-22.95561507,5.47838443,255:102:102
369,-47.95948131,-22.70624259,2.60708485,255:182:182
370,-47.98270731,-22.572461,0.39080603,244:244:255
371,-47.66731764,-22.81661698,8.83252649,255:8:8
372,-47.83719386,-22.47129758,6.55186605,255:72:72
373,-47.37015772,-22.17122297,5.41431001,255:104:104
374,-47.36791356,-22.17449405,3.44627368,255:159:159
375,-47.72235823,-22.70799866,8.69015266,255:12:12
376,-47.53334034,-22.45396138,5.72796122,255:95:95
377,-47.54861492,-22.68660014,0.49353107,241:241:255
378,-47.97758473,-22.76325567,1.23698955,255:221:221
379,-47.9298631,-22.57036435,5.64968063,255:97:97
380,-47.5086397,-22.17242473,5.00028496,255:115:115
381,-47.47231373,-22.87590606,9.30246972,255:0:0
382,-47.1826968,-22.10428302,2.67216155,255:181:181
383,-47.81412361,-22.67940155,6.30232525,255:79:79
384,-47.8609428,-22.48873464,6.54265592,255:72:72
385,-47.72314586,-22.83061524,5.40805965,255:104:104
386,-47.83405927,-22.88720425,4.04379247,255:142:142
387,-47.03427443,-22.87287005,5.36806396,255:105:105
388,-47.68816399,-22.90179141,3.78987456,255:149:149
389,-47.55801406,-22.85645587,4.12356802,255:140:140
390,-47.08737629,-22.60890593,3.01161786,255:171:171
391,-47.4324519,-22.86027778,5.62340858,255:98:98
392,-47.59319376,-22.87743107,5.48287881,255:102:102
393,-47.41290844,-22.16636047,4.00934828,255:143:143
394,-47.15257028,-22.85295412,4.16424592,255:139:139
395,-47.15993579,-22.16386152,0.39776545,243:243:255
396,-47.72999008,-22.5320217,4.35264081,255:134:134
397,-47.63639739,-22.03730837,7.38709041,48:48:255
398,-47.9902371,-22.64089689,5.49130283,255:102:102
399,-47.83279635,-22.8186423,4.89531142,255:118:118
400,-47.38457492,-22.92504116,5.69228979,255:96:96
401,-47.13123687,-22.29692591,6.78900672,255:65:65
402,-47.92248704,-22.17313187,6.26987346,255:80:80
403,-47.59062996,-22.44871638,5.20944144,255:110:110
404,-47.85677612,-22.99515292,4.37671084,255:133:133
405,-47.41743139,-22.07215856,3.35563659,255:161:161
406,-47.04094205,-22.90961729,5.46918392,255:102:102
407,-47.0661262,-22.42649293,4.38941504,255:133:133
408,-47.75775627,-22.1445685,4.05213663,255:142:142
409,-47.85502844,-22.22266642,2.88268556,255:175:175
410,-47.54556341,-22.35973803,7.96158276,255:32:32
411,-47.55012913,-22.56891544,7.86660439,255:35:35
412,-47.21485394,-22.06669148,4.53803165,255:128:128
413,-47.86554883,-22.39250093,6.42860382,255:75:75
414,-47.58290954,-22.15513287,7.17187934,255:55:55
415,-47.65907658,-22.05304761,6.20284942,255:82:82
416,-47.93859957,-22.62901385,3.64252972,255:153:153
417,-47.74947312,-22.38240019,3.19989839,255:166:166
418,-47.35437707,-22.9213932,3.22399194,255:165:165
419,-47.10363576,-22.281634,5.97616924,255:88:88
420,-47.57590376,-22.80194289,5.55547258,255:100:100
421,-47.44272261,-22.19962355,6.37832165,255:77:77
422,-47.80134423,-22.79953122,1.17196229,255:223:223
423,-47.41529227,-22.90185214,3.01414642,255:171:171
424,-47.27666941,-22.17776058,5.71148453,255:95:95
425,-47.41356663,-22.45118662,4.13219602,255:140:140
426,-47.84667017,-22.30438518,18.13835918,0:0:255
427,-47.82975524,-22.69757424,4.78716773,255:121:121
428,-47.32614736,-22.79346961,5.52614555,255:101:101
429,-47.04570976,-22.36883665,2.14826733,255:195:195
430,-47.2668414,-22.8562034,5.87222498,255:91:91
431,-47.74235379,-22.0227946,8.11744456,255:28:28
432,-47.03930697,-22.57619539,4.12499546,255:140:140
433,-47.7531879,-22.98992902,8.08327116,255:29:29
434,-47.8067034,-22.04817741,6.95829654,255:61:61
435,-47.95303308,-22.72282115,1.47516714,213:213:255
436,-47.7327753,-22.91755406,6.26360728,255:80:80
437,-47.74473379,-22.557958,5.50516025,255:101:101
438,-47.13405589,-22.48444937,4.16242346,255:139:139
439,-47.19090078,-22.26736755,3.13344739,255:168:168
440,-47.45032983,-22.87954729,8.30142306,255:23:23
441,-47.61293608,-22.88091464,8.53068781,255:17:17
442,-47.90368087,-22.26100003,1.27368645,255:220:220
443,-47.45619128,-22.2784342,4.19871237,255:138:138
444,-47.54470668,-22.3928173,2.57156586,255:183:183
445,-47.62716379,-22.9165704,3.85014208,255:148:148
446,-47.28324687,-22.48985268,4.04903821,255:142:142
447,-47.51854422,-22.72407377,6.8234293,255:64:64
448,-47.14617894,-22.16032561,4.578048,126:126:255
449,-47.91608613,-22.60352163,7.91287375,255:34:34
450,-47.2449985,-22.26235596,7.63704467,255:42:42
451,-47.36404985,-22.23066651,5.41970013,255:104:104
452,-47.77091247,-22.78566748,3.56211999,255:156:156
453,-47.33978747,-22.67830798,5.70206215,255:96:96
454,-47.18958009,-22.39020596,8.45487471,255:19:19
455,-47.5608857,-22.97067607,4.8771905,255:119:119
456,-47.74284148,-22.94338694,4.08689583,255:141:141
457,-47.27393625,-22.80569011,8.69325739,255:12:12
458,-47.71851386,-22.88673504,1.59530286,255:211:211
459,-47.90772131,-22.15513317,3.85918936,255:147:147
460,-47.98441662,-22.06502572,7.7546918,255:38:38
461,-47.30706496,-22.58542089,0.8042757,255:233:233
462,-47.77088948,-22.3923547,6.09000204,255:85:85
463,-47.50543824,-22.81104609,3.67892961,255:152:152
464,-47.94613632,-22.47355864,7.71127202,255:39:39
465,-47.83148441,-22.30937122,0.17279049,255:251:251
466,-47.78323087,-22.49654053,10.12892072,255:0:0
467,-47.63801718,-22.2799298,5.51152645,255:101:101
468,-47.72372158,-22.93280007,3.02510021,170:170:255
469,-47.08028855,-22.54310961,6.68959742,255:68:68
470,-47.89917034,-22.75716257,2.89726534,255:174:174
471,-47.82147004,-22.02667209,7.18226042,255:54:54
472,-47.59595666,-22.03789558,6.41314549,255:76:76
473,-47.51578525,-22.6520356,6.25894431,255:80:80
474,-47.66173788,-22.21219302,11.94696712,255:0:0
475,-47.7611073,-22.20563245,4.26188317,255:136:136
476,-47.50578808,-22.43685226,3.49500046,255:158:158
477,-47.8438632,-22.13061263,2.20347895,255:194:194
478,-47.6643966,-22.56788771,5.32085929,255:106:106
479,-47.09976897,-22.06644024,5.55188206,255:100:100
480,-47.21182198,-22.79804484,11.831343,255:0:0
481,-47.84650276,-22.51143972,4.48601907,255:130:130
482,-47.65043311,-22.23358769,2.79766974,255:177:177
483,-47.01732441,-22.28428914,15.25629383,255:0:0
484,-47.62583138,-22.30972482,5.25568162,255:108:108
485,-47.76996149,-22.60677332,6.9152206,255:62:62
486,-47.85132505,-22.86159509,5.59527326,255:99:99
487,-47.40105202,-22.52310836,8.75981995,255:10:10
488,-47.00259953,-22.97784171,5.11930155,255:112:112
489,-47.05508818,-22.88721575,4.53093978,255:129:129
490,-47.49501677,-22.39954201,4.15465711,255:139:139
491,-47.31560771,-22.85494366,7.73724735,255:39:39
492,-47.2990795,-22.56916995,7.02437282,255:59:59
493,-47.67159549,-22.83980402,5.06300387,255:114:114
494,-47.43076968,-22.43381635,15.66506477,255:0:0
495,-47.40022081,-22.70094632,6.51572742,255:73:73
