,aw3d30_wgs84_Barcelos,aw3d30_slope_Barcelos
282,21.30069214,0.00131591
283,44.66354095,2.654759
284,NaN,NaN
285,47.03174094,0.00131863
286,NaN,NaN
287,32.67804344,0.00131523
288,44.93362297,2.330863
289,44.9287089,1.315034
290,49.39869753,2.712156
291,NaN,NaN
292,31.80004808,0.6578832
293,14.70863579,3.699898
294,40.15350011,0.9865828
295,33.91121637,1.647558
296,13.70843275,0.7318173
297,46.69711479,0.737609
298,46.20783898,0.9330024
299,35.56053275,2.323771
300,48.43256833,1.63656
301,45.88365569,3.953527
302,21.27311231,0.00131243
303,43.51915665,0.4645218
304,NaN,NaN
305,27.84574053,10.76138
306,21.27832969,5.096304
307,30.88523141,1.851193
308,44.87827803,2.095396
309,NaN,NaN
310,22.86836459,1.042194
311,31.45805257,0.4619759
312,44.68263961,0.4667629
313,24.94064555,2.072286
314,46.23427778,2.927983
315,31.54919796,1.04111
316,43.21373784,4.160495
317,20.11220295,0.00131781
318,46.06998526,2.209487
319,27.48320714,1.853608
320,46.59071949,1.678562
321,NaN,NaN
322,NaN,NaN
323,31.85875815,0.7318237
324,24.03731125,0.4666906
325,NaN,NaN
326,NaN,NaN
327,NaN,NaN
328,NaN,NaN
329,46.93892295,0.9870589
330,NaN,NaN
331,NaN,NaN
332,42.51615542,3.294085
333,30.81840654,4.592524
334,38.10701831,1.04107
335,NaN,NaN
336,49.22058069,2.396471
337,13.65948402,1.041067
338,NaN,NaN
339,39.14909557,2.396467
340,NaN,NaN
341,17.9128343,4.186769
342,NaN,NaN
343,34.85322873,1.647909
344,42.48041767,2.815128
345,NaN,NaN
346,48.86396805,5.811712
347,NaN,NaN
348,37.8457774,9.453711
349,44.58811442,1.04038
350,39.96928332,0.7315544
351,26.71032007,1.911457
352,41.12652153,1.188332
353,27.9287596,2.388382
354,NaN,NaN
355,48.26618062,1.355979
356,44.99962199,2.298792
357,44.57384383,1.357284
358,NaN,NaN
359,22.51293392,0.7375951
360,48.20412881,0.6561394
361,23.58148413,2.097902
362,25.91461008,3.994386
363,NaN,NaN
364,NaN,NaN
365,16.54926927,0.9251026
366,39.3111787,1.187886
367,50.22750942,0.4619636
368,NaN,NaN
369,20.23143411,1.038115
370,18.18927105,0.327499
371,29.59142888,NaN
372,NaN,NaN
373,29.37924725,1.865143
374,27.37639277,0.7315554
375,NaN,NaN
376,NaN,NaN
377,NaN,NaN
378,21.31663016,0.00131584
379,35.05868909,1.351863
380,NaN,NaN
381,NaN,NaN
382,42.86482372,2.082075
383,34.8546611,0.9870635
384,31.82855527,1.035822
385,NaN,NaN
386,27.05053143,1.182588
387,47.07115125,5.50321
388,NaN,NaN
389,NaN,NaN
390,44.01134221,6.134583
391,19.042886,1.353701
392,NaN,NaN
393,NaN,NaN
394,43.3484129,4.544522
395,38.85500357,1.969985
396,NaN,NaN
397,37.92409541,3.609257
398,24.25863341,1.641724
399,29.00037587,5.483663
400,28.97030818,1.64179
401,46.88668087,1.647906
402,48.72924617,3.273576
403,49.13521314,0.3292748
404,21.17984904,0.00131228
405,NaN,NaN
406,39.11368526,4.390726
407,44.8238001,3.748603
408,NaN,NaN
409,53.60625621,2.209519
410,NaN,NaN
411,NaN,NaN
412,40.91475729,0.00133285
413,27.76566647,2.833675
414,36.88842299,5.39243
415,NaN,NaN
416,28.12328788,1.911409
417,NaN,NaN
418,31.89326149,1.674584
419,44.80696171,1.466872
420,NaN,NaN
421,NaN,NaN
422,NaN,NaN
423,18.03009546,0.9847839
424,46.15441612,0.3280483
425,NaN,NaN
426,45.65109245,7.516332
427,NaN,NaN
428,45.73441252,2.641717
429,44.72940745,2.325325
430,44.6321363,1.909045
431,43.1692598,2.63908
432,45.86835036,0.9276932
433,20.92151091,2.975279
434,50.34634909,1.398339
435,24.22711345,1.189099
436,25.82203908,1.648647
437,NaN,NaN
438,42.03495866,1.972366
439,42.011869,2.778485
