,aw3d30_wgs84_SantaCatarina,aw3d30_slope_SantaCatarina
453,3.25824883,NaN
454,423.13019486,9.234017
455,110.47472633,21.78221
456,66.83630234,16.56202
457,129.57897642,10.04434
458,254.44348162,6.487142
459,384.35654429,16.73305
460,121.39309653,19.54633
461,26.10529945,12.99527
462,503.60262711,14.19715
463,NaN,NaN
464,594.71621343,17.43521
465,586.05743715,19.54592
466,376.36319294,31.825
467,765.74301317,10.19091
468,571.7523846,28.03313
469,242.79138746,34.2029
470,313.50262749,22.73054
471,751.79366218,28.94223
472,361.82729507,22.19013
473,1036.57988144,27.7083
474,9.69889054,3.529208
475,164.28554575,20.33515
476,NaN,NaN
477,7.0778581,0.6996678
478,208.80367196,18.46051
479,58.17346703,6.560826
480,482.48653442,10.47646
481,184.35917918,8.992362
482,436.80489783,25.59659
483,381.48539484,25.67402
484,3.41417079,0.3518533
485,32.50231449,5.663907
486,349.81452999,24.21062
487,302.64458942,11.90631
488,202.23966292,5.380416
489,8.54548112,1.649184
490,230.19231688,11.18816
491,14.42763993,3.755931
492,843.65419309,21.39387
493,11.21631103,2.135258
494,843.46374262,15.22886
495,261.12997239,6.246494
496,717.57689217,5.925248
497,143.3185651,20.9078
498,394.57026135,9.987417
499,304.49070673,26.37331
500,24.05222898,2.286777
501,376.41925907,9.192102
502,127.01221365,37.09672
503,286.54900531,18.77893
504,138.35876855,22.84748
505,231.37160146,18.51079
506,316.57998943,23.11035
507,99.92644014,29.3985
508,430.49965071,12.76971
509,419.72320438,28.30693
510,161.52255531,10.03567
511,117.74550534,34.38944
512,17.50867394,0.465481
513,208.51714066,18.01264
514,NaN,NaN
515,144.25462921,10.47217
516,540.48591422,15.00647
517,5.51757947,0.7041063
518,101.5170869,15.09185
519,422.58510902,14.17675
520,591.66431808,26.58697
521,400.51005684,11.12951
522,775.80003318,26.79945
523,NaN,NaN
524,102.83933722,23.631
525,140.38318383,5.571631
526,327.2765,29.85305
527,24.41183937,2.234411
528,8.43124091,2.521389
529,86.53247745,32.21287
530,638.64977664,20.80423
531,67.9974818,19.71058
532,96.66169309,24.57672
533,13.02853788,7.749106
534,239.21811002,28.76772
535,86.94451237,21.90994
536,12.27064939,2.520774
537,28.38420022,8.655647
538,39.04191774,14.27577
539,484.44639949,20.71472
540,341.77357252,20.84245
541,276.26403254,18.80681
542,21.50324985,4.026388
543,306.03897681,17.80898
544,167.3067162,26.87976
545,691.64142209,17.50411
546,NaN,NaN
547,747.40580288,18.47023
548,99.08869433,16.8401
549,17.83802765,3.957662
550,242.79776172,35.09268
551,317.04737255,23.89605
552,504.48412088,29.32012
553,18.93966353,4.20787
554,111.24352954,15.57865
555,77.06724004,19.76037
556,923.17985791,33.78022
557,2.9863874,NaN
558,647.11029425,38.29742
559,21.59812787,0.5221543
560,262.830648,38.05578
561,6.03977139,NaN
562,23.73218002,2.67355
563,33.50584535,5.550437
564,508.6533347,27.7393
565,8.51050808,2.874999
566,644.34511787,20.43649
567,1014.55117716,7.84353
568,262.40486355,21.29361
569,693.75699019,28.12222
570,4.40218825,1.053246
571,94.25068147,20.07342
572,17.97108292,2.235294
573,688.72037341,8.237912
574,334.18978783,8.089825
575,49.20173581,5.191208
576,42.54899473,6.283154
577,59.44120822,8.277019
578,30.93665901,1.490337
579,194.95957415,9.589234
580,329.57962455,26.15893
581,69.47315986,6.049371
582,316.58821163,35.7238
583,512.392754,21.57024
584,14.45362152,1.806415
585,19.77259703,5.698682
586,492.45934953,11.44678
587,659.71320024,18.50126
588,199.44894071,30.4384
589,149.22647338,9.648829
590,NaN,NaN
591,382.52311966,21.48804
592,222.66646609,28.91916
593,131.35489625,17.82777
594,NaN,NaN
595,196.51468227,12.93485
596,500.19240349,18.91173
597,56.42982258,5.087107
598,136.10040456,23.06954
599,612.69172752,30.99164
600,431.79829549,1.191944
601,6.91713401,0.8206974
602,488.70569707,12.1234
603,759.7807485,19.93937
604,838.51278017,27.22981
605,504.18037105,9.368037
606,590.49258722,22.22289
607,2.95744357,0.8182713
608,272.19415135,23.64168
609,181.27166622,21.30246
610,175.27664846,6.116029
611,693.28964717,3.033087
612,241.24660682,28.82218
613,431.56691322,12.36493
614,19.91704902,16.51407
615,6.07273135,2.675231
616,83.39490971,12.88269
617,655.62821359,16.9691
618,6.1056723,1.152146
619,9.54599579,0.5278409
620,232.30507502,20.19063
