,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
257,-56.4304774,-18.7665194,3.99895233,0:0:255
258,-56.04571809,-18.79378396,1.0,191:191:255
259,-56.8720708,-18.70965083,0.99908086,191:191:255
260,-56.03231318,-18.92667687,0.99956391,255:192:192
261,-56.22861958,-18.43032097,2.0,127:127:255
262,-56.21177392,-18.45473181,2.0,127:127:255
263,-56.67660854,-18.14267787,1.00098885,255:192:192
264,-56.4677193,-18.8399241,3.99896076,0:0:255
265,-56.65885785,-18.37370205,0.00098921,255:255:255
266,-56.72744235,-18.38957449,0.000972640000001,255:255:255
267,-56.8714322,-18.87911578,0.99908908,191:191:255
268,-56.54731656,-18.3105832,2.0,255:128:128
269,-56.29858803,-18.74874461,0.99892059,191:191:255
270,-56.56495691,-18.70639367,1.99947917,127:127:255
271,-56.44882818,-18.09841257,1.99897217,127:127:255
272,-56.53812883,-18.00512339,1.0,255:192:192
273,-56.50068259,-18.14513072,2.0,255:128:128
274,-56.01559231,-18.06287399,1.0,255:192:192
275,-56.30435753,-18.03052484,0.0,255:255:255
276,-56.18852592,-18.35042726,0.0,255:255:255
277,-56.70061928,-18.40609302,0.99947213,191:191:255
278,-56.80076512,-18.24715564,1.00150236,255:192:192
279,-56.32900395,-18.5592459,2.99949496,255:64:64
280,-56.5249261,-18.23923231,11.00101733,255:0:0
281,-56.96382576,-18.54790429,3.00089963,255:64:64
282,-56.97035698,-18.76565553,1.99911766,127:127:255
283,-56.0240638,-18.35268315,0.00051000000002,255:255:255
284,-56.76419261,-18.7535349,2.0,127:127:255
285,-56.00655166,-18.91336309,2.0,127:127:255
286,-56.41992125,-18.27545688,1.00103729,255:192:192
287,-56.93479727,-18.07496995,1.0009397,255:192:192
288,-56.20515582,-18.12137021,1.0005465,255:192:192
289,-56.11373838,-18.40968455,1.99948916,127:127:255
290,-56.18734104,-18.80308105,2.99953526,255:64:64
291,-56.46931078,-18.62332289,3.0,63:63:255
292,-56.54315627,-18.16632283,3.0,255:64:64
293,-56.27326519,-18.94320964,1.00109401,255:192:192
294,-56.44657541,-18.96980216,1.99895235,127:127:255
295,-56.87434442,-18.55520925,4.99907358,0:0:255
296,-56.00983558,-18.45913136,0.000496929999997,255:255:255
297,-56.07358474,-18.23595959,2.0,255:128:128
298,-56.60311825,-18.50454425,1.0,255:192:192
299,-56.89775979,-18.04178737,3.00094941,255:64:64
300,-56.96429858,-18.97803637,2.99912938,63:63:255
301,-56.14397293,-18.25146209,0.0,255:255:255
302,-56.89883507,-18.98033409,0.000895790000001,255:255:255
303,-56.26860194,-18.69166773,4.00059878,255:0:0
304,-56.54830004,-18.64842119,1.99948294,127:127:255
305,-56.12313478,-18.26926867,0.0,255:255:255
306,-56.97344283,-18.72392081,0.000409510000011,255:255:255
307,-56.78155711,-18.83478158,1.99905623,127:127:255
308,-56.12371943,-18.31026968,0.00052242000001,255:255:255
