,srtm30_wgs84_SerraMar,srtm30_slope_SerraMar
91,974.86837308,8.570057
92,17.27380734,7.39048
93,1067.50050402,13.34987
94,987.8344531,24.88467
95,16.76265521,7.183751
96,701.74206377,13.80453
97,1807.34714371,18.41387
98,977.82938133,16.2584
99,2380.55305333,9.745183
100,1283.54624546,18.49335
101,1188.19431061,18.05408
102,685.96396088,17.22973
103,933.12223484,18.8638
104,955.88469324,13.56511
105,1018.64122037,13.29227
106,460.23820753,7.408989
107,1539.74132009,8.465405
108,581.63765066,26.69531
109,659.99764602,26.25806
110,1517.66123435,7.936416
111,1007.47618964,9.820275
112,625.75578877,25.44696
113,1386.83421187,11.10071
114,869.84426139,17.45262
115,199.21076357,32.86357
116,597.3854981,7.223764
117,585.55917886,46.25108
118,438.2199126,21.33027
119,1093.53384732,11.05547
120,78.89265731,7.161187
121,2210.50251871,23.08527
122,1419.78814112,14.92995
123,498.588129,14.51506
124,1283.70509491,3.49679
125,1344.36369471,21.73449
126,902.63566783,4.478364
127,994.29357792,17.06828
128,1042.00552663,11.94859
129,1193.15911907,24.93414
130,82.26187119,18.86576
131,1127.16149767,4.28549
132,1206.49715279,15.34074
133,546.9921069,25.77674
134,1016.76006197,5.454951
135,371.05003082,0.4655908
136,602.22994246,20.86455
137,1363.36703388,22.4996
138,1182.2896384,30.21191
139,1022.65949019,14.60966
140,632.9986755,25.26855
141,1599.34694351,49.8633
142,719.69589825,26.87645
143,1421.23844228,31.52529
144,581.33838575,15.30809
145,24.84677459,4.645711
146,1298.05149858,14.58655
147,1140.15386436,17.60675
148,1442.40462709,15.08196
149,1119.77370345,9.946453
150,494.29572508,25.29082
151,612.21389829,4.143901
152,513.57260845,21.17664
153,1713.61935849,22.72221
154,541.26061252,5.81215
155,1110.57274191,5.850752
156,2206.54188085,16.4508
157,815.09540887,9.476605
158,746.30538893,23.0207
159,548.07424462,0.7423806
160,561.12446424,10.4679
161,898.63096717,10.74934
162,90.32964859,24.35516
163,1491.35811119,24.04882
164,1843.52597476,21.03062
165,764.02345388,10.84991
166,999.92737953,10.76972
167,1330.88789028,8.128519
