,tdx12_Barcelos,tdx30_Barcelos,srtm30_Barcelos,srtm30_wgs84_Barcelos,aster30_Barcelos,aster30_wgs84_Barcelos,aw3d30_Barcelos,aw3d30_wgs84_Barcelos
215,46.45552,45.89864,56.0,48.52420492,57.0,49.52420492,66.0,58.52420492
216,31.5806,33.56956,48.0,40.85244327,33.0,25.85244327,43.0,35.85198494
217,46.01888,45.1267,51.0,42.6193806,56.0,47.6193806,54.0,45.6195935
218,42.58195,45.0274,56.0,48.87524153,58.0,50.87524153,NaN,NaN
219,41.87095,43.30529,52.0,44.22680242,52.0,44.22680242,50.0,42.22633233
220,49.36189,49.03035,54.0,46.52530779,56.0,48.52530779,NaN,NaN
221,49.66816,49.2548,54.0,47.25593516,56.0,49.25593516,NaN,NaN
222,29.47135,28.40132,39.0,31.13219317,40.0,32.13219317,NaN,NaN
223,40.7918,40.77716,49.0,40.91352886,50.0,41.91352886,48.0,39.91306364
224,47.75815,46.21343,52.0,44.51232171,47.0,39.51232171,53.0,45.51232171
225,36.90114,38.04625,46.0,39.90289988,70.0,63.90289988,NaN,NaN
226,47.04627,45.72421,56.0,49.47030546,61.0,54.47030546,NaN,NaN
227,33.71452,34.45765,45.0,38.49728267,54.0,47.49728267,44.0,37.49728267
228,41.36343,42.87523,51.0,43.8060791,50.0,42.8060791,50.0,42.8060791
229,37.18849,38.52857,49.0,40.6035578,46.0,37.6035578,48.0,39.60377333
230,37.23295,35.38575,44.0,37.09528783,51.0,44.09528783,NaN,NaN
231,25.6787,26.12708,35.0,28.9313773,34.0,27.9313773,NaN,NaN
232,32.15467,32.54599,38.0,31.81655985,65.0,58.81655985,NaN,NaN
233,32.93687,33.10373,23.0,17.31706463,54.0,48.31706463,27.0,21.31638298
234,40.36396,44.91017,53.0,46.51182853,57.0,50.51182853,NaN,NaN
235,16.71515,17.93076,22.0,15.57017035,38.0,31.57017035,NaN,NaN
236,45.6134,45.96233,53.0,45.04064933,41.0,33.04064933,53.0,45.04064933
237,35.39983,35.81662,43.0,37.09069257,48.0,42.09069257,NaN,NaN
238,13.69742,13.38838,17.0,9.54052182,22.0,14.54052182,21.0,13.54052182
239,31.8571,30.7507,40.0,33.88726607,56.0,49.88726607,37.0,30.88658622
240,4.200234,6.400915,31.0,24.37568711,48.0,41.37568711,28.0,21.37591264
241,43.31397,44.80288,51.0,45.40296206,58.0,52.40296206,49.0,43.40227947
242,17.26069,17.24796,23.0,16.1514141,29.0,22.1514141,NaN,NaN
243,17.77996,16.47543,21.0,14.15159044,19.0,12.15159044,NaN,NaN
244,23.78081,29.72069,40.0,31.81162695,48.0,39.81162695,36.0,27.81184834
245,21.83984,22.33956,32.0,25.58845813,28.0,21.58845813,NaN,NaN
246,37.99236,37.29794,47.0,39.94870684,48.0,40.94870684,46.0,38.9489297
247,43.2493,43.8173,50.0,42.75621689,42.0,34.75621689,49.0,41.75641758
248,44.48977,45.70124,55.0,48.41443091,64.0,57.41443091,54.0,47.4137497
249,17.17383,17.05375,27.0,20.10434659,22.0,15.10434659,NaN,NaN
250,45.05475,45.19168,49.0,41.0769317,47.0,39.0769317,54.0,46.0769317
251,34.38689,33.69961,45.0,38.28449645,49.0,42.28449645,42.0,35.2847284
252,47.7294,45.76777,56.0,49.35673456,60.0,53.35673456,NaN,NaN
253,44.93687,43.35976,51.0,43.60690775,55.0,47.60690775,NaN,NaN
254,43.50033,44.60283,53.0,45.69234838,58.0,50.69234838,NaN,NaN
255,41.92196,43.11709,47.0,38.79080847,52.0,43.79080847,51.0,42.79101536
256,35.83738,36.74622,44.0,37.52665098,57.0,50.52665098,NaN,NaN
257,16.91184,16.62103,22.0,14.97295648,28.0,20.97295648,23.0,15.97227135
258,47.18657,47.57148,51.0,43.04248239,48.0,40.04248239,55.0,47.04248239
259,32.82847,30.09908,41.0,35.01980238,50.0,44.01980238,NaN,NaN
260,44.16408,46.34435,51.0,43.10455185,57.0,49.10455185,54.0,46.10474919
261,42.1464,43.64749,55.0,47.22864428,54.0,46.22864428,54.0,46.22885241
262,44.72868,44.54644,54.0,46.20502814,42.0,34.20502814,54.0,46.20523551
263,45.45541,45.35102,56.0,49.10745946,76.0,69.10745946,54.0,47.10700581
264,28.36926,27.95058,33.0,26.11635786,30.0,23.11635786,NaN,NaN
265,42.86916,43.91573,52.0,45.24575837,62.0,55.24575837,NaN,NaN
266,43.06649,44.53436,56.0,49.42610695,68.0,61.42610695,NaN,NaN
267,18.5131,32.39366,31.0,25.13787891,35.0,29.13787891,27.0,21.13719596
268,46.9343,46.44159,54.0,46.92312301,57.0,49.92312301,NaN,NaN
269,44.42533,43.13447,52.0,44.63475832,53.0,45.63475832,50.0,42.63407272
270,36.59835,37.71762,40.0,33.26152324,59.0,52.26152324,NaN,NaN
271,41.78085,40.27259,50.0,42.51521456,51.0,43.51521456,NaN,NaN
272,27.79401,27.5287,40.0,32.6579589,26.0,18.6579589,38.0,30.65818563
273,45.54501,44.61653,53.0,45.6789677,49.0,41.6789677,NaN,NaN
274,45.73902,45.20123,52.0,43.41954229,50.0,41.41954229,55.0,46.41976012
275,32.45453,35.22655,44.0,36.10573707,45.0,37.10573707,NaN,NaN
276,43.82947,45.5768,52.0,44.06877157,51.0,43.06877157,53.0,45.068982
277,46.45448,45.96775,54.0,47.37285174,64.0,57.37285174,NaN,NaN
278,53.09035,54.39566,61.0,54.49399199,69.0,62.49399199,56.0,49.49331513
279,44.96417,46.5961,53.0,45.57212412,56.0,48.57212412,56.0,48.57232829
280,25.80041,25.78437,34.0,26.81309186,18.0,10.81309186,NaN,NaN
281,19.36198,19.48429,30.0,24.12539104,31.0,25.12539104,26.0,20.12471187
282,12.70078,NaN,23.0,17.30137374,44.0,38.30137374,27.0,21.30069214
283,42.17191,41.69534,49.0,40.66354095,59.0,50.66354095,53.0,44.66354095
284,18.53937,18.46469,25.0,18.78559803,29.0,22.78559803,NaN,NaN
285,43.37494,43.47948,53.0,45.03174094,46.0,38.03174094,55.0,47.03174094
286,22.79078,24.32893,37.0,29.58309956,37.0,29.58309956,NaN,NaN
287,30.02924,29.89653,40.0,33.67848095,32.0,25.67848095,39.0,32.67804344
288,47.93458,47.4744,54.0,45.93362297,53.0,44.93362297,53.0,44.93362297
289,45.46427,45.41224,51.0,42.9287089,54.0,45.9287089,53.0,44.9287089
290,47.92121,50.04956,56.0,48.39849975,64.0,56.39849975,57.0,49.39869753
291,48.46591,46.48324,57.0,49.96528971,59.0,51.96528971,NaN,NaN
292,30.18007,29.90358,39.0,31.79982776,32.0,24.79982776,39.0,31.80004808
293,15.25006,13.36437,22.0,14.7093193,20.0,12.7093193,22.0,14.70863579
294,38.02126,40.88741,45.0,38.15418358,43.0,36.15418358,47.0,40.15350011
295,31.13897,33.80657,42.0,35.9118969,58.0,51.9118969,40.0,33.91121637
296,20.73434,20.1718,24.0,15.70843275,21.0,12.70843275,22.0,13.70843275
297,46.35288,45.60489,49.0,40.69690146,55.0,46.69690146,55.0,46.69711479
298,43.72802,45.13642,47.0,40.20763171,53.0,46.20763171,53.0,46.20783898
299,29.74,30.4322,38.0,31.56096965,39.0,32.56096965,42.0,35.56053275
300,49.09756,47.90226,50.0,44.43325097,62.0,56.43325097,54.0,48.43256833
301,45.37294,44.95163,49.0,40.88344251,50.0,41.88344251,54.0,45.88365569
302,10.767,13.43452,18.0,12.2737952,19.0,13.2737952,27.0,21.27311231
303,40.48236,41.91721,52.0,44.51964249,52.0,44.51964249,51.0,43.51915665
304,38.36603,38.17363,44.0,37.17863186,53.0,46.17863186,NaN,NaN
305,27.46402,25.71638,35.0,26.84552795,47.0,38.84552795,36.0,27.84574053
306,13.38607,13.16802,23.0,17.2788107,39.0,33.2788107,27.0,21.27832969
307,30.92751,31.0101,37.0,30.88591481,43.0,36.88591481,37.0,30.88523141
308,43.75118,43.3061,52.0,43.87827803,45.0,36.87827803,53.0,44.87827803
309,36.98417,35.04768,42.0,35.72315376,57.0,50.72315376,NaN,NaN
310,20.41661,20.52461,30.0,22.86836459,43.0,35.86836459,30.0,22.86836459
311,29.99258,29.94465,38.0,31.45781844,42.0,35.45781844,38.0,31.45805257
312,37.46828,40.57458,49.0,42.68308638,44.0,37.68308638,51.0,44.68263961
313,16.61958,20.81327,35.0,28.94132588,48.0,41.94132588,31.0,24.94064555
314,44.25129,45.67105,53.0,45.23427778,55.0,47.23427778,54.0,46.23427778
315,29.17654,30.33997,39.0,32.54964135,25.0,18.54964135,38.0,31.54919796
316,44.73291,43.97828,52.0,44.21442355,39.0,31.21442355,51.0,43.21373784
317,18.78911,18.79976,29.0,22.1128872,28.0,21.1128872,27.0,20.11220295
318,47.66928,47.58136,53.0,45.06998526,55.0,47.06998526,54.0,46.06998526
319,23.9453,25.63479,33.0,25.48300166,31.0,23.48300166,35.0,27.48320714
320,48.35444,47.51236,54.0,46.59071949,48.0,40.59071949,54.0,46.59071949
321,23.98306,26.81392,30.0,23.76720945,57.0,50.76720945,NaN,NaN
322,18.17572,18.18105,25.0,18.78267827,17.0,10.78267827,NaN,NaN
323,27.62597,27.65935,37.0,29.85853472,39.0,31.85853472,39.0,31.85875815
324,20.17301,20.99074,30.0,24.03799448,45.0,39.03799448,30.0,24.03731125
325,32.63365,33.64946,40.0,33.29383509,52.0,45.29383509,NaN,NaN
326,21.57366,21.53866,31.0,24.5622551,26.0,19.5622551,NaN,NaN
327,38.98794,39.679,50.0,42.84618366,50.0,42.84618366,NaN,NaN
328,35.59212,35.34559,41.0,34.53997744,55.0,48.53997744,NaN,NaN
329,47.22874,47.23027,54.0,45.93892295,53.0,44.93892295,55.0,46.93892295
330,47.06335,46.28053,52.0,44.80151012,52.0,44.80151012,NaN,NaN
331,38.60092,43.59369,53.0,45.99843099,50.0,42.99843099,NaN,NaN
332,43.49393,44.40484,51.0,43.51594094,49.0,41.51594094,50.0,42.51615542
333,26.06101,26.31421,35.0,27.81886853,30.0,22.81886853,38.0,30.81840654
334,40.15781,37.63292,48.0,40.10680884,42.0,34.10680884,46.0,38.10701831
335,34.8863,32.34003,43.0,34.7640569,43.0,34.7640569,NaN,NaN
336,51.365,49.17185,59.0,51.22058069,50.0,42.22058069,57.0,49.22058069
337,11.06291,11.23822,19.0,11.65929098,19.0,11.65929098,21.0,13.65948402
338,48.20272,49.02179,55.0,48.16950409,74.0,67.16950409,NaN,NaN
339,36.67516,40.71536,49.0,41.14956957,43.0,35.14956957,47.0,39.14909557
340,44.04301,44.06021,50.0,42.0005172,47.0,39.0005172,NaN,NaN
341,26.22887,24.13495,32.0,25.91351773,36.0,29.91351773,24.0,17.9128343
342,40.02488,42.73479,50.0,43.28441171,36.0,29.28441171,NaN,NaN
343,34.94739,37.31519,45.0,38.85369942,52.0,45.85369942,41.0,34.85322873
344,45.1851,45.17426,49.0,43.4811001,53.0,47.4811001,48.0,42.48041767
345,50.39984,49.75322,58.0,51.25771681,47.0,40.25771681,NaN,NaN
346,48.89034,50.95338,56.0,48.86396805,49.0,41.86396805,56.0,48.86396805
347,30.12303,34.35991,41.0,34.31247606,58.0,51.31247606,NaN,NaN
348,41.47545,40.18908,46.0,38.8457774,53.0,45.8457774,45.0,37.8457774
349,41.70655,42.18306,52.0,44.58859433,57.0,49.58859433,52.0,44.58811442
350,41.20654,39.63274,46.0,37.96975622,43.0,34.96975622,48.0,39.96928332
351,28.58852,27.21971,38.0,30.71032007,37.0,29.71032007,34.0,26.71032007
352,41.966,40.82347,48.0,41.12720121,44.0,37.12720121,48.0,41.12652153
353,28.50925,28.40703,33.0,26.92943911,33.0,26.92943911,34.0,27.9287596
354,26.18785,26.01225,32.0,25.25399244,28.0,21.25399244,NaN,NaN
355,48.94866,49.73634,54.0,47.26685883,67.0,60.26685883,55.0,48.26618062
356,45.57319,43.12262,48.0,42.00008194,49.0,43.00008194,51.0,44.99962199
357,44.94276,46.29928,54.0,45.57431763,57.0,48.57431763,53.0,44.57384383
358,45.03287,46.29476,51.0,43.89236289,56.0,48.89236289,NaN,NaN
359,21.22136,21.35871,27.0,20.51293392,22.0,15.51293392,29.0,22.51293392
360,47.11816,46.60309,55.0,47.20412881,56.0,48.20412881,56.0,48.20412881
361,20.1877,20.45645,28.0,21.58216658,24.0,17.58216658,30.0,23.58148413
362,26.93991,27.50695,37.0,29.9152943,31.0,23.9152943,33.0,25.91461008
363,33.91822,33.36712,38.0,31.99706252,55.0,48.99706252,NaN,NaN
364,32.35762,32.72242,38.0,31.63006308,38.0,31.63006308,NaN,NaN
365,19.78343,19.68188,29.0,20.54904951,32.0,23.54904951,25.0,16.54926927
366,39.77327,39.06116,48.0,40.3111787,43.0,35.3111787,47.0,39.3111787
367,50.16371,49.75766,57.0,50.2279732,63.0,56.2279732,57.0,50.22750942
368,22.41862,22.19342,31.0,24.64696784,29.0,22.64696784,NaN,NaN
369,20.57047,20.11875,25.0,19.23211528,35.0,29.23211528,26.0,20.23143411
370,18.33741,18.405,26.0,20.18995029,34.0,28.18995029,24.0,18.18927105
371,26.07713,23.43308,32.0,25.59211288,36.0,29.59211288,36.0,29.59142888
372,39.55157,38.33125,44.0,37.75746774,60.0,53.75746774,NaN,NaN
373,31.50157,28.58585,38.0,30.37902953,40.0,32.37902953,37.0,29.37924725
374,25.63686,25.80796,34.0,26.37617519,35.0,27.37617519,35.0,27.37639277
375,38.41216,35.74094,45.0,38.65057324,59.0,52.65057324,NaN,NaN
376,48.03715,47.12738,55.0,47.99818749,61.0,53.99818749,NaN,NaN
377,38.66776,39.90324,44.0,37.20697819,42.0,35.20697819,NaN,NaN
378,9.07222,NaN,23.0,17.31731166,44.0,38.31731166,27.0,21.31663016
379,36.00419,35.46671,42.0,36.0591614,49.0,43.0591614,41.0,35.05868909
380,46.72086,46.70199,56.0,48.72027364,48.0,40.72027364,NaN,NaN
381,25.14868,25.52581,30.0,23.15246218,36.0,29.15246218,NaN,NaN
382,43.95963,42.13794,50.0,41.86460576,46.0,37.86460576,51.0,42.86482372
383,32.98823,32.28809,38.0,31.85534357,53.0,46.85534357,41.0,34.8546611
384,32.25274,33.98203,43.0,36.82902432,53.0,46.82902432,38.0,31.82855527
385,27.62402,21.13865,33.0,26.73946383,42.0,35.73946383,NaN,NaN
386,19.24543,19.42648,34.0,28.05121459,35.0,29.05121459,33.0,27.05053143
387,45.59465,45.20582,56.0,48.07115125,38.0,30.07115125,55.0,47.07115125
388,28.1925,29.66416,39.0,32.70249825,55.0,48.70249825,NaN,NaN
389,37.65945,38.4887,42.0,35.35042495,44.0,37.35042495,NaN,NaN
390,41.06368,43.27467,54.0,46.01113861,50.0,42.01113861,52.0,44.01134221
391,18.67379,18.79992,27.0,20.04357054,19.0,12.04357054,26.0,19.042886
392,38.72213,37.8018,45.0,38.45175882,49.0,42.45175882,NaN,NaN
393,44.07934,43.88127,54.0,46.48048293,49.0,41.48048293,NaN,NaN
394,43.21187,43.12927,52.0,44.3484129,43.0,35.3484129,51.0,43.3484129
395,38.3199,36.69969,44.0,35.85500357,45.0,36.85500357,47.0,38.85500357
396,42.90406,43.20158,50.0,43.54017392,47.0,40.54017392,NaN,NaN
397,34.75253,34.94062,45.0,37.92386804,48.0,40.92386804,45.0,37.92409541
398,25.37505,24.0937,30.0,24.25910871,43.0,37.25910871,30.0,24.25863341
399,30.50125,28.74091,34.0,28.00018142,49.0,43.00018142,35.0,29.00037587
400,29.4181,27.87205,33.0,25.97030818,32.0,24.97030818,36.0,28.97030818
401,46.01394,45.86843,51.0,42.88668087,48.0,39.88668087,55.0,46.88668087
402,50.54644,50.82809,60.0,53.72969151,52.0,45.72969151,55.0,48.72924617
403,47.87417,47.96891,55.0,48.13500368,38.0,31.13500368,56.0,49.13521314
404,60.80546,67.30244,17.0,11.18053204,14.0,8.18053204,27.0,21.17984904
405,26.74193,27.13402,38.0,30.4171975,27.0,19.4171975,NaN,NaN
406,36.82692,37.01144,46.0,38.11368526,29.0,21.11368526,47.0,39.11368526
407,43.24471,44.08728,54.0,45.82359185,56.0,47.82359185,53.0,44.8238001
