,tdx12_RioClaro,tdx30_RioClaro,srtm30_RioClaro,srtm30_wgs84_RioClaro,aster30_RioClaro,aster30_wgs84_RioClaro,aw3d30_RioClaro,aw3d30_wgs84_RioClaro
4477,505.4768,505.9091,512.0,508.78684598,524.0,520.78684598,510.0,506.78698823
4478,621.2243,621.1252,632.0,627.99273099,633.0,628.99273099,629.0,624.99273099
4479,516.9489,513.476,530.0,526.15708326,523.0,519.15708326,528.0,524.15775013
4480,574.4295,575.1656,584.0,580.36677647,588.0,584.36677647,584.0,580.36693607
4481,631.0397,632.3096,640.0,636.54377511,630.0,626.54377511,639.0,635.54337176
4482,509.8594,504.9451,513.0,509.23987267,518.0,514.23987267,515.0,511.23987267
4483,622.8378,622.7816,634.0,630.1279118,644.0,640.1279118,631.0,627.1279118
4484,674.8062,674.483,683.0,678.69238682,689.0,684.69238682,683.0,678.69209064
4485,726.4072,723.4254,730.0,725.63092611,734.0,729.63092611,732.0,727.63092611
4486,612.1928,612.9085,621.0,616.81071181,623.0,618.81071181,620.0,615.81071181
4487,780.6021,786.3349,793.0,788.97780294,800.0,795.97780294,795.0,790.97797404
4488,784.8248,784.3854,794.0,789.36591407,793.0,788.36591407,791.0,786.36613444
4489,490.4926,490.431,500.0,496.70759433,495.0,491.70759433,498.0,494.70774454
4490,662.5261,663.2263,674.0,669.6369417,670.0,665.6369417,671.0,666.63712889
4491,605.8552,605.7141,614.0,609.76374104,618.0,613.76374104,613.0,608.76374104
4492,648.4587,648.528,656.0,652.17107082,653.0,649.17107082,659.0,655.17107082
4493,609.757,608.1935,614.0,610.57098202,604.0,600.57098202,620.0,616.57138699
4494,675.4615,673.4069,691.0,686.66913172,674.0,669.66913172,679.0,674.66913172
4495,650.1162,649.5281,663.0,658.73483918,661.0,656.73483918,663.0,658.73501941
4496,623.2206,622.4819,631.0,627.06274848,630.0,626.06274848,634.0,630.06292131
4497,797.8173,796.6712,805.0,800.49236186,807.0,802.49236186,807.0,802.49236186
4498,651.3545,652.2343,663.0,658.61677687,649.0,644.61677687,659.0,654.61677687
4499,597.4473,598.3936,606.0,601.81870867,603.0,598.81870867,606.0,601.81870867
4500,639.2484,639.6798,649.0,645.06585406,637.0,633.06585406,644.0,640.06585406
4501,571.2867,567.3854,570.0,565.87508147,579.0,574.87508147,575.0,570.87508147
4502,596.7094,596.8745,603.0,599.42084271,614.0,610.42084271,605.0,601.42101854
4503,591.7958,591.5198,603.0,599.45642744,593.0,589.45642744,601.0,597.45702269
4504,609.5878,610.0562,620.0,616.35433259,621.0,617.35433259,616.0,612.35433259
4505,469.9916,470.2499,479.0,475.79609068,479.0,475.79609068,480.0,476.79623634
4506,532.5193,534.492,544.0,540.51738106,548.0,544.51738106,541.0,537.5175171
4507,542.558,547.3872,555.0,551.52927084,567.0,563.52927084,553.0,549.52989461
4508,807.7805,807.8878,817.0,812.53103531,822.0,817.53103531,818.0,813.53123822
4509,646.8373,646.7797,654.0,649.97731364,656.0,651.97731364,656.0,651.97731364
4510,580.5307,580.4395,590.0,586.62626262,585.0,581.62626262,589.0,585.62626262
4511,564.3453,564.8574,574.0,570.12981985,569.0,565.12981985,575.0,571.12936509
4512,672.591,673.0858,680.0,676.81777579,682.0,678.81777579,683.0,679.8181923
4513,584.1503,583.8901,594.0,590.66143637,606.0,602.66143637,592.0,588.6619623
4514,780.8337,789.4671,793.0,788.44732619,799.0,794.44732619,789.0,784.44732619
4515,594.1447,595.4131,601.0,597.00924625,608.0,604.00924625,605.0,601.00894558
4516,713.6949,714.0482,722.0,717.96857179,725.0,720.96857179,724.0,719.96857179
4517,509.4826,507.2907,517.0,513.10014241,516.0,512.10014241,520.0,516.09984517
4518,595.858,596.2101,602.0,598.06709098,609.0,605.06709098,601.0,597.06709098
4519,622.7021,621.9394,632.0,628.62153846,619.0,615.62153846,634.0,630.62153846
4520,539.7948,538.232,546.0,542.72051173,537.0,533.72051173,546.0,542.72051173
4521,597.796,602.9299,613.0,610.0216782,607.0,604.0216782,608.0,605.0216782
4522,561.7418,562.2419,569.0,565.44660835,576.0,572.44660835,573.0,569.44675903
4523,592.9025,593.1909,602.0,598.06025498,600.0,596.06025498,604.0,600.06025498
4524,509.5998,511.5013,518.0,514.96281848,521.0,517.96281848,520.0,516.96292573
4525,571.5613,571.7407,582.0,578.76898528,582.0,578.76898528,580.0,576.76898528
4526,576.1584,576.2723,587.0,583.54952519,584.0,580.54952519,588.0,584.55010067
4527,487.484,487.727,496.0,492.44438455,495.0,491.44438455,496.0,492.44503539
4528,528.9565,528.7446,536.0,532.64503387,535.0,531.64503387,538.0,534.64503387
4529,631.1726,631.4595,640.0,636.56496744,638.0,634.56496744,641.0,637.56549162
4530,590.774,590.9507,600.0,595.83781538,598.0,593.83781538,599.0,594.83750161
4531,693.8895,694.4502,702.0,698.06527194,708.0,704.06527194,703.0,699.06480532
4532,561.3558,557.3555,565.0,561.83847432,569.0,565.83847432,567.0,563.83847432
4533,538.1129,538.2122,547.0,543.39542174,554.0,550.39542174,542.0,538.39559887
4534,762.51,761.6884,772.0,767.1036488,776.0,771.1036488,774.0,769.1038736
4535,565.2681,565.1624,573.0,569.94479862,574.0,570.94479862,574.0,570.94491092
4536,623.0181,620.6457,626.0,622.95659218,609.0,605.95659218,632.0,628.95693318
4537,607.7872,607.0543,616.0,612.06189544,621.0,617.06189544,614.0,610.06189544
4538,630.1218,631.4404,640.0,635.71311842,639.0,634.71311842,639.0,634.7132831
4539,500.3309,500.0721,513.0,509.25007189,508.0,504.25007189,510.0,506.25007189
4540,626.9614,626.1602,635.0,631.83430455,629.0,625.83430455,639.0,635.83430455
4541,581.8452,582.1739,591.0,587.8054763,590.0,586.8054763,586.0,582.80559237
4542,579.8914,579.9182,591.0,587.71419154,588.0,584.71419154,591.0,587.71419154
4543,657.9064,658.99,659.0,655.27139684,662.0,658.27139684,664.0,660.27139684
4544,597.3561,598.0058,605.0,600.67665384,611.0,606.67665384,606.0,601.67665384
4545,597.4049,597.3058,605.0,600.79270695,611.0,606.79270695,602.0,597.79238524
4546,761.8559,761.9028,777.0,772.23320456,778.0,773.23320456,774.0,769.23342431
4547,647.1432,646.7761,655.0,651.27278143,655.0,651.27278143,657.0,653.27294179
4548,480.5856,481.9706,490.0,486.32199512,487.0,483.32199512,490.0,486.32263375
4549,532.537,530.7846,534.0,530.63589835,539.0,535.63589835,542.0,538.63648435
4550,466.5312,468.2497,473.0,469.35915818,477.0,473.35915818,475.0,471.35932839
4551,614.9757,612.6168,619.0,615.92234548,609.0,605.92234548,622.0,618.92278545
