level,length,count
465,2751932.821998,498
470,2744589.086064,489
475,2750870.921051,456
480,2706776.426131,471
485,2678449.793659,459
490,2661482.771185,481
495,2656787.581338,470
500,2632020.977387,488
505,2623472.042679,488
510,2604678.513999,435
515,1987761.150991,412
520,2539759.38212,418
525,2518008.295169,428
530,2511646.76713,418
535,2487920.424166,459
540,2479335.878019,431
545,2461827.955403,413
550,2370983.029009,427
555,2334309.653047,423
560,2315571.639934,404
565,2298424.228506,388
570,2278588.758251,369
575,2262376.419307,383
580,2245116.130586,367
585,2231791.71594,335
590,2218630.868566,366
595,2112049.599215,364
600,2074666.459423,373
605,2065993.06523,374
610,2050541.536089,384
615,2032523.082675,342
620,2015537.085583,351
625,1988762.798903,346
630,1946803.520869,330
635,1922292.600623,309
640,1912520.261234,325
645,1890339.31823,286
650,1869702.022299,295
655,1876582.977341,299
660,1857850.972641,294
665,1801989.24885,321
670,1799300.82408,325
675,1801883.035046,288
680,1800048.268951,291
685,1773210.04048,272
690,1761774.228465,295
695,1737301.374738,308
700,1720805.860664,312
705,1677585.3451,327
710,1616661.76624,320
715,1593428.320737,324
720,1219535.238675,330
725,1203280.792527,315
730,1187396.789108,308
735,1174600.553662,294
740,1151823.562728,305
745,1140749.371659,282
750,1108760.809248,274
755,1098537.407689,278
760,1416856.079659,298
765,1383836.098124,253
770,1288150.597374,245
775,1280361.451474,257
780,1264800.762039,275
785,1229262.750223,301
790,1221718.988916,296
795,1214389.42459,300
800,1210246.463036,286
805,1191442.77378,277
810,1173740.280409,295
815,1148717.121198,290
820,1105779.63133,302
825,1083359.347824,304
830,1031943.341161,302
835,992225.135596,307
840,729105.570352,288
845,674877.71078,300
850,867076.689754,255
855,826574.188361,269
860,809381.791902,238
865,786228.350832,230
870,759224.564071,236
875,730087.210938,195
880,715069.928526,190
885,662530.870693,189
890,632652.739168,188
895,618074.29432,186
900,485765.266649,163
905,467050.513699,163
910,451621.443326,159
915,436564.82748,161
920,422435.298123,149
925,409573.786085,129
930,394360.676867,132
935,381360.598924,120
940,369537.455062,118
945,354792.863136,110
950,340374.265172,99
955,269843.251315,78
960,261029.107338,78
965,251805.18427,84
970,244255.731747,82
975,237760.035815,76
980,234494.92748,79
985,227080.849454,79
990,219397.451439,72
995,213013.107967,64
1000,205942.167842,73
1005,199855.219541,65
1010,197520.380502,64
1015,190846.270008,64
1020,237325.114507,57
1025,230787.653899,60
1030,224216.485168,60
1035,216903.238125,54
1040,193725.932104,59
1045,187763.158698,53
1050,182577.355738,57
1055,176506.042343,53
1060,176410.883968,47
1065,174105.722014,47
1070,169487.521263,43
1075,166658.717555,44
1080,164823.577004,43
1085,126488.833315,48
1090,121512.295434,48
1095,116055.463436,57
1100,109446.848255,54
1105,104545.571953,43
1110,101478.306752,42
1115,97342.422667,48
1120,91886.942334,45
1125,87605.147511,45
1130,82961.515632,44
1135,79094.520484,38
1140,77097.386052,38
1145,73523.336099,36
1150,68739.044086,39
1155,66190.097984,36
1160,62779.441163,34
1165,58590.647712,44
1170,52819.285495,30
1175,50737.962148,32
1180,48163.200717,35
1185,44250.928668,29
1190,41117.413256,32
1195,36984.326737,33
1200,39142.350973,32
1205,28262.372475,34
1210,23662.704198,22
1215,20332.921462,22
1220,17465.88787,19
1225,14461.114702,20
1230,10857.556216,17
1235,8639.326519,12
1240,7469.471477,7
1245,6352.882032,8
1250,5353.600556,4
1255,4871.802618,6
1260,3566.503794,6
1265,2456.136506,6
1270,1325.905452,4
1275,757.285822,2
1280,509.43816,2
1285,414.394577,1
1290,335.619689,1
1295,209.819985,2
